Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,51.9,1500000,1500000,170000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,110,51.8,1500000,1400000,150000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,100,46.1,1300000,1300000,50000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,35.2,1000000,1000000,26000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,32.1,920000,920000,18000000,No,,,, --
commentcamarche.net,/Computers & Electronics /Reference/Dictionaries & Encyclopedias,100,26.3,750000,750000,9900000,Yes,,,,2M - 5M
startimes2.com,/Online Communities/Online Journals & Personal Sites /Games/Video Games/Online Games /Entertainment/Music/Music Streams & Downloads /Arts & Humanities /Society,100,23.9,690000,690000,110000000,No,,,, --
maktoob.com,/Internet/Web Portals /Business /Entertainment,100,23.8,680000,680000,37000000,No,,,, --
01net.com,/News & Current Events/Technology News /Computers & Electronics /Internet,110,22,630000,570000,12000000,No,,,, --
free.fr,/Internet/Online Goodies /Computers & Electronics/Software /Internet,100,21.6,620000,620000,9000000,No,,,, --
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,100,19.5,560000,560000,4700000,No,,,,undefined
rapidshare.com,/Internet/File Sharing & Hosting,110,18.2,520000,480000,11000000,No,,,, --
echoroukonline.com,/Lifestyles /News & Current Events/Newspapers /Arts & Humanities/Humanities/History,100,18,520000,520000,16000000,No,,,, --
skyrock.com,/Online Communities /Online Communities/Blogging Resources & Services /Online Communities/Social Networks /Entertainment/Radio /Entertainment/Music /Internet/Online Goodies,100,17.7,510000,510000,120000000,No,,,, --
dailymotion.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Photo & Video/Photo & Video Sharing /Entertainment/Multimedia Content /Online Communities,100,16.5,470000,470000,11000000,Yes,728x90,,728x90,10M - 20M
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,110,16.4,470000,430000,80000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
elkhabar.com,/News & Current Events/Newspapers /Internet /News & Current Events,100,15,430000,430000,9100000,No,,,, --
4shared.com,/Internet/File Sharing & Hosting,100,15,430000,430000,15000000,No,,,,undefined
skype.com,/Telecommunications/VOIP & Internet Telephony /Telecommunications/Service Providers/Phone Service Providers/Calling Cards,100,13.6,390000,390000,5100000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,100,13.6,390000,390000,3100000,No,,,, --
zshare.net,/Internet/File Sharing & Hosting,100,13.3,380000,380000,7300000,No,,,,undefined
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,100,13.3,380000,380000,3800000,No,,,, --
djezzygsm.com,/Telecommunications/Mobile & Wireless /Local/Regional Content/Africa,100,12.3,350000,350000,16000000,No,,,, --
poste.dz,/Telecommunications,100,12.2,350000,350000,10000000,No,,,, --
yahoo.fr,/Internet/Web Services/Search Engines /Internet/Web Portals /Shopping/Shopping Portals & Search Engines,100,12.2,350000,350000,3800000,No,,,, --
ask.com,/Entertainment/Comics & Animation/Cartoons /Internet /Internet/Web Services/Search Engines,100,12.1,350000,350000,3800000,No,,,,undefined
jeeran.com,/Online Communities/Blogging Resources & Services /Internet/Web Services /Internet/Web Services/Email & Messaging /Internet/Web Hosting & Domain Registration,100,12.1,350000,350000,2900000,Yes,120x600 160x600 200x200 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 300x250 336x280 468x60 728x90,10K - 100K
aljazeera.net,/Lifestyles /News & Current Events /News & Current Events/News Networks,100,11.3,330000,330000,6800000,No,,,, --
yieldmanager.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,100,11.3,320000,320000,1600000,No,,,, --
infos-du-net.com,/Computers & Electronics/Software /News & Current Events,100,11.2,320000,320000,2200000,Yes,728x90,,728x90,1M - 2M
hotmail.com,/Internet/Web Services/Email & Messaging,100,11.2,320000,320000,2000000,No,,,, --
opendns.com,/Internet/Online Goodies/MySpace Codes & Graphics /Internet/Web Hosting & Domain Registration /Online Communities/Social Networks,100,11,320000,320000,3200000,No,,,, --
imageshack.us,/Internet/File Sharing & Hosting,100,10.2,290000,290000,1600000,Yes,728x90,,728x90,1M - 2M
clubic.com,/Computers & Electronics /Computers & Electronics/Hardware /News & Current Events/Technology News,100,10.2,290000,290000,2900000,Yes,300x250,,300x250,2M - 5M
z5x.net,/Internet/Web Design & Development /Computers & Electronics/Programming /Computers & Electronics/Programming/Scripting Languages,100,10.1,290000,290000,2100000,No,,,, --
djelfa.info,/Online Communities/Online Journals & Personal Sites /Local/Regional Content/Africa,100,10.1,290000,290000,8900000,Yes,300x250,,300x250,10K - 100K
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,110,10.1,290000,260000,1200000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
metacafe.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Photo & Video/Photo & Video Sharing /Online Communities,110,10,290000,260000,4600000,Yes,300x250 728x90,,300x250 728x90,10M - 20M
maktoobblog.com,/Entertainment /Entertainment/Fashion & Modeling,100,10,290000,290000,2000000,No,,,, --
4dh.com,/Photo & Video/Photo & Video Sharing,100,10,290000,290000,2600000,Yes,300x250 728x90,,300x250 728x90,1M - 2M
msn.fr,/Computers & Electronics,100,10,290000,290000,3800000,No,,,, --
conduit.com,/Computers & Electronics/Computer Security/Antivirus & Malware,100,9.4,270000,270000,8200000,No,,,,undefined
doctissimo.fr,/Health /Lifestyles/Parenting & Family /Lifestyles/Women's Interests,100,9.2,260000,260000,2900000,Yes,,,,2M - 5M
perfspot.com,/Online Communities/Social Networks /Photo & Video/Professional Photo & Video Services,100,9.2,260000,260000,4700000,Yes,120x600 160x600 300x250 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,2M - 5M
bramjnet.com,/Computers & Electronics/Software /Entertainment/Movies,100,9.2,260000,260000,3400000,Yes,336x280 468x60 728x90,,336x280 468x60 728x90,10K - 100K
clicksor.com,/Internet/Web Services/Affiliate Programs,100,9.2,260000,260000,2000000,No,,,,undefined
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,9.2,260000,260000,1000000,No,,,, --
kooora.com,/Sports/Football /Sports/Soccer,100,8.4,240000,240000,23000000,No,,,, --
livefilestore.com,/Shopping/Apparel /Shopping,100,8.3,240000,240000,1600000,No,,,, --
over-blog.com,/Online Communities/Blogging Resources & Services,100,8.3,240000,240000,1800000,No,,,, --
bdr130.net,/Lifestyles/Religion & Spirituality /Online Communities/Forum & Chat Providers /Arts & Humanities/Books & Literature/Poetry,100,8.2,240000,240000,2600000,No,,,, --
arabseyes.com,/Internet/Web Portals,100,7.6,220000,220000,2000000,Yes,160x600 336x280 468x60 728x90,,160x600 336x280 468x60 728x90,500K - 1M
linternaute.com,/News & Current Events/Magazines /Internet/Web Portals /Entertainment /Reference,100,7.6,220000,220000,3500000,Yes,,,,10M - 20M
lycos.fr,/Internet/Web Portals,91,7.6,220000,240000,3100000,No,,,,undefined
aufeminin.com,/Lifestyles/Women's Interests /Beauty & Personal Care/Beauty Magazines,100,7.6,220000,220000,4600000,No,,,, --
jsoftj.com,/Computers & Electronics /Computers & Electronics/Computer Security,100,7.6,220000,220000,4100000,Yes,336x280 468x60 728x90,,336x280 468x60 728x90,500K - 1M
islamway.com,/Lifestyles/Religion & Spirituality/Religion/Islam,110,7.6,220000,200000,4600000,No,,,, --
