Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,69.1,6800000,6800000,1300000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,100,56,5500000,5500000,210000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,43,4300000,4300000,540000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,38.8,3800000,3800000,1700000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
mercadolibre.com.ar,/Animals /Animals/Pets,100,35.4,3500000,3500000,280000000,No,,,, --
clarin.com,/News & Current Events/Newspapers /Local/Regional Content/South America,100,32.2,3200000,3200000,140000000,Yes,160x600 728x90,,160x600 728x90,2M - 5M
fotolog.com,/Photo & Video/Photo & Video Sharing /Online Communities/Online Journals & Personal Sites /Online Communities/Social Networks /Online Communities /Photo & Video,100,28.7,2800000,2800000,1200000000,Yes,300x250 728x90,,300x250 728x90,50M - 100M
taringa.net,/Internet/File Sharing & Hosting /Entertainment /Entertainment/Music/Music Streams & Downloads,100,26.6,2600000,2600000,190000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,26.5,2600000,2600000,55000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,24.2,2400000,2400000,46000000,No,,,, --
hotmail.com,/Internet/Web Services/Email & Messaging,100,18.1,1800000,1800000,18000000,No,,,, --
rapidshare.com,/Internet/File Sharing & Hosting,100,16.6,1600000,1600000,50000000,No,,,, --
lanacion.com.ar,/News & Current Events/Newspapers /Local/Regional Content/South America/Argentina /Automotive,100,16.3,1600000,1600000,59000000,Yes,,,,500K - 1M
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,100,16.3,1600000,1600000,12000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
softonic.com,/Computers & Electronics /Internet,100,14.9,1500000,1500000,23000000,Yes,300x250,,,2M - 5M
metroflog.com,/Online Communities/Social Networks /Photo & Video/Photo & Video Sharing,100,13.5,1300000,1300000,370000000,Yes,160x600 300x250 468x60 728x90,,160x600 300x250 468x60 728x90,100M+
livefilestore.com,/Shopping/Apparel /Shopping,100,13.5,1300000,1300000,15000000,No,,,, --
sonico.com,/Online Communities/Social Networks /Photo & Video/Photo & Video Sharing,100,12.4,1200000,1200000,61000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,10M - 20M
infobae.com,/News & Current Events /News & Current Events/Newspapers,100,12.3,1200000,1200000,61000000,Yes,250x250 300x250 450x50 468x60 728x90,,300x250 468x60 728x90,1M - 2M
