Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,38.9,2200000,2200000,90000000,No,,,, --
orf.at,/Entertainment/Radio /Sports /Entertainment/TV/TV Networks,100,28.7,1600000,1600000,170000000,No,,,, --
ebay.at,/Shopping/Auctions /Shopping/Shopping Portals & Search Engines /Local/Classifieds,100,26.2,1500000,1500000,310000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,24.2,1400000,1400000,130000000,No,,,, --
gmx.net,/Online Communities/Social Networks /Internet/Web Services/Email & Messaging /News & Current Events /Entertainment /Shopping,100,24.1,1400000,1400000,310000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,24.1,1400000,1400000,140000000,No,,,,undefined
gmx.at,/Internet/Web Services/Email & Messaging /Internet,100,23.9,1300000,1300000,37000000,No,,,, --
amazon.de,/Arts & Humanities/Books & Literature/Book Retailers /Shopping /Business/E-Commerce /Entertainment/Movies /Lifestyles/Kids & Teens/Toys,100,23.8,1300000,1300000,81000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,21.8,1200000,1200000,28000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,100,19.6,1100000,1100000,38000000,No,,,, --
herold.at,/Reference/Business & Personal Listings /Reference/Online Directories,100,17.9,1000000,1000000,31000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,16.2,910000,910000,2900000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,14.9,840000,840000,230000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
ebay.de,/Entertainment/Movies/Science Fiction & Fantasy Films /Beauty & Personal Care/Face & Body Care/Cosmetics,100,14.9,830000,830000,98000000,No,,,, --
chip.de,/Computers & Electronics /Shopping/Shopping Portals & Search Engines,100,12.3,690000,690000,12000000,Yes,,,,2M - 5M
derstandard.at,/News & Current Events/Newspapers,100,11.2,630000,630000,18000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,100,11.2,630000,630000,230000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
krone.at,/News & Current Events/Newspapers,100,11.1,620000,620000,55000000,Yes,,,,500K - 1M
geizhals.at,/Shopping/Consumer Affairs & Product Reviews/Price Comparisons /Shopping/Shopping Portals & Search Engines,100,11,610000,610000,37000000,No,,,, --
leo.org,/Reference/Dictionaries & Encyclopedias /Reference/Language Study & Translation,100,10.2,570000,570000,37000000,Yes,728x90,,728x90,10M - 20M
oebb.at,/Travel /Local,100,10.2,570000,570000,14000000,No,,,, --
aon.at,/Telecommunications/Service Providers /News & Current Events/Technology News,100,10.1,570000,570000,16000000,No,,,, --
