Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,99,51.8,3500000,3500000,780000000,No,,,,undefined
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,99,38.7,2600000,2600000,1700000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
msn.com,/Internet/Web Portals /News & Current Events,99,38.1,2600000,2600000,170000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,29.2,2000000,2000000,81000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,26.4,1800000,1800000,61000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,24.2,1600000,1600000,250000000,No,,,, --
ebay.be,/Shopping/Auctions /Shopping/Shopping Portals & Search Engines,99,17.9,1200000,1200000,340000000,No,,,, --
netlog.com,/Online Communities/Social Networks /Lifestyles/Kids & Teens /Online Communities/Blogging Resources & Services /Photo & Video/Photo & Video Sharing /Online Communities/Dating & Relationships,99,16.6,1100000,1100000,790000000,Yes,160x600 300x250 728x90,,160x600 300x250 728x90,100M+
skynet.be,/Internet/Web Portals,99,16.2,1100000,1100000,74000000,Yes,120x600 160x600 200x200 468x60 728x90,,120x600 160x600 200x200 468x60 728x90,100K - 500K
telenet.be,/Internet/Web Services,99,14.8,1000000,1000000,55000000,No,,,, --
skyrock.com,/Online Communities /Online Communities/Blogging Resources & Services /Online Communities/Social Networks /Entertainment/Radio /Entertainment/Music /Internet/Online Goodies,99,14.7,990000,990000,600000000,No,,,, --
free.fr,/Internet/Online Goodies /Computers & Electronics/Software /Internet,99,13.4,910000,910000,34000000,No,,,, --
dailymotion.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Photo & Video/Photo & Video Sharing /Entertainment/Multimedia Content /Online Communities,99,12.4,840000,840000,67000000,Yes,728x90,,728x90,10M - 20M
truvo.be,/Lifestyles/Women's Interests /Reference/Dictionaries & Encyclopedias /Shopping,99,12.3,830000,830000,23000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,99,12.2,830000,830000,3500000,No,,,, --
commentcamarche.net,/Computers & Electronics /Reference/Dictionaries & Encyclopedias,99,11.1,750000,750000,11000000,Yes,,,,2M - 5M
hln.be,/News & Current Events/Newspapers,90,9.3,630000,690000,72000000,Yes,450x50,,,5M - 10M
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,99,9.3,630000,630000,6700000,No,,,, --
nieuwsblad.be,/News & Current Events /Local/Regional Content/Western Europe,99,9.2,620000,620000,45000000,Yes,,,,500K - 1M
kapaza.be,/Automotive /Real Estate /Local/Jobs /Shopping/Shopping Portals & Search Engines,99,9.2,620000,620000,160000000,Yes,728x90,,728x90,1M - 2M
partypoker.com,/Games/Cards & Casino Games,99,9.2,620000,620000,6800000,No,,,, --
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,99,9.1,610000,610000,8200000,No,,,, --
