Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,57.3,24000000,24000000,1800000000,No,,,,undefined
uol.com.br,/Internet/Web Portals /News & Current Events /Telecommunications/Service Providers/ISPs /Internet/Web Services/Email & Messaging,100,57,23000000,23000000,1900000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,100,46.4,19000000,19000000,450000000,No,,,, --
globo.com,/News & Current Events,100,43.2,18000000,18000000,1400000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,20M - 50M
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,35.7,15000000,15000000,800000000,No,,,, --
terra.com.br,/Entertainment/Music/Lyrics & Tabs /Internet /Online Communities/Social Networks,100,35.3,15000000,15000000,870000000,No,,,, --
ig.com.br,/News & Current Events/Local News /Online Communities/Blogging Resources & Services /Entertainment/Music,100,32.1,13000000,13000000,440000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,1K - 10K
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,26.6,11000000,11000000,190000000,No,,,, --
mercadolivre.com.br,/Automotive/Car Stereo,100,23.6,9700000,9700000,370000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,100,19.8,8100000,8100000,50000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
baixaki.com.br,/Internet/File Sharing & Hosting,100,18.4,7600000,7600000,160000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,18.3,7500000,7500000,90000000,No,,,, --
