Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
abv.bg,/Internet/Web Services/Email & Messaging /Online Communities/Forum & Chat Providers,99,55.9,1600000,1600000,310000000,Yes,,,,10K - 100K
vbox7.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Photo & Video/Photo & Video Sharing,99,50.4,1500000,1500000,370000000,Yes,,,,5M - 10M
zamunda.net,/Internet/File Sharing & Hosting /Entertainment/Music/Music Streams & Downloads,99,45.6,1300000,1300000,340000000,No,,,, --
dir.bg,/Computers & Electronics/Software,99,42.2,1200000,1200000,110000000,No,,,, --
hit.bg,/Internet/Web Hosting & Domain Registration /Reference/Online Directories /Internet/Web Portals /Local/Regional Content/Central & Eastern Europe,99,42.2,1200000,1200000,26000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,35.3,1000000,1000000,26000000,No,,,, --
data.bg,/Internet/Web Portals /Internet/File Sharing & Hosting,99,35.2,1000000,1000000,81000000,Yes,300x250 468x60 728x90,,300x250 468x60 728x90,100K - 500K
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,29,840000,840000,23000000,No,,,, --
gbg.bg,/Internet/Web Portals,99,28.8,830000,830000,26000000,Yes,,,,100K - 500K
start.bg,/Internet/Web Portals,99,26.1,750000,750000,19000000,Yes,300x250,,300x250,10K - 100K
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,24.1,700000,700000,61000000,No,,,, --
arenabg.com,/Entertainment/TV /Internet/File Sharing & Hosting,99,23.9,690000,690000,89000000,No,,,, --
easytrader.bg,/Entertainment /Entertainment/Movies /Entertainment/Music/Music Streams & Downloads,99,20,580000,580000,5700000,No,,,, --
btv.bg,/Lifestyles/Parenting & Family/Pregnancy & Maternity /Entertainment/Movies /Entertainment/TV/TV Programs,99,19.9,570000,570000,18000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,99,19.8,570000,570000,170000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
zazz.bg,/Entertainment/Multimedia Content/Video Clips & Movie Downloads,99,19.8,570000,570000,38000000,No,,,,undefined
neogen.bg,/Local/Classifieds /Entertainment/Multimedia Content/Video Clips & Movie Downloads /Real Estate/Rental Listings & Referrals,99,18.1,520000,520000,14000000,No,,,, --
skype.com,/Telecommunications/VOIP & Internet Telephony /Telecommunications/Service Providers/Phone Service Providers/Calling Cards,99,18,520000,520000,5100000,No,,,, --
ibox.bg,/News & Current Events /Finance & Insurance /Sports,99,18,520000,520000,17000000,Yes,200x200 250x250 300x250,,200x200 250x250 300x250,100K - 500K
netinfo.bg,/News & Current Events /Internet/Web Portals,90,17.9,520000,570000,11000000,Yes,,,,100K - 500K
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,99,17.8,510000,510000,1800000,No,,,, --
impulse.bg,/Online Communities/Social Networks /Online Communities/Dating & Relationships,99,17.8,510000,510000,490000000,No,,,, --
mtel.bg,/Telecommunications/Mobile & Wireless,99,17.7,510000,510000,38000000,No,,,, --
dnevnik.bg,/News & Current Events/Newspapers,99,16.4,470000,470000,8900000,Yes,160x600,,160x600,100K - 500K
mobilen.bg,/Automotive/Vehicle Shopping,99,16.4,470000,470000,160000000,No,,,, --
bg-mamma.com,/Entertainment/Music /Internet/Online Goodies/MySpace Codes & Graphics /Internet/Web Services/Email & Messaging,99,16.3,470000,470000,31000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,99,16.2,470000,470000,3800000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
msn.com,/Internet/Web Portals /News & Current Events,99,16.1,460000,460000,18000000,No,,,, --
snimka.bg,/Photo & Video/Photo & Video Sharing,99,14.9,430000,430000,23000000,No,,,, --
svejo.net,/Internet/Web Services/Web Stats & Analytics,90,14.9,430000,470000,8100000,Yes,160x600 300x250 728x90,,160x600 300x250 728x90,100K - 500K
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,99,14.9,430000,430000,2600000,No,,,, --
kaldata.com,/News & Current Events/Technology News /Computers & Electronics/Software /Computers & Electronics/Hardware /Reference/How-To & Expert Content /Internet/Web Portals,90,14.7,420000,470000,5500000,Yes,160x600 300x250 468x60 728x90,,160x600 300x250 468x60 728x90,100K - 500K
kefche.com,/Games/Video Games/Online Games /Entertainment/Multimedia Content/Flash Content /Entertainment/Fun & Trivia,99,14.6,420000,420000,160000000,Yes,160x600 200x200 300x250 728x90,,160x600 200x200 300x250 728x90,2M - 5M
dnes.bg,/News & Current Events /Internet/Web Portals,99,14.5,420000,420000,14000000,No,,,, --
pomagalo.com,/Society/Education /Society/Social Science/Psychology,99,14.5,420000,420000,12000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,99,13.5,390000,390000,50000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
government.bg,/Society/Government & Regulatory Bodies /Society,99,13.5,390000,390000,9000000,No,,,, --
jobs.bg,/Local/Jobs,90,13.3,380000,420000,61000000,No,,,, --
aha.bg,/Online Communities/Dating & Relationships/Personals /Online Communities/Social Networks,99,12.4,360000,360000,230000000,No,,,, --
aukro.bg,/Arts & Humanities /Society/Government & Regulatory Bodies /Telecommunications/Mobile & Wireless/Mobile Phones,99,12.3,350000,350000,16000000,No,,,, --
topobiavi.com,/Local/Classifieds,99,12.3,350000,350000,5500000,No,,,, --
bgmaps.com,/Reference/Maps & Geography /Local/Regional Content/Central & Eastern Europe,99,12.2,350000,350000,4200000,Yes,160x600,,160x600,100K - 500K
sibir.bg,/Online Communities/Dating & Relationships,99,12.2,350000,350000,19000000,Yes,160x600 728x90,,160x600 728x90,100K - 500K
unacs.bg,/Computers & Electronics/Hardware /Computers & Electronics/Hardware/Hardware Components/Memory /Entertainment/Movies,90,12.2,350000,390000,5100000,No,,,, --
blog.bg,/Entertainment/Fun & Trivia /Reference/Educational Resources /Computers & Electronics/Programming,99,12.2,350000,350000,5100000,No,,,, --
rozali.com,/Lifestyles/Women's Interests /News & Current Events/Magazines,99,12.1,350000,350000,9900000,Yes,728x90,,728x90,100K - 500K
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,99,11.2,320000,320000,17000000,No,,,,undefined
imdb.com,/Entertainment/Movies /Entertainment,99,11.2,320000,320000,13000000,No,,,, --
