Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,99,52.1,13000000,13000000,2500000000,Yes,450x50 468x60,,,100K - 500K
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,99,47.1,12000000,12000000,7800000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,43.1,11000000,11000000,2100000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,99,31.7,8100000,8100000,540000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,29.4,7500000,7500000,310000000,No,,,, --
msn.ca,/Internet/Web Portals /Local/Regional Content/US & Canada/Canada /Sports/Golf /Beauty & Personal Care/Fitness,99,28.9,7400000,7400000,400000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,24.2,6200000,6200000,190000000,No,,,, --
about.com,/Reference/How-To & Expert Content /Internet/Web Portals,99,12.4,3200000,3200000,45000000,Yes,300x250 728x90,,300x250 728x90,20M - 50M
theweathernetwork.com,/Local/Weather,99,12.3,3100000,3100000,97000000,Yes,,,,2M - 5M
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,99,12.3,3100000,3100000,15000000,No,,,, --
kijiji.ca,/Local/Classifieds /Local/Regional Content/US & Canada/Canada,99,12.2,3100000,3100000,490000000,No,,,, --
cbc.ca,/Entertainment/TV/TV Networks /Local/Regional Content/US & Canada/Canada,99,11.3,2900000,2900000,110000000,Yes,,,,1M - 2M
hotmail.com,/Internet/Web Services/Email & Messaging,110,11.3,2900000,2600000,45000000,No,,,, --
imdb.com,/Entertainment/Movies /Entertainment,99,11.3,2900000,2900000,160000000,No,,,, --
ebay.ca,/Automotive/Motorcycles,99,11,2800000,2800000,340000000,No,,,, --
amazon.com,/Shopping,99,10.2,2600000,2600000,50000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,99,10.1,2600000,2600000,34000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
ebay.com,/Shopping/Auctions,99,9.3,2400000,2400000,230000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,99,9.3,2400000,2400000,190000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
flickr.com,/Photo & Video/Photo & Video Sharing,99,9.3,2400000,2400000,120000000,No,,,, --
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,99,9.2,2400000,2400000,56000000,Yes,728x90,,728x90,100K - 500K
