Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,68.6,5100000,5100000,1900000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,62.6,4700000,4700000,400000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,110,50.7,3800000,3400000,81000000,No,,,, --
fotolog.com,/Photo & Video/Photo & Video Sharing /Online Communities/Online Journals & Personal Sites /Online Communities/Social Networks /Online Communities /Photo & Video,100,34.6,2600000,2600000,810000000,Yes,300x250 728x90,,300x250 728x90,50M - 100M
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,32.2,2400000,2400000,110000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,26.4,2000000,2000000,23000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,24.1,1800000,1800000,26000000,No,,,, --
mercadolibre.cl,/Shopping /Automotive/Vehicle Shopping,100,21.8,1600000,1600000,42000000,No,,,, --
lun.com,/News & Current Events,100,19.8,1500000,1500000,61000000,No,,,, --
terra.cl,/Sports/Soccer /Society/Education/Colleges & Universities /Entertainment,100,17.8,1300000,1300000,38000000,No,,,, --
rapidshare.com,/Internet/File Sharing & Hosting,100,16.6,1200000,1200000,31000000,No,,,, --
softonic.com,/Computers & Electronics /Internet,100,16.3,1200000,1200000,13000000,Yes,300x250,,,2M - 5M
emol.com,/News & Current Events/Newspapers /Society /Local/Regional Content/South America,100,16.3,1200000,1200000,25000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,100,16.2,1200000,1200000,6100000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
taringa.net,/Internet/File Sharing & Hosting /Entertainment /Entertainment/Music/Music Streams & Downloads,110,13.6,1000000,920000,21000000,No,,,, --
hotmail.com,/Internet/Web Services/Email & Messaging,100,13.5,1000000,1000000,7400000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,13.4,1000000,1000000,2000000,No,,,, --
flickr.com,/Photo & Video/Photo & Video Sharing,100,12.3,920000,920000,49000000,No,,,, --
megaupload.com,/Internet/File Sharing & Hosting,100,11.3,840000,840000,19000000,No,,,, --
imageshack.us,/Internet/File Sharing & Hosting,100,11.2,830000,830000,4200000,Yes,728x90,,728x90,1M - 2M
musica.com,/Entertainment/Music/Lyrics & Tabs /Photo & Video/Photo & Video Sharing,100,11.1,830000,830000,16000000,Yes,336x280 468x60 728x90,,336x280 468x60 728x90,5M - 10M
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,100,11,820000,820000,4200000,No,,,, --
programas-gratis.net,/Computers & Electronics /Internet/Web Services,100,10.2,760000,760000,7500000,Yes,160x600 250x250 468x60 728x90,,160x600 250x250 468x60 728x90,2M - 5M
rie.cl,/Reference/Online Directories /Entertainment/Humor & Bizarre,100,10.1,750000,750000,2800000,Yes,728x90,,728x90,100K - 500K
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,100,10.1,750000,750000,5600000,No,,,,undefined
elmercurio.com,/Local/Jobs /News & Current Events/Newspapers,100,10,740000,740000,17000000,No,,,, --
vivastreet.cl,/Local/Classifieds /Local/Regional Content/South America,100,9.3,690000,690000,11000000,Yes,,,,100K - 500K
latercera.com,/Entertainment/Celebrities,100,9.3,690000,690000,14000000,Yes,,,,100K - 500K
sii.cl,/Finance & Insurance/Accounting & Tax /Society/Government & Regulatory Bodies,100,9.2,690000,690000,26000000,No,,,, --
falabella.com,/Home & Garden/Homemaking & Interior Decor /Home & Garden /Travel/Air Travel,100,9.2,690000,690000,21000000,No,,,, --
lacuarta.cl,/News & Current Events/Local News /Local/Regional Content/South America,100,9.2,680000,680000,11000000,Yes,250x250 300x250 728x90,,250x250 300x250 728x90,500K - 1M
conduit.com,/Computers & Electronics/Computer Security/Antivirus & Malware,100,8.5,630000,630000,21000000,No,,,,undefined
yieldmanager.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,100,8.5,630000,630000,2000000,No,,,, --
geocities.com,/Online Communities/Online Journals & Personal Sites,100,8.5,630000,630000,2400000,No,,,, --
olx.cl,/Local/Regional Content/South America /Local/Classifieds /Online Communities/Dating & Relationships,100,8.4,630000,630000,6200000,Yes,,,,100K - 500K
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,100,8.4,630000,630000,2600000,No,,,, --
santander.cl,/Finance & Insurance/Banking & Personal Finance,100,8.4,630000,630000,13000000,No,,,, --
minijuegos.com,/Games/Video Games/Online Games,100,8.3,620000,620000,21000000,Yes,300x250 468x60 728x90,,300x250 468x60 728x90,2M - 5M
canal13.cl,/Entertainment/TV/TV Networks /Entertainment,100,8.2,610000,610000,9100000,No,,,, --
chilevision.cl,/Entertainment/TV/TV Networks /Local/Regional Content/South America,100,7.7,580000,580000,6700000,Yes,,,,1K - 10K
amarillas.cl,/Real Estate /Local/Regional Content/South America,100,7.7,570000,570000,4600000,No,,,, --
chilewarez.org,/Internet /Food & Drink/Cookware,100,7.7,570000,570000,26000000,No,,,, --
bancochile.cl,/Finance & Insurance/Banking & Personal Finance,100,7.7,570000,570000,23000000,No,,,, --
sonico.com,/Online Communities/Social Networks /Photo & Video/Photo & Video Sharing,100,7.6,570000,570000,16000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,10M - 20M
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,100,7.6,570000,570000,18000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
bancoestado.cl,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance,91,7.6,570000,620000,14000000,No,,,, --
latercera.cl,/News & Current Events/Newspapers,100,7.6,560000,560000,3500000,Yes,468x60,,468x60,1K - 10K
loteria.cl,/Animals /Games/Lotto & Sweepstakes /Local/Classifieds,100,7.5,560000,560000,5100000,No,,,, --
entelpcs.cl,/Telecommunications/Mobile & Wireless/Mobile Phones /Telecommunications/Mobile & Wireless,100,7,520000,520000,6700000,No,,,, --
paris.cl,/Lifestyles,100,7,520000,520000,9100000,No,,,, --
tvn.cl,/Entertainment/TV/TV Networks /Entertainment,100,6.9,520000,520000,6700000,Yes,200x200,,200x200,10K - 100K
perfspot.com,/Online Communities/Social Networks /Photo & Video/Professional Photo & Video Services,100,6.9,520000,520000,3500000,Yes,120x600 160x600 300x250 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,2M - 5M
movistar.cl,/Telecommunications/Mobile & Wireless /Telecommunications,100,6.9,520000,520000,12000000,No,,,, --
directaclick.com,/Entertainment/Comics & Animation/Anime & Manga /Internet/Web Design & Development,100,6.9,510000,510000,1300000,No,,,, --
