Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
baidu.com,/Internet/Web Portals /Internet/Web Services/Search Engines,110,92.3,160000000,150000000,24000000000,Yes,160x600 200x200 250x250 300x250 468x60 728x90,,160x600 200x200 250x250 300x250 468x60 728x90,500K - 1M
qq.com,/Internet/Web Services/Email & Messaging,100,75.6,130000000,130000000,18000000000,Yes,300x250 728x90,,300x250 728x90,100K - 500K
sina.com.cn,/Internet/Web Portals /News & Current Events,100,56.2,97000000,97000000,7200000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,20M - 50M
163.com,/Internet/Web Portals,100,42.6,74000000,74000000,4900000000,Yes,300x250 336x280 450x50 728x90,,300x250 336x280 728x90,10K - 100K
tudou.com,/Food & Drink/Cooking & Recipes,100,38.4,66000000,66000000,2300000000,Yes,728x90,,728x90,10K - 100K
iefxz.com,/Computers & Electronics/Tech Support,100,35.5,61000000,61000000,490000000,No,,,, --
soso.com,/Food & Drink/Restaurants /Internet/Web Services/Search Engines /Local/Regional Content/Western Europe/United Kingdom,100,35.1,61000000,61000000,1400000000,Yes,728x90,,728x90,10K - 100K
sohu.com,/Internet/Web Portals /Entertainment,100,35,61000000,61000000,4100000000,Yes,728x90,,728x90,10K - 100K
youku.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Entertainment,100,32.1,56000000,56000000,3700000000,Yes,728x90,,728x90,100M+
xunlei.com,/Entertainment/TV/TV Programs /Entertainment/Movies /Entertainment/Music /Computers & Electronics/Software,100,31.7,55000000,55000000,2500000000,Yes,300x250 336x280 728x90,,300x250 336x280 728x90,20M - 50M
hao123.com,/Reference/Online Directories,100,29.2,50000000,50000000,2300000000,Yes,728x90,,728x90,10K - 100K
gougou.com,/Internet/Web Services,100,28.7,50000000,50000000,1400000000,Yes,728x90,,728x90,20M - 50M
ku6.com,/Entertainment/Multimedia Content,100,28.5,49000000,49000000,1100000000,Yes,728x90,,728x90,10K - 100K
taobao.com,/Shopping /Business/E-Commerce,100,26.4,46000000,46000000,8700000000,No,,,,undefined
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,24.2,42000000,42000000,2100000000,No,,,, --
56.com,/Entertainment/Multimedia Content,100,21.8,38000000,38000000,710000000,No,,,, --
allyes.com,/Games/Video Games/Online Games /Entertainment/Movies,100,17.9,31000000,31000000,230000000,No,,,, --
keyrun.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers /Business/Advertising & Marketing,100,16.5,28000000,28000000,360000000,No,,,, --
sogou.com,/Internet/Web Portals /Entertainment,100,16.3,28000000,28000000,720000000,Yes,728x90,,728x90,10K - 100K
paipai.com,/Shopping /Computers & Electronics,100,16.2,28000000,28000000,550000000,No,,,, --
pconline.com.cn,/Telecommunications/Mobile & Wireless/Mobile Phones /Shopping/Consumer Affairs & Product Reviews /Photo & Video/Photo & Video Equipment/Cameras & Camcorders/Cameras,100,14.9,26000000,26000000,540000000,Yes,250x250,,250x250,10K - 100K
tom.com,/Internet/Web Portals /News & Current Events,100,14.8,26000000,26000000,730000000,Yes,120x600 160x600 200x200 250x250 300x250 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 468x60 728x90,2M - 5M
cctv.com,/Entertainment/TV /Internet/Web Portals,100,13.6,23000000,23000000,500000000,Yes,,,,1M - 2M
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,13.6,23000000,23000000,370000000,No,,,, --
tianya.cn,/Online Communities/Forum & Chat Providers,100,13.6,23000000,23000000,640000000,Yes,160x600 300x250 336x280 468x60 728x90,,160x600 300x250 336x280 468x60 728x90,10M - 20M
zol.com.cn,/Computers & Electronics/Hardware /Computers & Electronics/Software,100,13.5,23000000,23000000,600000000,No,,,, --
xinhuanet.com,/News & Current Events,100,13.5,23000000,23000000,410000000,Yes,160x600 728x90,,160x600 728x90,1K - 10K
01lm.com,/Games/Video Games/Online Games,100,13.4,23000000,23000000,140000000,No,,,, --
114la.com,/Computers & Electronics/Software /Entertainment,100,13.3,23000000,23000000,450000000,No,,,, --
joy.cn,/Entertainment/Movies /Entertainment /Entertainment/Multimedia Content/Video Clips & Movie Downloads,100,13.3,23000000,23000000,340000000,No,,,, --
360.cn,/Entertainment/Comics & Animation /Computers & Electronics/Computer Security/Antivirus & Malware /Computers & Electronics,100,12.5,22000000,22000000,170000000,No,,,, --
17173.com,/Games/Video Games/Online Games /Games/Video Games,100,12.4,21000000,21000000,600000000,No,,,, --
1133.cc,/Entertainment/TV/TV Programs/Soap Operas /Games/Video Games /Arts & Humanities/Books & Literature,100,12.4,21000000,21000000,250000000,No,,,, --
6.cn,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Entertainment/TV/TV Networks,100,12.4,21000000,21000000,230000000,Yes,728x90,,728x90,1K - 10K
skycn.com,/Computers & Electronics/Software /Internet/Web Services/Email & Messaging,100,12.2,21000000,21000000,160000000,No,,,,undefined
ifeng.com,/News & Current Events /Internet/Web Portals,100,12.2,21000000,21000000,1500000000,Yes,728x90,,728x90,100K - 500K
4399.com,/Entertainment/Multimedia Content/Flash Content /Games/Video Games/Online Games,100,12.2,21000000,21000000,880000000,Yes,120x600 468x60 728x90,,120x600 468x60 728x90,100M+
allyes.cn,/Business/Advertising & Marketing,110,11.3,19000000,18000000,130000000,No,,,, --
unionsky1.cn,/Computers & Electronics,100,11.3,19000000,19000000,190000000,No,,,, --
sandai.net,/Local/Regional Content/US & Canada/USA /Games/Video Games,100,11.1,19000000,19000000,110000000,No,,,, --
xiaonei.com,/Online Communities/Forum & Chat Providers,100,11.1,19000000,19000000,4900000000,Yes,160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,160x600 200x200 250x250 300x250 336x280 468x60 728x90,5M - 10M
sscq4f.com,/Games/Video Games /Games/Video Games/Online Games,100,11.1,19000000,19000000,120000000,No,,,, --
mop.com,/Games/Roleplaying Games,100,10.3,18000000,18000000,370000000,Yes,160x600 300x250 468x60 728x90,,160x600 300x250 468x60 728x90,10K - 100K
openv.com,/Entertainment/TV,100,10.1,18000000,18000000,190000000,No,,,, --
pcpop.com,/Computers & Electronics/Hardware /Computers & Electronics/Consumer Electronics /Telecommunications/Mobile & Wireless/Mobile Phones /Computers & Electronics,100,10,17000000,17000000,330000000,No,,,,undefined
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,9.3,16000000,16000000,950000000,Yes,450x50 468x60,,,100K - 500K
pps.tv,/Entertainment/TV /Entertainment/Multimedia Content/Video Clips & Movie Downloads,100,9.3,16000000,16000000,340000000,Yes,120x600 160x600 200x200 250x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 336x280 468x60 728x90,20M - 50M
xici.net,/Online Communities,100,9.2,16000000,16000000,150000000,No,,,, --
people.com.cn,/Local/Regional Content/East Asia/China /News & Current Events /Society/Social Science,100,9.2,16000000,16000000,280000000,No,,,,undefined
51.com,/Online Communities/Social Networks,100,9.2,16000000,16000000,1300000000,Yes,160x600 200x200 300x250 336x280 468x60 728x90,,160x600 200x200 300x250 336x280 468x60 728x90,1K - 10K
9wee.com,/Games/Video Games/Online Games /Games/Video Games /Computers & Electronics,100,9.1,16000000,16000000,310000000,No,,,, --
126.com,/Computers & Electronics/Programming /Computers & Electronics /Internet/Web Services/Email & Messaging,100,9.1,16000000,16000000,490000000,No,,,,undefined
qidian.com,/Arts & Humanities/Books & Literature/Fan Fiction /Games/Video Games/Online Games,100,8.4,14000000,14000000,1200000000,No,,,, --
4399.net,/Entertainment/Multimedia Content/Flash Content /Games/Video Games/Online Games,100,8.4,14000000,14000000,790000000,Yes,120x600 468x60 728x90,,120x600 468x60 728x90,100M+
chinamobile.com,/Telecommunications/Service Providers /Telecommunications,100,7.7,13000000,13000000,450000000,No,,,, --
18daygg.com,/Games/Video Games/Cheats & Hints /Games/Video Games/Online Games,100,7.7,13000000,13000000,73000000,No,,,, --
360safe.com,/Computers & Electronics /Entertainment/Comics & Animation,100,7.7,13000000,13000000,130000000,No,,,, --
onlinedown.net,/Computers & Electronics/Software /Computers & Electronics/Software/Software Utilities,100,7.6,13000000,13000000,80000000,Yes,468x60 728x90,,468x60 728x90,2M - 5M
pplive.com,/Entertainment/TV,100,7.6,13000000,13000000,130000000,Yes,120x600,,120x600,10K - 100K
pomoho.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads,100,7.6,13000000,13000000,110000000,Yes,200x200 468x60 728x90,,200x200 468x60 728x90,2M - 5M
molidao.com,/Entertainment/Celebrities /Computers & Electronics/Programming,100,7.6,13000000,13000000,81000000,No,,,, --
hexun.com,/Finance & Insurance/Investing,100,7.6,13000000,13000000,340000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,10K - 100K
39.net,/Health,100,7.5,13000000,13000000,190000000,Yes,250x250 300x250 336x280 728x90,,250x250 300x250 336x280 728x90,2M - 5M
youdao.com,/Internet/Web Portals /News & Current Events,100,7.5,13000000,13000000,140000000,No,,,, --
kugou.com,/Entertainment/Movies,100,7.5,13000000,13000000,180000000,No,,,, --
wauee.com,/Internet/Online Goodies,100,7.5,13000000,13000000,74000000,No,,,, --
alimama.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,100,7,12000000,12000000,170000000,No,,,, --
7k7k.com,/Entertainment/Multimedia Content/Flash Content /Games/Video Games/Online Games,100,7,12000000,12000000,500000000,Yes,468x60 728x90,,468x60 728x90,20M - 50M
9vcpp.cn,/Games/Video Games,100,7,12000000,12000000,81000000,No,,,, --
douban.com,/Lifestyles/Subcultures & Niche Interests /Arts & Humanities/Books & Literature /Online Communities/Social Networks /Entertainment/Movies /Online Communities/Blogging Resources & Services /Shopping/Consumer Affairs & Product Reviews/Product Reviews,100,6.9,12000000,12000000,540000000,Yes,,,,500K - 1M
china.com,/Internet/Web Portals /News & Current Events,100,6.9,12000000,12000000,540000000,Yes,160x600 200x200 250x250 300x250 336x280 468x60 728x90,,160x600 200x200 250x250 300x250 336x280 468x60 728x90,5M - 10M
vnet.cn,/Internet/Web Portals /Telecommunications/Service Providers/ISPs,100,6.9,12000000,12000000,190000000,Yes,160x600 300x250 468x60 728x90,,160x600 300x250 468x60 728x90,100K - 500K
pchome.net,/Computers & Electronics,100,6.9,12000000,12000000,250000000,No,,,, --
cnxad.com,/Internet/Search Engine Optimization & Marketing /Internet/Web Services/Web Stats & Analytics /Internet/Web Services/Affiliate Programs,100,6.9,12000000,12000000,81000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,100,6.9,12000000,12000000,310000000,No,,,, --
it168.com,/Computers & Electronics,100,6.4,11000000,11000000,160000000,Yes,468x60 728x90,,468x60 728x90,100K - 500K
bbvod.net,/Entertainment/Comics & Animation /Entertainment /Entertainment/Music,100,6.4,11000000,11000000,370000000,No,,,, --
alibaba.com,/Business/Management & Corporate Operations /Business/Advertising & Marketing /Shopping/Apparel,100,6.3,11000000,11000000,650000000,Yes,728x90,,728x90,1K - 10K
alipay.com,/Games/Video Games/Online Games /Finance & Insurance/Banking & Personal Finance,100,6.3,11000000,11000000,600000000,No,,,, --
icbc.com.cn,/Finance & Insurance/Banking & Personal Finance,100,6.3,11000000,11000000,280000000,No,,,, --
21cn.com,/Internet/Web Portals /News & Current Events,100,6.3,11000000,11000000,140000000,Yes,300x250 336x280 728x90,,300x250 336x280 728x90,2M - 5M
