Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,98,38.8,500000000,500000000,77000000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,98,29.1,370000000,370000000,47000000000,Yes,450x50 468x60,,,100K - 500K
msn.com,/Internet/Web Portals /News & Current Events,98,28.5,370000000,370000000,15000000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,98,26.4,340000000,340000000,8700000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,98,23.9,310000000,310000000,6500000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,98,21.7,280000000,280000000,110000000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
baidu.com,/Internet/Web Portals /Internet/Web Services/Search Engines,98,12.4,160000000,160000000,24000000000,Yes,160x600 200x200 250x250 300x250 468x60 728x90,,160x600 200x200 250x250 300x250 468x60 728x90,500K - 1M
qq.com,/Internet/Web Services/Email & Messaging,98,11.2,140000000,140000000,18000000000,Yes,300x250 728x90,,300x250 728x90,100K - 500K
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,98,11,140000000,140000000,660000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,98,10.1,130000000,130000000,53000000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,98,9.1,120000000,120000000,1000000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
sina.com.cn,/Internet/Web Portals /News & Current Events,98,8.3,110000000,110000000,7900000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,20M - 50M
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,98,8.2,110000000,110000000,870000000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,98,6.9,89000000,89000000,590000000,No,,,, --
amazon.com,/Shopping,98,6.9,89000000,89000000,3300000000,No,,,, --
ebay.com,/Shopping/Auctions,98,6.3,81000000,81000000,11000000000,No,,,, --
flickr.com,/Photo & Video/Photo & Video Sharing,98,6.3,81000000,81000000,3000000000,No,,,, --
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,98,6.2,80000000,80000000,2100000000,Yes,728x90,,728x90,100K - 500K
163.com,/Internet/Web Portals,98,5.7,74000000,74000000,4900000000,Yes,300x250 336x280 450x50 728x90,,300x250 336x280 728x90,10K - 100K
tudou.com,/Food & Drink/Cooking & Recipes,98,5.7,73000000,73000000,2800000000,Yes,728x90,,728x90,10K - 100K
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,98,5.6,72000000,72000000,550000000,Yes,300x250 728x90,,300x250 728x90,10K - 100K
rapidshare.com,/Internet/File Sharing & Hosting,98,5.3,68000000,68000000,1900000000,No,,,, --
apple.com,/Computers & Electronics/Software/Operating Systems/Mac /Computers & Electronics,98,5.3,68000000,68000000,880000000,No,,,, --
youku.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Entertainment,98,5.2,67000000,67000000,4000000000,Yes,728x90,,728x90,100M+
hotmail.com,/Internet/Web Services/Email & Messaging,98,5.2,67000000,67000000,720000000,No,,,, --
imdb.com,/Entertainment/Movies /Entertainment,98,5.2,67000000,67000000,2500000000,No,,,, --
yahoo.co.jp,/Internet/Web Portals,98,5.2,67000000,67000000,25000000000,No,,,, --
about.com,/Reference/How-To & Expert Content /Internet/Web Portals,98,5.2,67000000,67000000,720000000,Yes,300x250 728x90,,300x250 728x90,20M - 50M
sohu.com,/Internet/Web Portals /Entertainment,98,5.2,67000000,67000000,4100000000,Yes,728x90,,728x90,10K - 100K
aol.com,/Internet/Web Portals /Internet/Web Services/Email & Messaging,98,5.1,66000000,66000000,4800000000,No,,,, --
ask.com,/Entertainment/Comics & Animation/Cartoons /Internet /Internet/Web Services/Search Engines,98,5.1,66000000,66000000,1100000000,Yes,450x50 468x60,,,2M - 5M
iefxz.com,/Computers & Electronics/Tech Support,98,4.8,61000000,61000000,490000000,No,,,, --
imageshack.us,/Internet/File Sharing & Hosting,98,4.7,61000000,61000000,450000000,Yes,728x90,,728x90,1M - 2M
soso.com,/Food & Drink/Restaurants /Internet/Web Services/Search Engines /Local/Regional Content/Western Europe/United Kingdom,98,4.7,61000000,61000000,1400000000,Yes,728x90,,728x90,10K - 100K
bbc.co.uk,/News & Current Events /Local/Regional Content/Western Europe/United Kingdom /Entertainment/Radio /Science,98,4.7,60000000,60000000,4000000000,No,,,, --
xunlei.com,/Entertainment/TV/TV Programs /Entertainment/Movies /Entertainment/Music /Computers & Electronics/Software,98,4.7,60000000,60000000,2700000000,Yes,300x250 336x280 728x90,,300x250 336x280 728x90,20M - 50M
go.com,/Internet/Web Portals /Sports,98,4.3,56000000,56000000,2800000000,No,,,,undefined
casalemedia.com,/Business/Advertising & Marketing/Marketing Services /Internet/Web Services,98,4.3,55000000,55000000,270000000,No,,,, --
geocities.com,/Online Communities/Online Journals & Personal Sites,98,3.9,51000000,51000000,280000000,No,,,, --
hao123.com,/Reference/Online Directories,98,3.9,50000000,50000000,2300000000,Yes,728x90,,728x90,10K - 100K
hi5.com,/Online Communities/Social Networks,98,3.9,50000000,50000000,14000000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,100M+
gougou.com,/Internet/Web Services,98,3.8,50000000,50000000,1500000000,Yes,728x90,,728x90,20M - 50M
cnn.com,/News & Current Events /Entertainment/TV/TV Networks,98,3.8,49000000,49000000,2100000000,Yes,,,,20M - 50M
ku6.com,/Entertainment/Multimedia Content,98,3.8,49000000,49000000,1100000000,Yes,728x90,,728x90,10K - 100K
yieldmanager.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,98,3.6,46000000,46000000,250000000,No,,,, --
download.com,/Computers & Electronics/Computer Security/Antivirus & Malware /Computers & Electronics/Software,98,3.5,46000000,46000000,450000000,Yes,120x600 300x250 468x60,,120x600 300x250 468x60,5M - 10M
taobao.com,/Shopping /Business/E-Commerce,98,3.5,46000000,46000000,8700000000,No,,,,undefined
overture.com,/Internet/Web Services/Search Engines /Business/Advertising & Marketing,98,3.5,46000000,46000000,260000000,No,,,, --
livefilestore.com,/Shopping/Apparel /Shopping,110,3.5,45000000,41000000,380000000,No,,,, --
answers.com,/Reference/Dictionaries & Encyclopedias,98,3.3,42000000,42000000,230000000,No,,,,undefined
wikimedia.org,/Reference/Dictionaries & Encyclopedias /Finance & Insurance/Banking & Personal Finance,98,3.2,41000000,41000000,210000000,No,,,, --
craigslist.org,/Local/Classifieds,98,3.2,41000000,41000000,14000000000,No,,,, --
fc2.com,/Online Communities/Blogging Resources & Services /Internet/Web Hosting & Domain Registration,98,3.2,41000000,41000000,2700000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100K - 500K
