Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,70.5%,"12,000,000","12,000,000","17,000,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,58.2%,"9,900,000","10,000,000","1,200,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,48.0%,"8,200,000","8,200,000","1,300,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,47.8%,"8,100,000","8,200,000","730,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,44.5%,"7,600,000","7,600,000","120,000,000",
,,domain: ninemsn.com.au,[D],Arts & Entertainment > Celebrities & Entertainment News,Yes,Yes,140x105 ,No,No,No,No,98,43.2%,"7,400,000","7,500,000","450,000,000",
,,domain: ebay.com.au,[D],Shopping > Auctions,Yes,Yes,Yes,No,No,No,No,100,39.9%,"6,800,000","6,800,000","1,300,000,000",
,,domain: commbank.com.au,[D],Finance > Banking,Yes,Yes,No,No,No,No,No,100,27.2%,"4,600,000","4,600,000","370,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,27.2%,"4,600,000","4,600,000","50,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,22.5%,"3,800,000","3,800,000","140,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,22.4%,"3,800,000","3,900,000","42,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,22.4%,"3,800,000","3,800,000","28,000,000",
,,domain: abc.net.au,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,No,No,No,No,No,No,No,100,20.4%,"3,500,000","3,500,000","130,000,000",
,,domain: realestate.com.au,[D],Real Estate > Real Estate Listings,Yes,Yes,140x265 150x20 150x30 160x230 160x600 270x120 285x80 300x100 300x200 300x250 300x350 300x365 320x50 355x25 500x30 570x65 640x136 728x90 ,No,No,No,No,100,18.7%,"3,200,000","3,200,000","250,000,000",
,,domain: paypal.com,[D],Business & Industrial > Business Services > E-Commerce Services > Merchant Services & Payment Systems,Yes,Yes,69x25 110x24 110x25 110x30 115x21 120x21 141x25 141x59 150x100 174x28 183x43 183x90 183x100 210x80 240x164 542x228 555x200 559x557 560x228 750x80 760x228 ,No,No,No,No,99,16.9%,"2,900,000","2,900,000","62,000,000",
,,domain: westpac.com.au,[D],Finance > Banking,Yes,No,No,No,No,No,No,99,16.8%,"2,800,000","2,900,000","250,000,000",
,,domain: about.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,300x250 336x280 728x90 ,No,No,300x250 336x280 728x90 ,No,98,16.8%,"2,800,000","2,900,000","19,000,000",
,,domain: anz.com,[D],Finance,Yes,No,No,No,No,No,No,99,16.6%,"2,800,000","2,900,000","130,000,000",
,,domain: nab.com.au,[D],Finance > Banking,Yes,No,No,No,No,No,No,100,15.4%,"2,600,000","2,600,000","210,000,000",
,,domain: apple.com,[D],Computers & Electronics > Software > Operating Systems > Mac OS,Yes,Yes,53x53 135x95 187x94 240x48 305x63 305x80 320x37 320x259 385x295 480x187 ,No,No,No,No,99,15.3%,"2,600,000","2,600,000","31,000,000",
,,domain: bigpond.com,[D],Internet & Telecom > Service Providers > ISPs,Yes,Yes,No,No,No,No,No,100,15.2%,"2,600,000","2,600,000","140,000,000",
,,domain: nsw.gov.au,[D],Law & Government > Government > State & Local Government,Yes,No,122x55 300x250 300x600 468x60 728x90 ,No,No,No,No,99,15.2%,"2,600,000","2,600,000","81,000,000",
,,domain: yellowpages.com.au,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,No,No,No,No,No,No,100,14.1%,"2,400,000","2,400,000","16,000,000",
,,domain: news.com.au,[D],News,Yes,Yes,300x250 468x60 ,No,No,No,No,100,14.1%,"2,400,000","2,400,000","61,000,000",
,,domain: smh.com.au,[D],News,Yes,Yes,150x60 180x40 180x44 180x60 180x85 183x25 300x125 300x250 300x600 468x60 728x90 940x20 ,No,No,300x250 728x90 ,No,100,14.1%,"2,400,000","2,400,000","89,000,000",
,,domain: bom.gov.au,[D],News > Weather,No,No,No,No,No,No,No,98,13.9%,"2,400,000","2,400,000","160,000,000",
,,domain: hotfrog.com.au,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,Yes,300x250 728x90 ,No,No,300x250 728x90 ,No,100,12.7%,"2,200,000","2,200,000","8,200,000",
,,domain: amazon.com,[D],Shopping > Shopping Portals & Search Engines,Yes,Yes,125x125 ,No,No,No,No,100,12.7%,"2,200,000","2,200,000","55,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,12.7%,"2,200,000","2,200,000","13,000,000",
,,domain: seek.com.au,[D],Jobs & Education > Jobs > Job Listings,Yes,No,468x60 ,No,No,No,No,99,12.6%,"2,100,000","2,200,000","140,000,000",
,,domain: gumtree.com.au,[D],Shopping > Classifieds,Yes,Yes,Yes,No,No,No,No,99,12.6%,"2,100,000","2,200,000","130,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,12.5%,"2,100,000","2,100,000","16,000,000",
,,domain: whitepages.com.au,[D],Reference > Directories & Listings,Yes,No,No,No,No,No,No,100,12.5%,"2,100,000","2,100,000","24,000,000",
,,domain: qantas.com.au,[D],Travel > Air Travel,Yes,No,Yes,No,No,No,No,98,12.5%,"2,100,000","2,200,000","81,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,11.7%,"2,000,000","2,000,000","46,000,000",
,,domain: linkedin.com,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,11.6%,"2,000,000","2,000,000","62,000,000",
,,domain: answers.com,[D],Reference > General Reference,Yes,Yes,160x600 250x250 300x250 320x50 ,No,No,No,320x50 ,100,11.5%,"2,000,000","2,000,000","8,200,000",
,,domain: imdb.com,[D],Arts & Entertainment > Movies > Movie Reference,Yes,Yes,160x600 300x40 300x250 642x40 728x90 1008x60 ,No,No,No,No,99,11.4%,"1,900,000","2,000,000","37,000,000",
,,domain: truelocal.com.au,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,No,No,No,No,No,No,98,11.3%,"1,900,000","2,000,000","7,400,000",
,,domain: anz.com.au,[D],Finance > Banking,No,No,No,No,No,No,No,99,11.3%,"1,900,000","1,900,000","28,000,000",
,,domain: centrelink.gov.au,[D],Law & Government > Social Services > Welfare & Unemployment,No,No,No,No,No,No,No,100,10.6%,"1,800,000","1,800,000","82,000,000",
,,domain: carsales.com.au,[D],Autos & Vehicles > Vehicle Shopping,Yes,Yes,120x600 180x20 190x94 200x90 300x100 300x250 350x20 450x90 468x60 728x90 ,No,No,No,No,100,10.6%,"1,800,000","1,800,000","210,000,000",
,,domain: heraldsun.com.au,[D],News,Yes,Yes,300x250 468x60 ,No,No,No,No,100,10.6%,"1,800,000","1,800,000","82,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,10.5%,"1,800,000","1,800,000","28,000,000",
,,domain: telstra.com.au,[D],Internet & Telecom > Service Providers > Phone Service Providers,Yes,Yes,Yes,No,No,No,No,100,10.5%,"1,800,000","1,800,000","45,000,000",
,,domain: ehow.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,160x600 249x77 300x250 320x50 336x280 728x90 ,No,No,160x600 300x250 728x90 ,No,99,10.5%,"1,800,000","1,800,000","6,800,000",
,,domain: ebay.com,[D],Shopping > Auctions,Yes,Yes,Yes,No,No,No,No,99,10.4%,"1,800,000","1,800,000","98,000,000",
,,domain: domain.com.au,[D],Real Estate,Yes,Yes,180x44 300x250 300x600 728x90 940x20 ,No,No,300x250 728x90 ,No,99,10.4%,"1,800,000","1,800,000","99,000,000",
,,domain: jetstar.com,[D],Travel > Air Travel,No,No,No,No,No,No,No,100,9.5%,"1,600,000","1,600,000","38,000,000",
,,domain: taste.com.au,[D],Food & Drink > Cooking & Recipes,Yes,No,No,No,No,No,No,98,9.5%,"1,600,000","1,600,000","23,000,000",
,,domain: optus.com.au,[D],Internet & Telecom > Service Providers,Yes,No,No,No,No,No,No,99,9.4%,"1,600,000","1,600,000","38,000,000",
,,domain: bbc.co.uk,[D],News > World News,Yes,Yes,No,No,No,No,No,100,8.7%,"1,500,000","1,500,000","34,000,000",
,,domain: flickr.com,[D],Online Communities > Photo & Video Sharing > Photo & Image Sharing,Yes,No,No,No,No,No,No,100,8.7%,"1,500,000","1,500,000","31,000,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,8.7%,"1,500,000","1,500,000","6,200,000",
,,domain: whereis.com,[D],Reference > Geographic Reference > Maps,Yes,No,No,No,No,No,No,100,8.6%,"1,500,000","1,500,000","17,000,000",
,,domain: theage.com.au,[D],News,Yes,Yes,180x40 180x44 180x60 180x85 183x25 300x125 300x250 300x600 468x60 728x90 940x20 ,No,No,300x250 728x90 ,No,98,8.6%,"1,500,000","1,500,000","50,000,000",
,,domain: cnet.com,[D],Computers & Electronics > Consumer Electronics,Yes,Yes,160x600 300x250 475x35 728x90 ,No,No,No,No,100,8.0%,"1,400,000","1,400,000","8,200,000",
,,domain: afl.com.au,[D],Sports > Team Sports > Soccer,Yes,Yes,No,No,No,No,No,100,7.9%,"1,300,000","1,300,000","140,000,000",
,,domain: virginaustralia.com,[D],Travel > Air Travel,Yes,No,160x600 184x114 205x123 728x90 ,No,No,No,No,100,7.9%,"1,300,000","1,300,000","9,000,000",
,,domain: wotif.com,[D],Travel > Hotels & Accommodations,Yes,No,Yes,No,No,No,No,100,7.9%,"1,300,000","1,300,000","42,000,000",
,,domain: partycasino.com,[D],,Yes,No,No,No,No,No,No,100,7.9%,"1,300,000","1,300,000","3,800,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,7.9%,"1,300,000","1,300,000","24,000,000",
,,domain: ato.gov.au,[D],Law & Government > Government,No,No,No,No,No,No,No,99,7.8%,"1,300,000","1,300,000","46,000,000",
,,domain: skype.com,[D],Internet & Telecom > Email & Messaging > Voice & Video Chat,Yes,Yes,209x209 ,No,No,No,No,98,7.7%,"1,300,000","1,300,000","12,000,000",
,,domain: shopping.com,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons > Price Comparisons,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,No,100,7.2%,"1,200,000","1,200,000","5,600,000",
,,domain: whirlpool.net.au,[D],,Yes,Yes,728x90 ,No,No,No,No,100,7.2%,"1,200,000","1,200,000","12,000,000",
,,domain: tradingpost.com.au,[D],Shopping > Classifieds,Yes,No,No,No,No,No,No,100,7.1%,"1,200,000","1,200,000","41,000,000",
,,domain: peeplo.com,[D],Internet & Telecom > Search Engines,Yes,Yes,300x250 728x90 ,No,No,300x250 728x90 ,No,100,7.1%,"1,200,000","1,200,000","4,200,000",
,,domain: virginblue.com.au,[D],Travel > Air Travel,Yes,Yes,184x114 ,No,No,No,No,99,7.1%,"1,200,000","1,200,000","18,000,000",
,,domain: stgeorge.com.au,[D],Finance > Banking,Yes,No,No,No,No,No,No,98,7.0%,"1,200,000","1,200,000","66,000,000",
,,domain: theaustralian.com.au,[D],News,Yes,Yes,300x250 468x60 ,No,No,No,No,100,6.5%,"1,100,000","1,100,000","19,000,000",
,,domain: weatherzone.com.au,[D],News > Weather,Yes,Yes,320x50 728x90 ,No,No,728x90 ,No,100,6.5%,"1,100,000","1,100,000","42,000,000",
,,domain: webjet.com.au,[D],Travel > Air Travel,Yes,No,Yes,No,No,No,No,100,6.5%,"1,100,000","1,100,000","13,000,000",
