Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,75.9%,"6,200,000","6,200,000","7,100,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,62.5%,"5,100,000","5,100,000","800,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,43.5%,"3,500,000","3,500,000","50,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,43.1%,"3,500,000","3,500,000","110,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,26.6%,"2,200,000","2,200,000","19,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,24.2%,"2,000,000","2,000,000","18,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,24.0%,"1,900,000","2,000,000","140,000,000",
,,domain: bnpparibasfortis.be,[D],Finance > Banking,No,No,No,No,No,No,No,100,22.0%,"1,800,000","1,800,000","99,000,000",
,,domain: skynet.be,[D],Internet & Telecom > Web Portals,Yes,Yes,120x600 160x600 250x250 300x125 300x160 300x250 728x90 ,No,No,160x600 300x250 728x90 ,160x600 300x250 728x90 ,99,19.9%,"1,600,000","1,600,000","56,000,000",
,,domain: telenet.be,[D],Internet & Telecom > Web Services,Yes,Yes,120x160 120x600 160x600 300x250 468x60 500x400 728x90 ,No,No,120x600 160x600 468x60 728x90 ,120x600 160x600 468x60 728x90 ,100,19.6%,"1,600,000","1,600,000","97,000,000",
