Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,75.8%,"21,000,000","21,000,000","30,000,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,62.6%,"18,000,000","18,000,000","2,700,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,62.5%,"17,000,000","17,000,000","3,400,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,47.4%,"13,000,000","13,000,000","880,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,46.7%,"13,000,000","13,000,000","1,900,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,39.5%,"11,000,000","11,000,000","190,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,29.3%,"8,200,000","8,200,000","280,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,29.2%,"8,200,000","8,300,000","90,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,29.2%,"8,200,000","8,200,000","88,000,000",
,,domain: kijiji.ca,[D],Shopping,Yes,Yes,88x31 120x60 120x90 120x240 120x600 125x125 160x600 180x150 200x200 234x60 240x400 250x250 300x100 300x250 300x600 336x280 468x60 720x300 728x90 ,No,No,No,No,98,28.9%,"8,100,000","8,300,000","1,300,000,000",
,,domain: sympatico.ca,[D],Internet & Telecom > Web Portals,Yes,Yes,86x86 165x45 300x250 952x100 ,No,No,No,No,98,28.9%,"8,100,000","8,200,000","170,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,24.1%,"6,700,000","6,700,000","60,000,000",
,,domain: theweathernetwork.com,[D],News > Weather,Yes,Yes,168x28 ,No,No,No,No,100,18.2%,"5,100,000","5,100,000","110,000,000",
,,domain: royalbank.com,[D],Finance > Banking,No,No,No,No,No,No,No,100,16.5%,"4,600,000","4,600,000","370,000,000",
,,domain: tdcanadatrust.com,[D],Finance > Banking,Yes,No,Yes,No,No,No,No,99,16.4%,"4,600,000","4,600,000","230,000,000",
,,domain: td.com,[D],Finance > Banking,No,No,No,No,No,No,No,99,16.3%,"4,600,000","4,600,000","140,000,000",
,,domain: ebay.ca,[D],Shopping > Auctions,Yes,No,120x60 ,No,No,No,No,100,15.2%,"4,300,000","4,300,000","310,000,000",
,,domain: about.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,300x250 336x280 728x90 ,No,No,300x250 336x280 728x90 ,No,98,14.9%,"4,200,000","4,200,000","34,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,13.9%,"3,900,000","3,900,000","130,000,000",
,,domain: rbcroyalbank.com,[D],Finance > Banking,No,No,No,No,No,No,No,100,13.8%,"3,900,000","3,900,000","56,000,000",
,,domain: cbc.ca,[D],News,Yes,Yes,120x60 160x600 300x250 450x50 468x60 480x70 728x90 ,No,No,No,No,100,13.7%,"3,800,000","3,800,000","89,000,000",
,,domain: apple.com,[D],Computers & Electronics > Software > Operating Systems > Mac OS,Yes,Yes,53x53 135x95 187x94 240x48 305x63 305x80 320x37 320x259 385x295 480x187 ,No,No,No,No,99,13.6%,"3,800,000","3,800,000","38,000,000",
,,domain: linkedin.com,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,12.5%,"3,500,000","3,500,000","120,000,000",
,,domain: amazon.com,[D],Shopping > Shopping Portals & Search Engines,Yes,Yes,125x125 ,No,No,No,No,100,12.4%,"3,500,000","3,500,000","61,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,12.4%,"3,500,000","3,500,000","24,000,000",
,,domain: desjardins.com,[D],Finance,No,No,No,No,No,No,No,99,12.4%,"3,500,000","3,500,000","210,000,000",
,,domain: yellowpages.ca,[D],Reference > Directories & Listings > Business & Personal Listings,No,No,No,No,No,No,No,100,12.3%,"3,400,000","3,400,000","21,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,12.2%,"3,400,000","3,500,000","26,000,000",
,,domain: canoe.ca,[D],News,Yes,Yes,160x600 216x36 216x54 300x50 300x75 300x250 320x50 728x90 ,No,No,160x600 300x250 728x90 ,No,98,11.2%,"3,100,000","3,200,000","98,000,000",
,,domain: bmo.com,[D],Finance > Banking,No,No,No,No,No,No,No,100,10.4%,"2,900,000","2,900,000","170,000,000",
,,domain: cibc.com,[D],Finance,No,No,No,No,No,No,No,100,10.4%,"2,900,000","2,900,000","210,000,000",
,,domain: meteomedia.com,[D],News > Weather,Yes,Yes,168x28 ,No,No,No,No,99,10.3%,"2,900,000","2,900,000","74,000,000",
,,domain: ehow.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,160x600 249x77 300x250 320x50 336x280 728x90 ,No,No,160x600 300x250 728x90 ,No,99,10.3%,"2,900,000","2,900,000","12,000,000",
,,domain: canadiantire.ca,[D],Shopping,Yes,No,No,No,No,No,No,100,10.3%,"2,900,000","2,900,000","55,000,000",
,,domain: canada411.ca,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,No,Yes,No,No,No,No,100,10.1%,"2,800,000","2,800,000","34,000,000",
,,domain: imdb.com,[D],Arts & Entertainment > Movies > Movie Reference,Yes,Yes,160x600 300x40 300x250 642x40 728x90 1008x60 ,No,No,No,No,99,10.1%,"2,800,000","2,900,000","60,000,000",
,,domain: scotiabank.com,[D],Finance > Banking,Yes,No,No,No,No,No,No,100,9.4%,"2,600,000","2,600,000","280,000,000",
,,domain: flickr.com,[D],Online Communities > Photo & Video Sharing > Photo & Image Sharing,Yes,No,No,No,No,No,No,100,9.3%,"2,600,000","2,600,000","67,000,000",
,,domain: answers.com,[D],Reference > General Reference,Yes,Yes,160x600 250x250 300x250 320x50 ,No,No,No,320x50 ,100,9.3%,"2,600,000","2,600,000","9,900,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,9.3%,"2,600,000","2,600,000","12,000,000",
,,domain: ebay.com,[D],Shopping > Auctions,Yes,Yes,Yes,No,No,No,No,99,9.2%,"2,600,000","2,600,000","170,000,000",
,,domain: bell.ca,[D],Internet & Telecom > Service Providers,No,No,No,No,No,No,No,98,9.2%,"2,600,000","2,600,000","98,000,000",
,,domain: zemgo.com,[D],Games,No,No,No,No,No,No,No,100,8.6%,"2,400,000","2,400,000","7,600,000",
,,domain: go.com,[D],Internet & Telecom > Web Portals,Yes,Yes,150x45 300x100 300x250 304x50 614x50 728x90 ,No,No,No,No,100,8.6%,"2,400,000","2,400,000","66,000,000",
,,domain: canadapost.ca,[D],Business & Industrial > Transportation & Logistics > Mail & Package Delivery,No,No,No,No,No,No,No,100,8.5%,"2,400,000","2,400,000","26,000,000",
,,domain: gouv.qc.ca,[D],Law & Government > Government,No,No,No,No,No,No,No,99,8.5%,"2,400,000","2,400,000","89,000,000",
,,domain: paypal.com,[D],Business & Industrial > Business Services > E-Commerce Services > Merchant Services & Payment Systems,Yes,Yes,69x25 110x24 110x25 110x30 115x21 120x21 141x25 141x59 150x100 174x28 183x43 183x90 183x100 210x80 240x164 542x228 555x200 559x557 560x228 750x80 760x228 ,No,No,No,No,99,8.5%,"2,400,000","2,400,000","51,000,000",
,,domain: ctv.ca,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,Yes,110x60 300x250 728x90 ,No,No,No,No,99,8.4%,"2,400,000","2,400,000","50,000,000",
,,domain: craigslist.ca,[D],Shopping > Classifieds,No,No,No,No,No,No,No,99,8.4%,"2,400,000","2,400,000","410,000,000",
,,domain: sears.ca,[D],Shopping > Apparel,Yes,Yes,No,No,No,No,No,99,8.4%,"2,300,000","2,400,000","73,000,000",
,,domain: realtor.ca,[D],Real Estate > Real Estate Agencies,No,No,No,No,No,No,No,99,8.4%,"2,300,000","2,400,000","190,000,000",
,,domain: nhl.com,[D],Sports > Team Sports > Hockey,Yes,Yes,120x240 120x600 152x14 160x160 160x240 160x250 160x300 160x420 160x600 170x50 200x52 220x30 238x55 270x50 270x58 300x100 300x122 300x145 300x250 728x90 732x90 ,No,No,No,No,98,8.4%,"2,300,000","2,400,000","41,000,000",
,,domain: rogers.com,[D],Internet & Telecom > Service Providers > Phone Service Providers,Yes,No,No,No,No,No,No,99,8.3%,"2,300,000","2,400,000","50,000,000",
,,domain: theglobeandmail.com,[D],News,Yes,Yes,300x48 728x90 ,No,No,728x90 ,No,97,8.3%,"2,300,000","2,400,000","74,000,000",
,,domain: aircanada.com,[D],Travel > Air Travel,Yes,Yes,125x125 160x600 180x77 180x140 180x180 200x100 200x175 300x250 468x60 ,No,No,No,No,100,7.7%,"2,200,000","2,200,000","67,000,000",
,,domain: weatheroffice.gc.ca,[D],News > Weather,No,No,No,No,No,No,No,99,7.6%,"2,100,000","2,200,000","60,000,000",
