Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,76.8,6200000,6200000,1000000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,100,68.4,5500000,5500000,170000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,63.2,5100000,5100000,2300000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,43.5,3500000,3500000,250000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,35.7,2900000,2900000,50000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,32.6,2600000,2600000,42000000,No,,,, --
hotmail.com,/Internet/Web Services/Email & Messaging,100,26.8,2200000,2200000,18000000,No,,,, --
hi5.com,/Online Communities/Social Networks,100,24,1900000,1900000,410000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,100M+
eltiempo.com,/Local/Regional Content/South America /News & Current Events/Newspapers,100,21.9,1800000,1800000,46000000,No,,,, --
sonico.com,/Online Communities/Social Networks /Photo & Video/Photo & Video Sharing,100,20.1,1600000,1600000,67000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,10M - 20M
mercadolibre.com.co,/Shopping/Shopping Portals & Search Engines /Local/Classifieds,100,19.9,1600000,1600000,50000000,No,,,, --
softonic.com,/Computers & Electronics /Internet,92,16.5,1300000,1500000,16000000,Yes,300x250,,,2M - 5M
