Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,76.3%,"18,000,000","18,000,000","18,000,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,69.1%,"16,000,000","16,000,000","1,900,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,52.4%,"12,000,000","12,000,000","280,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,32.1%,"7,400,000","7,400,000","340,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,29.9%,"6,900,000","6,900,000","66,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,29.4%,"6,800,000","6,800,000","60,000,000",
,,domain: enterfactory.com,[D],Internet & Telecom > Service Providers > ISPs,No,No,No,No,No,No,No,100,24.5%,"5,600,000","5,600,000","21,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,15.1%,"3,500,000","3,500,000","56,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,15.1%,"3,500,000","3,500,000","22,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,13.7%,"3,200,000","3,200,000","46,000,000",
,,domain: musica.com,[D],Arts & Entertainment > Music & Audio,Yes,Yes,160x600 300x250 728x90 ,No,No,No,No,100,11.5%,"2,600,000","2,600,000","34,000,000",
,,domain: eltiempo.com,[D],Sports > Motor Sports,Yes,No,950x450 ,No,No,No,No,100,11.5%,"2,600,000","2,600,000","51,000,000",
,,domain: friv.com,[D],Games > Online Games,Yes,No,300x250 336x280 ,No,No,No,No,100,11.4%,"2,600,000","2,600,000","61,000,000",
,,domain: iminent.com,[D],Online Communities > Online Goodies > Clip Art & Animated GIFs,Yes,No,Yes,No,No,No,No,100,11.4%,"2,600,000","2,600,000","120,000,000",
,,domain: yieldmanager.com,[D],Computers & Electronics > Computer Security,Yes,No,No,No,No,No,No,99,11.4%,"2,600,000","2,600,000","6,200,000",
,,domain: clubhola.mobi,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,11.3%,"2,600,000","2,600,000","7,400,000",
,,domain: softonic.com,[D],Computers & Electronics > Software,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,No,99,11.2%,"2,600,000","2,600,000","21,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,11.2%,"2,600,000","2,600,000","9,900,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,10.3%,"2,400,000","2,400,000","25,000,000",
,,domain: taringa.net,[D],Online Communities > Social Networks,Yes,Yes,120x240 160x600 250x250 300x250 468x60 728x90 ,No,No,No,No,100,10.3%,"2,400,000","2,400,000","22,000,000",
,,domain: mercadolibre.com.co,[D],Shopping > Shopping Portals & Search Engines,Yes,Yes,300x250 410x209 ,No,No,No,No,99,10.2%,"2,400,000","2,400,000","89,000,000",
,,domain: labellezadeinternet.com,[D],Computers & Electronics > Software > Internet Software > Internet Clients & Browsers,No,No,No,No,No,No,No,100,9.5%,"2,200,000","2,200,000","6,200,000",
,,domain: badoo.com,[D],Online Communities > Dating & Personals,Yes,No,No,No,No,No,No,100,9.5%,"2,200,000","2,200,000","140,000,000",
,,domain: canalrcnmsn.com,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,No,Yes,No,No,No,No,100,9.4%,"2,200,000","2,200,000","26,000,000",
,,domain: rincondelvago.com,[D],Jobs & Education > Education,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,160x600 300x250 468x60 728x90 ,100,9.3%,"2,100,000","2,100,000","9,900,000",
