Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,99,46.6,2200000,2200000,1400000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,99,38.7,1800000,1800000,230000000,No,,,,undefined
dr.dk,/Entertainment/TV/TV Networks /Entertainment /Entertainment/Radio,99,31.8,1500000,1500000,80000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,99,31.3,1500000,1500000,61000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,28.9,1300000,1300000,42000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,26.4,1200000,1200000,31000000,No,,,, --
krak.dk,/Reference/Maps & Geography /Local/Regional Content,99,26.3,1200000,1200000,29000000,No,,,, --
tv2.dk,/News & Current Events /Entertainment,99,26.2,1200000,1200000,130000000,Yes,,,,500K - 1M
ekstrabladet.dk,/News & Current Events/Newspapers,99,23.6,1100000,1100000,90000000,Yes,,,,500K - 1M
dba.dk,/Shopping,99,19.5,910000,910000,97000000,No,,,,undefined
degulesider.dk,/Reference/Business & Personal Listings /Reference/Online Directories,99,17.9,830000,830000,19000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,16.4,760000,760000,89000000,No,,,, --
tdc.dk,/Telecommunications/Service Providers/Phone Service Providers /Telecommunications/Service Providers/ISPs,99,14.8,690000,690000,25000000,No,,,, --
bt.dk,/News & Current Events/Newspapers,99,14.6,680000,680000,46000000,Yes,728x90,,728x90,1M - 2M
tdconline.dk,/Internet/Web Portals /Telecommunications/Service Providers/ISPs,99,14.5,670000,670000,88000000,Yes,,,,10K - 100K
politiken.dk,/News & Current Events/Newspapers,99,12.3,570000,570000,28000000,Yes,,,,500K - 1M
skat.dk,/Society/Government & Regulatory Bodies,99,12.2,570000,570000,38000000,No,,,, --
danskebank.dk,/Finance & Insurance/Banking & Personal Finance /Computers & Electronics/Software/Graphics & Publishing/Fonts,99,12.2,570000,570000,41000000,No,,,, --
dmi.dk,/Local/Weather,99,12.1,560000,560000,26000000,No,,,, --
hotmail.com,/Internet/Web Services/Email & Messaging,99,11.1,520000,520000,6700000,No,,,, --
jp.dk,/News & Current Events/Newspapers,99,11,510000,510000,24000000,No,,,, --
adtech.de,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,99,9.9,460000,460000,2100000,No,,,,undefined
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,99,9.9,460000,460000,5100000,No,,,, --
ekstrabladet.tv,/News & Current Events/Newspapers /Entertainment/TV /Entertainment,99,9.3,430000,430000,4200000,Yes,,,,100K - 500K
nordea.dk,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance,99,9.3,430000,430000,29000000,No,,,, --
kelkoo.dk,/Travel/Air Travel /Photo & Video/Photo & Video Equipment/Cameras & Camcorders /Shopping,99,9.2,430000,430000,5500000,No,,,, --
epn.dk,/News & Current Events/Newspapers /Finance & Insurance/Credit & Lending,99,9.2,430000,430000,8000000,No,,,, --
e-boks.dk,/Finance & Insurance/Banking & Personal Finance,99,9.1,420000,420000,38000000,No,,,, --
rejseplanen.dk,/Travel /Travel/Bus & Rail /Local,99,9.1,420000,420000,5200000,No,,,, --
berlingske.dk,/News & Current Events/Newspapers /News & Current Events/Politics,110,9.1,420000,380000,9900000,No,,,, --
adform.net,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,110,8.4,390000,350000,1200000,No,,,, --
dsb.dk,/Travel /Local,99,7.7,360000,360000,10000000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,99,7.6,350000,350000,3400000,No,,,, --
imdb.com,/Entertainment/Movies /Entertainment,99,7.6,350000,350000,21000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,99,7.6,350000,350000,16000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
borsen.dk,/News & Current Events/Business News /Finance & Insurance /Business,110,7.6,350000,320000,23000000,No,,,, --
zmags.com,/Recreation/Hobbies/Paintball /Arts & Humanities/Books & Literature,99,7.6,350000,350000,25000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,99,7.5,350000,350000,3400000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
tradedoubler.com,/Travel /Lifestyles/Holidays & Seasonal Events,99,7.5,350000,350000,2900000,No,,,, --
guloggratis.dk,/Local/Classifieds /Shopping,99,6.9,320000,320000,34000000,Yes,300x250,,300x250,1K - 10K
kmd.dk,/Real Estate/Home Inspections & Appraisal,99,6.9,320000,320000,4500000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,99,6.8,320000,320000,1100000,No,,,, --
sol.dk,/Reference/Online Directories /Health/Medical Literature & Resources,99,6.8,320000,320000,16000000,No,,,, --
bilbasen.dk,/Automotive,99,6.8,320000,320000,41000000,Yes,728x90,,728x90,100K - 500K
msn.dk,/Internet/Web Portals /Online Communities,99,6.8,320000,320000,4700000,No,,,, --
netdoktor.dk,/Health,99,6.8,320000,320000,4600000,Yes,,,,10K - 100K
apple.com,/Computers & Electronics/Software/Operating Systems/Mac /Computers & Electronics,99,6.4,300000,300000,5100000,No,,,, --
postdanmark.dk,/Local,99,6.3,290000,290000,5600000,No,,,, --
qxl.dk,/Shopping/Auctions,99,6.3,290000,290000,60000000,Yes,,,,500K - 1M
pricerunner.dk,/Shopping /Computers & Electronics/Consumer Electronics,99,6.3,290000,290000,6100000,No,,,, --
business.dk,/Business/Advertising & Marketing /Internet/Web Design & Development /News & Current Events/Newspapers,99,6.2,290000,290000,4600000,No,,,, --
starlounge.com,/News & Current Events /Entertainment/Celebrities,99,6.2,290000,290000,9900000,No,,,, --
dk-kogebogen.dk,/Food & Drink/Cooking & Recipes,99,6.2,290000,290000,6100000,Yes,160x600 728x90,,160x600 728x90,100K - 500K
jobindex.dk,/Local/Jobs /Society/Education /Business/Business Services & Consulting,99,6.2,290000,290000,21000000,No,,,, --
eb.dk,/Sensitive Subjects/Accidents /News & Current Events/Newspapers /Entertainment/Music,99,5.8,270000,270000,5500000,No,,,, --
