Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,110,70.2,6200000,5700000,490000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,100,42.6,3800000,3800000,81000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,35.9,3200000,3200000,210000000,Yes,450x50 468x60,,,100K - 500K
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,35.7,3200000,3200000,50000000,No,,,, --
maktoob.com,/Internet/Web Portals /Business /Entertainment,100,35.4,3100000,3100000,80000000,No,,,, --
rapidshare.com,/Internet/File Sharing & Hosting,100,32.8,2900000,2900000,55000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,29.5,2600000,2600000,590000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,100,29,2600000,2600000,16000000,Yes,300x250 728x90,,300x250 728x90,10K - 100K
yieldmanager.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,100,24.6,2200000,2200000,9100000,No,,,, --
myegy.com,/Entertainment/Music /Entertainment/Movies /Games/Video Games,100,22.1,2000000,2000000,140000000,No,,,, --
perfspot.com,/Online Communities/Social Networks /Photo & Video/Professional Photo & Video Services,100,22.1,2000000,2000000,29000000,Yes,120x600 160x600 300x250 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,2M - 5M
z5x.net,/Internet/Web Design & Development /Computers & Electronics/Programming /Computers & Electronics/Programming/Scripting Languages,100,18.2,1600000,1600000,9700000,No,,,, --
bramjnet.com,/Computers & Electronics/Software /Entertainment/Movies,100,18.2,1600000,1600000,16000000,Yes,336x280 468x60 728x90,,336x280 468x60 728x90,10K - 100K
zshare.net,/Internet/File Sharing & Hosting,100,18,1600000,1600000,14000000,No,,,,undefined
4shared.com,/Internet/File Sharing & Hosting,100,16.7,1500000,1500000,31000000,No,,,,undefined
spot200.com,/Internet/Web Design & Development /Computers & Electronics/Programming/Scripting Languages /Computers & Electronics/Programming /Entertainment,100,16.6,1500000,1500000,15000000,No,,,, --
jsoftj.com,/Computers & Electronics /Computers & Electronics/Computer Security,100,16.5,1500000,1500000,25000000,Yes,336x280 468x60 728x90,,336x280 468x60 728x90,500K - 1M
takemyfile.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers /Computers & Electronics/Software,100,15.2,1300000,1300000,80000000,No,,,, --
masrawy.com,/Internet/Web Portals /Online Communities/Forum & Chat Providers,100,15,1300000,1300000,50000000,No,,,,undefined
megaupload.com,/Internet/File Sharing & Hosting,100,13.9,1200000,1200000,13000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,13.8,1200000,1200000,12000000,No,,,, --
emediate.eu,/Business/Advertising & Marketing /Internet /Games/Video Games/Online Games,100,13.6,1200000,1200000,3500000,No,,,, --
jeeran.com,/Online Communities/Blogging Resources & Services /Internet/Web Services /Internet/Web Services/Email & Messaging /Internet/Web Hosting & Domain Registration,100,13.5,1200000,1200000,7400000,Yes,120x600 160x600 200x200 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 300x250 336x280 468x60 728x90,10K - 100K
