Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
iltasanomat.fi,/News & Current Events,98,35.5,1500000,1500000,110000000,Yes,,,,1M - 2M
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,98,35.3,1500000,1500000,67000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,98,35.1,1500000,1500000,650000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
iltalehti.fi,/News & Current Events/Newspapers /Entertainment /Beauty & Personal Care /Entertainment/Celebrities,98,35,1500000,1500000,170000000,Yes,,,,5M - 10M
suomi24.fi,/Internet/Web Portals /Internet/Web Services /Telecommunications/Mobile & Wireless,98,31.7,1300000,1300000,270000000,Yes,,,,5M - 10M
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,98,29.2,1200000,1200000,120000000,No,,,,undefined
yle.fi,/Entertainment/TV/TV Networks /Entertainment /News & Current Events /Society/Government & Regulatory Bodies,98,29.1,1200000,1200000,110000000,No,,,, --
mtv3.fi,/Entertainment/TV/TV Networks /Entertainment/TV /Entertainment/TV/TV Programs /Entertainment,89,28.5,1200000,1300000,90000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,89,23.6,1000000,1100000,46000000,No,,,, --
hs.fi,/News & Current Events/Newspapers /News & Current Events /News & Current Events/Technology News /Sports /Entertainment,98,23.6,1000000,1000000,46000000,No,,,, --
telkku.com,/Entertainment/TV/TV Programs /Entertainment/TV,98,16.5,700000,700000,45000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,98,16.4,690000,690000,18000000,No,,,, --
eniro.fi,/Reference/Maps & Geography /Reference/Online Directories,98,16.3,690000,690000,16000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,98,16.2,680000,680000,2600000,No,,,, --
plaza.fi,/Internet/Web Portals /Online Communities/Forum & Chat Providers,98,16.1,680000,680000,23000000,Yes,200x200,,200x200,500K - 1M
nordea.fi,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance/Credit & Lending /Finance & Insurance/Investing,98,16,670000,670000,42000000,No,,,, --
huuto.net,/Shopping/Shopping Portals & Search Engines /Automotive,98,14.9,630000,630000,150000000,Yes,,,,5M - 10M
02.fi,/Local /Telecommunications /Reference/Maps & Geography,98,13.6,570000,570000,8200000,No,,,, --
mol.fi,/Society/Government & Regulatory Bodies /Society/Social Services/Welfare & Unemployment,98,13.5,570000,570000,60000000,No,,,, --
saunalahti.fi,/Reference/Online Directories,98,13.4,560000,560000,41000000,No,,,, --
kauppalehti.fi,/News & Current Events/Business News /Finance & Insurance/Investing /Finance & Insurance /News & Current Events,98,12.3,520000,520000,41000000,No,,,, --
nettiauto.com,/Automotive/Vehicle Shopping /Automotive,98,12.2,520000,520000,80000000,Yes,160x600 468x60,,160x600 468x60,2M - 5M
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,110,11.3,470000,430000,38000000,No,,,, --
luukku.com,/Entertainment/TV/TV Networks /Entertainment/TV /Online Communities/Social Networks /Online Communities/Blogging Resources & Services /Internet/Web Services/Email & Messaging,98,11.1,470000,470000,67000000,No,,,, --
oikotie.fi,/Real Estate /Real Estate/Rental Listings & Referrals,98,10.3,430000,430000,37000000,No,,,, --
taloussanomat.fi,/Finance & Insurance/Investing /News & Current Events /Finance & Insurance,98,10.1,430000,430000,10000000,No,,,, --
fmi.fi,/Local/Weather /Society/Government & Regulatory Bodies,98,9.2,390000,390000,16000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,98,9.1,380000,380000,3800000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,98,9.1,380000,380000,10000000,No,,,,undefined
etuovi.com,/Real Estate/Rental Listings & Referrals /Real Estate /Real Estate/Real Estate Agencies /Local/Classifieds,98,9.1,380000,380000,60000000,No,,,, --
020300200.com,/Home & Garden/Home Improvement /Internet/Web Services,98,9.1,380000,380000,2300000,No,,,, --
sampopankki.fi,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance,98,8.4,350000,350000,11000000,No,,,, --
imdb.com,/Entertainment/Movies /Entertainment,98,8.4,350000,350000,23000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,98,8.4,350000,350000,21000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
helsinki.fi,/Science/Biological Sciences,110,8.3,350000,320000,12000000,No,,,, --
kolumbus.fi,/Telecommunications/Mobile & Wireless,98,8.2,350000,350000,17000000,No,,,, --
mbnet.fi,/Games/Video Games /Computers & Electronics /Games /News & Current Events/Technology News /Computers & Electronics/Hardware /Computers & Electronics/Software,98,8.2,350000,350000,7400000,Yes,120x600 160x600 468x60 728x90,,160x600 468x60 728x90,100K - 500K
kaksplus.fi,/Lifestyles/Parenting & Family /Lifestyles/Parenting & Family/Pregnancy & Maternity /Lifestyles /Lifestyles/Women's Interests /Lifestyles/Men's Interests,98,7.7,320000,320000,14000000,Yes,,,,100K - 500K
thepiratebay.org,/Internet/File Sharing & Hosting,98,7.7,320000,320000,25000000,No,,,, --
inet.fi,/Local/Weather /Travel/Hotels & Accommodations,98,7.7,320000,320000,9000000,No,,,, --
nelonen.fi,/Entertainment /Entertainment/TV/TV Networks /Entertainment/TV /Entertainment/TV/TV Programs,98,7.6,320000,320000,6800000,Yes,,,,10K - 100K
vr.fi,/Industries/Transportation & Logistics/Rail Transport /Industries/Transportation & Logistics /Travel,98,7.6,320000,320000,9100000,No,,,, --
