Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,43,16000000,16000000,2500000000,Yes,450x50 468x60,,,100K - 500K
msn.com,/Internet/Web Portals /News & Current Events,100,38.3,14000000,14000000,960000000,No,,,, --
free.fr,/Internet/Online Goodies /Computers & Electronics/Software /Internet,100,34.9,13000000,13000000,1200000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,32.4,12000000,12000000,1700000000,No,,,, --
orange.fr,/Reference/Educational Resources,100,31.9,12000000,12000000,3600000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,29.4,11000000,11000000,310000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,29.2,11000000,11000000,5300000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
commentcamarche.net,/Computers & Electronics /Reference/Dictionaries & Encyclopedias,100,26.4,9900000,9900000,130000000,Yes,,,,2M - 5M
dailymotion.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Photo & Video/Photo & Video Sharing /Entertainment/Multimedia Content /Online Communities,100,24.3,9100000,9100000,800000000,Yes,728x90,,728x90,10M - 20M
linternaute.com,/News & Current Events/Magazines /Internet/Web Portals /Entertainment /Reference,100,24,9000000,9000000,660000000,Yes,,,,10M - 20M
ebay.fr,/Shopping/Shopping Portals & Search Engines /Computers & Electronics/Hardware/Laptops /Shopping/Auctions,100,24,9000000,9000000,1700000000,No,,,, --
pagesjaunes.fr,/Reference/Business & Personal Listings /Reference,100,22.2,8300000,8300000,330000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,21.9,8200000,8200000,190000000,No,,,, --
skyrock.com,/Online Communities /Online Communities/Blogging Resources & Services /Online Communities/Social Networks /Entertainment/Radio /Entertainment/Music /Internet/Online Goodies,100,21.6,8100000,8100000,5400000000,No,,,, --
priceminister.com,/Shopping/Consumer Affairs & Product Reviews/Price Comparisons /Business/E-Commerce/Merchant Services & Payment Systems /Shopping/Shopping Portals & Search Engines,100,18.2,6800000,6800000,190000000,No,,,, --
01net.com,/News & Current Events/Technology News /Computers & Electronics /Internet,100,16.6,6200000,6200000,140000000,No,,,, --
doctissimo.fr,/Health /Lifestyles/Parenting & Family /Lifestyles/Women's Interests,100,14.9,5600000,5600000,170000000,Yes,,,,2M - 5M
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,14.8,5600000,5600000,31000000,No,,,, --
over-blog.com,/Online Communities/Blogging Resources & Services,100,14.8,5500000,5500000,140000000,No,,,, --
leboncoin.fr,/Automotive/Vehicle Shopping /Real Estate/Rental Listings & Referrals /Local/Classifieds,100,14.7,5500000,5500000,2200000000,Yes,,,,20M - 50M
allocine.fr,/Entertainment/Movies /Entertainment/TV /Entertainment/Celebrities,100,13.6,5100000,5100000,250000000,Yes,120x600,,120x600,2M - 5M
amazon.fr,/Shopping/Shopping Portals & Search Engines /Arts & Humanities/Books & Literature/Book Retailers,100,12.4,4600000,4600000,160000000,No,,,, --
laredoute.fr,/Shopping/Apparel /Shopping/Apparel/Clothing Labels & Designers,100,12.3,4600000,4600000,410000000,No,,,, --
aufeminin.com,/Lifestyles/Women's Interests /Beauty & Personal Care/Beauty Magazines,100,12.3,4600000,4600000,140000000,No,,,, --
msn.fr,/Computers & Electronics,100,12.1,4500000,4500000,130000000,No,,,, --
cdiscount.com,/Shopping/Consumer Affairs & Product Reviews/Price Comparisons /Shopping/Coupons & Rebates /Shopping/Consumer Affairs & Product Reviews,100,12.1,4500000,4500000,340000000,No,,,, --
