Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,51.8%,"34,000,000","35,000,000","30,000,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,47.0%,"31,000,000","32,000,000","4,400,000,000",
,,domain: ebay.de,[D],Shopping > Auctions,Yes,Yes,No,No,No,No,No,99,38.9%,"26,000,000","26,000,000","6,500,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,32.7%,"22,000,000","22,000,000","410,000,000",
,,domain: amazon.de,[D],Shopping > Entertainment Media,No,No,No,No,No,No,No,99,29.1%,"19,000,000","19,000,000","1,100,000,000",
,,domain: uimserv.net,[D],Real Estate,Yes,No,Yes,No,No,No,No,100,26.8%,"18,000,000","18,000,000","230,000,000",
,,domain: t-online.de,[D],Internet & Telecom > Web Portals,Yes,Yes,65x65 209x61 209x122 468x60 728x90 ,No,No,728x90 ,728x90 ,100,26.7%,"18,000,000","18,000,000","1,300,000,000",
,,domain: web.de,[D],Internet & Telecom > Web Portals,Yes,Yes,Yes,No,No,No,No,100,24.4%,"16,000,000","16,000,000","1,300,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,24.0%,"16,000,000","16,000,000","1,200,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,20.1%,"13,000,000","13,000,000","490,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,19.9%,"13,000,000","13,000,000","970,000,000",
,,domain: gmx.net,[D],Internet & Telecom > Web Portals,Yes,Yes,468x60 ,No,No,468x60 ,No,100,18.1%,"12,000,000","12,000,000","660,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,16.5%,"11,000,000","11,000,000","99,000,000",
,,domain: bild.de,[D],News,Yes,Yes,No,No,No,No,No,98,16.4%,"11,000,000","11,000,000","450,000,000",
,,domain: wetter.com,[D],News > Weather,Yes,Yes,No,No,No,No,No,99,14.9%,"9,900,000","9,900,000","190,000,000",
,,domain: chip.de,[D],Computers & Electronics,Yes,Yes,No,No,No,No,No,99,13.4%,"8,900,000","8,900,000","110,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,12.4%,"8,200,000","8,200,000","120,000,000",
,,domain: gutefrage.net,[D],Reference > General Reference > Educational Resources,Yes,Yes,No,No,No,No,No,99,12.2%,"8,100,000","8,200,000","46,000,000",
,,domain: mozilla.com,[D],Computers & Electronics > Software > Internet Software > Internet Clients & Browsers,No,No,No,No,No,No,No,99,11.2%,"7,400,000","7,400,000","51,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,10.3%,"6,800,000","6,800,000","46,000,000",
,,domain: immobilienscout24.de,[D],Real Estate > Real Estate Listings,Yes,Yes,No,No,No,No,No,100,10.3%,"6,800,000","6,800,000","450,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,10.2%,"6,700,000","6,700,000","66,000,000",
,,domain: mobile.de,[D],Autos & Vehicles > Vehicle Shopping,Yes,Yes,No,No,No,No,No,100,10.1%,"6,700,000","6,700,000","1,100,000,000",
,,domain: spiegel.de,[D],News > Newspapers,Yes,Yes,Yes,No,No,No,No,100,10.1%,"6,700,000","6,700,000","300,000,000",
,,domain: bahn.de,[D],Travel > Bus & Rail,Yes,No,No,No,No,No,No,100,9.4%,"6,200,000","6,200,000","160,000,000",
,,domain: otto.de,[D],Shopping > Mass Merchants & Department Stores,No,No,No,No,No,No,No,99,9.3%,"6,200,000","6,200,000","370,000,000",
,,domain: paypal.com,[D],Business & Industrial > Business Services > E-Commerce Services > Merchant Services & Payment Systems,Yes,Yes,69x25 110x24 110x25 110x30 115x21 120x21 141x25 141x59 150x100 174x28 183x43 183x90 183x100 210x80 240x164 542x228 555x200 559x557 560x228 750x80 760x228 ,No,No,No,No,99,9.3%,"6,200,000","6,200,000","130,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,9.3%,"6,100,000","6,200,000","180,000,000",
,,domain: wer-kennt-wen.de,[D],Online Communities > Social Networks,Yes,Yes,728x90 ,No,No,728x90 ,728x90 ,100,9.3%,"6,100,000","6,100,000","2,500,000,000",
,,domain: wetter.de,[D],News > Weather,Yes,Yes,Yes,No,No,No,No,98,9.2%,"6,100,000","6,200,000","98,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,8.5%,"5,600,000","5,600,000","210,000,000",
,,domain: meinestadt.de,[D],Internet & Telecom > Web Portals,Yes,Yes,130x90 300x120 ,No,No,No,No,100,7.8%,"5,200,000","5,200,000","120,000,000",
,,domain: stayfriends.de,[D],Online Communities > Social Networks,Yes,No,No,No,No,No,No,100,7.8%,"5,100,000","5,100,000","140,000,000",
,,domain: ligatus.com,[D],,Yes,No,Yes,No,No,No,No,100,7.7%,"5,100,000","5,100,000","19,000,000",
,,domain: icq.com,[D],Online Communities > Forum & Chat Providers,Yes,Yes,160x600 468x60 728x90 ,No,No,468x60 ,No,100,7.1%,"4,700,000","4,700,000","130,000,000",
,,domain: telekom.com,[D],Internet & Telecom > Service Providers > Phone Service Providers,No,No,No,No,No,No,No,100,7.0%,"4,600,000","4,600,000","61,000,000",
,,domain: myvideo.de,[D],Arts & Entertainment > TV & Video > Online Video,Yes,Yes,120x600 200x200 250x250 300x250 728x90 ,No,No,120x600 300x250 728x90 ,No,100,7.0%,"4,600,000","4,600,000","82,000,000",
,,domain: chefkoch.de,[D],Food & Drink > Cooking & Recipes,Yes,No,120x600 300x250 468x60 728x90 ,No,No,No,No,100,7.0%,"4,600,000","4,600,000","110,000,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,7.0%,"4,600,000","4,600,000","21,000,000",
,,domain: idealo.de,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons > Price Comparisons,Yes,Yes,336x280 728x90 ,No,No,336x280 728x90 ,336x280 728x90 ,100,7.0%,"4,600,000","4,600,000","62,000,000",
,,domain: autoscout24.de,[D],Autos & Vehicles > Vehicle Shopping,Yes,No,120x600 180x150 300x250 468x60 ,No,No,No,No,100,7.0%,"4,600,000","4,600,000","660,000,000",
,,domain: mpnrs.com,[D],,No,No,No,No,No,No,No,99,6.9%,"4,600,000","4,600,000","13,000,000",
,,domain: pgmediaserve.com,[D],,No,No,No,No,No,No,No,100,6.9%,"4,600,000","4,600,000","15,000,000",
,,domain: telekom.de,[D],Internet & Telecom > Service Providers > ISPs,Yes,Yes,Yes,No,No,No,No,100,6.4%,"4,200,000","4,200,000","89,000,000",
,,domain: neckermann.de,[D],Shopping > Apparel,Yes,No,No,No,No,No,No,100,6.4%,"4,200,000","4,200,000","130,000,000",
,,domain: tchibo.de,[D],Shopping > Shopping Portals & Search Engines,Yes,No,165x50 ,No,No,No,No,100,6.4%,"4,200,000","4,200,000","80,000,000",
,,domain: apple.com,[D],Computers & Electronics > Software > Operating Systems > Mac OS,Yes,Yes,53x53 135x95 187x94 240x48 305x63 305x80 320x37 320x259 385x295 480x187 ,No,No,No,No,99,6.4%,"4,200,000","4,200,000","46,000,000",
,,domain: dastelefonbuch.de,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,No,120x600 156x60 200x300 728x90 ,No,No,No,No,100,6.3%,"4,200,000","4,200,000","45,000,000",
,,domain: partypoker.com,[D],,Yes,No,No,No,No,No,No,99,6.3%,"4,200,000","4,200,000","12,000,000",
,,domain: postbank.de,[D],Finance > Banking,Yes,No,No,No,No,No,No,100,6.3%,"4,200,000","4,200,000","280,000,000",
,,domain: dasoertliche.de,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,No,120x600 150x200 156x60 246x168 468x60 728x90 ,No,No,No,No,99,6.3%,"4,100,000","4,200,000","42,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,6.3%,"4,100,000","4,200,000","38,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,5.9%,"3,900,000","3,900,000","81,000,000",
,,domain: zalando.de,[D],Shopping > Apparel > Footwear,Yes,Yes,No,No,No,No,No,100,5.9%,"3,900,000","3,900,000","140,000,000",
,,domain: focus.de,[D],Books & Literature > Magazines,Yes,Yes,174x25 320x50 728x90 ,No,No,728x90 ,No,100,5.9%,"3,900,000","3,900,000","38,000,000",
,,domain: groupon.de,[D],Shopping > Consumer Resources > Coupons & Discount Offers,Yes,No,No,No,No,No,No,100,5.8%,"3,900,000","3,900,000","31,000,000",
,,domain: msn.de,[D],Internet & Telecom > Search Engines,Yes,No,75x75 85x85 ,No,No,No,No,100,5.8%,"3,900,000","3,900,000","90,000,000",
,,domain: aol.de,[D],Internet & Telecom > Web Portals,Yes,No,130x30 ,No,No,No,No,100,5.8%,"3,800,000","3,800,000","110,000,000",
,,domain: cylex.de,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,Yes,160x600 728x90 ,No,No,160x600 ,160x600 ,100,5.8%,"3,800,000","3,800,000","12,000,000",
,,domain: welt.de,[D],News > Newspapers,Yes,Yes,468x60 ,No,No,468x60 ,468x60 ,100,5.8%,"3,800,000","3,800,000","35,000,000",
,,domain: leo.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,Yes,Yes,Yes,No,No,No,No,100,5.8%,"3,800,000","3,800,000","99,000,000",
,,domain: computerbild.de,[D],Computers & Electronics,Yes,Yes,No,No,No,No,No,100,5.8%,"3,800,000","3,800,000","97,000,000",
,,domain: 1und1.de,[D],Internet & Telecom > Service Providers > ISPs,Yes,Yes,Yes,No,No,No,No,100,5.8%,"3,800,000","3,800,000","230,000,000",
,,domain: wer-weiss-was.de,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,160x600 300x250 728x90 ,No,No,No,No,100,5.8%,"3,800,000","3,800,000","12,000,000",
,,domain: kaufen.com,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons > Price Comparisons,Yes,Yes,160x600 728x90 ,No,No,728x90 ,No,98,5.7%,"3,800,000","3,800,000","18,000,000",
,,domain: ciao.de,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons,Yes,No,300x250 468x60 ,No,No,No,No,98,5.7%,"3,800,000","3,800,000","18,000,000",
,,domain: mediaplex.com,[D],Business & Industrial > Advertising & Marketing,Yes,Yes,Yes,No,No,No,No,100,5.3%,"3,500,000","3,500,000","13,000,000",
,,domain: meinvz.net,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,5.3%,"3,500,000","3,500,000","720,000,000",
,,domain: gmxattachments.net,[D],Internet & Telecom > Web Portals,Yes,No,Yes,No,No,No,No,99,5.3%,"3,500,000","3,500,000","38,000,000",
,,domain: rtl.de,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,Yes,126x71 142x84 ,No,No,No,No,100,5.3%,"3,500,000","3,500,000","74,000,000",
,,domain: freenet.de,[D],Internet & Telecom > Service Providers,Yes,No,Yes,No,No,No,No,100,5.2%,"3,500,000","3,500,000","280,000,000",
,,domain: spielaffe.de,[D],Games > Online Games,Yes,Yes,120x600 160x600 300x250 468x60 728x90 ,No,No,No,No,99,5.2%,"3,500,000","3,500,000","250,000,000",
,,domain: fiducia.de,[D],Finance > Credit & Lending > Debt Management,Yes,No,No,No,No,No,No,100,5.2%,"3,500,000","3,500,000","260,000,000",
,,domain: wetteronline.de,[D],News > Weather,Yes,Yes,120x600 160x600 300x250 728x90 ,No,No,No,No,98,5.2%,"3,500,000","3,500,000","97,000,000",
,,domain: schuelervz.net,[D],Online Communities > Social Networks,Yes,No,100x24 ,No,No,No,No,98,5.2%,"3,500,000","3,500,000","800,000,000",
,,domain: vodafone.de,[D],Internet & Telecom > Service Providers > Phone Service Providers,Yes,Yes,Yes,No,No,No,No,99,4.8%,"3,200,000","3,200,000","88,000,000",
,,domain: yieldmanager.com,[D],Computers & Electronics > Computer Security,Yes,No,No,No,No,No,No,99,4.8%,"3,200,000","3,200,000","10,000,000",
,,domain: stern.de,[D],News > Business News,Yes,Yes,268x80 ,No,No,No,No,100,4.8%,"3,200,000","3,200,000","67,000,000",
,,domain: xing.com,[D],Jobs & Education > Jobs > Career Resources & Planning,Yes,Yes,728x90 ,No,No,728x90 ,728x90 ,99,4.8%,"3,100,000","3,200,000","150,000,000",
,,domain: ebay.com,[D],Shopping > Auctions,Yes,Yes,Yes,No,No,No,No,99,4.7%,"3,100,000","3,200,000","50,000,000",
,,domain: sueddeutsche.de,[D],News > Newspapers,Yes,Yes,300x250 468x60 ,No,No,No,No,100,4.7%,"3,100,000","3,100,000","67,000,000",
,,domain: zdf.de,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,No,No,No,No,No,No,No,98,4.7%,"3,100,000","3,200,000","73,000,000",
,,domain: yasni.de,[D],Business & Industrial > Business Operations > Human Resources > Recruitment & Staffing,Yes,Yes,120x600 160x600 300x100 300x250 ,No,No,No,No,98,4.7%,"3,100,000","3,200,000","16,000,000",
,,domain: jappy.de,[D],Online Communities > Social Networks,Yes,Yes,160x600 300x250 320x50 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,160x600 300x250 ,99,4.7%,"3,100,000","3,100,000","2,700,000,000",
,,domain: booking.com,[D],Travel > Hotels & Accommodations,Yes,No,No,No,No,No,No,100,4.4%,"2,900,000","2,900,000","46,000,000",
,,domain: kino.to,[D],Law & Government > Legal > Intellectual Property,No,No,No,No,No,No,No,100,4.4%,"2,900,000","2,900,000","50,000,000",
,,domain: 123people.de,[D],Internet & Telecom > Search Engines > People Search,Yes,Yes,320x50 ,No,No,No,No,100,4.4%,"2,900,000","2,900,000","12,000,000",
,,domain: holidaycheck.de,[D],Travel > Hotels & Accommodations,Yes,Yes,300x250 468x60 ,No,No,300x250 468x60 ,No,100,4.4%,"2,900,000","2,900,000","140,000,000",
,,domain: o2online.de,[D],Internet & Telecom > Service Providers > Phone Service Providers,Yes,Yes,No,No,No,No,No,100,4.3%,"2,900,000","2,900,000","46,000,000",
,,domain: arcor.de,[D],Internet & Telecom > Service Providers > ISPs,Yes,Yes,120x60 468x60 ,No,No,No,No,98,4.3%,"2,900,000","2,900,000","280,000,000",
,,domain: bigpoint.com,[D],Games > Online Games,Yes,Yes,Yes,No,No,No,No,98,4.3%,"2,900,000","2,900,000","210,000,000",
,,domain: aol.com,[D],Internet & Telecom > Web Portals,Yes,Yes,160x600 215x35 300x250 728x90 ,No,No,No,No,99,4.3%,"2,900,000","2,900,000","180,000,000",
,,domain: arbeitsagentur.de,[D],Jobs & Education > Jobs > Job Listings,No,No,No,No,No,No,No,99,4.3%,"2,800,000","2,900,000","190,000,000",
,,domain: dhl.de,[D],Business & Industrial > Transportation & Logistics > Mail & Package Delivery,No,No,No,No,No,No,No,99,4.3%,"2,800,000","2,900,000","31,000,000",
,,domain: skype.com,[D],Internet & Telecom > Email & Messaging > Voice & Video Chat,Yes,Yes,209x209 ,No,No,No,No,98,4.3%,"2,800,000","2,900,000","26,000,000",
,,domain: mediamarkt.de,[D],Computers & Electronics > Consumer Electronics,No,No,No,No,No,No,No,99,4.0%,"2,600,000","2,600,000","26,000,000",
,,domain: wikimedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,4.0%,"2,600,000","2,600,000","19,000,000",
,,domain: gad.de,[D],Finance > Banking,Yes,No,No,No,No,No,No,99,4.0%,"2,600,000","2,600,000","150,000,000",
,,domain: gelbeseiten.de,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,No,728x90 ,No,No,No,No,98,3.9%,"2,600,000","2,600,000","22,000,000",
,,domain: ikea.com,[D],Home & Garden > Home Furnishings,No,No,No,No,No,No,No,100,3.9%,"2,600,000","2,600,000","98,000,000",
,,domain: deutsche-bank.de,[D],Finance > Banking,Yes,No,No,No,No,No,No,99,3.9%,"2,600,000","2,600,000","170,000,000",
,,domain: bonprix.de,[D],Shopping > Apparel,No,No,No,No,No,No,No,98,3.9%,"2,600,000","2,600,000","160,000,000",
,,domain: fbcdn.net,[D],Online Communities > Social Networks,No,No,No,No,No,No,No,99,3.9%,"2,600,000","2,600,000","19,000,000",
,,domain: softonic.de,[D],Computers & Electronics > Software,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,No,100,3.6%,"2,400,000","2,400,000","16,000,000",
,,domain: immowelt.de,[D],Real Estate > Real Estate Agencies,Yes,No,120x600 137x137 142x50 170x80 300x250 728x90 ,No,No,No,No,100,3.6%,"2,400,000","2,400,000","98,000,000",
,,domain: qype.com,[D],Internet & Telecom > Web Portals,Yes,Yes,88x31 120x60 120x90 120x240 120x600 125x125 160x600 180x150 200x200 234x60 240x400 250x250 300x100 300x250 300x600 336x280 468x60 720x300 728x90 ,No,No,No,No,100,3.6%,"2,400,000","2,400,000","12,000,000",
,,domain: ab-in-den-urlaub.de,[D],Travel,Yes,Yes,No,No,No,No,No,99,3.6%,"2,400,000","2,400,000","42,000,000",
,,domain: flickr.com,[D],Online Communities > Photo & Video Sharing > Photo & Image Sharing,Yes,No,No,No,No,No,No,100,3.6%,"2,400,000","2,400,000","74,000,000",
,,domain: trafficholder.com,[D],Business & Industrial > Advertising & Marketing > Marketing Services,No,No,No,No,No,No,No,99,3.6%,"2,400,000","2,400,000","19,000,000",
,,domain: movie2k.to,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,100,3.6%,"2,400,000","2,400,000","130,000,000",
,,domain: immonet.de,[D],Real Estate > Apartments & Residential Rentals,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 728x90 ,160x600 728x90 ,99,3.6%,"2,400,000","2,400,000","67,000,000",
,,domain: exoclick.com,[D],Internet & Telecom > Web Services > Search Engine Optimization & Marketing,No,No,No,No,No,No,No,99,3.6%,"2,400,000","2,400,000","11,000,000",
,,domain: heise.de,[D],Computers & Electronics,Yes,Yes,No,No,No,No,No,99,3.6%,"2,400,000","2,400,000","51,000,000",
,,domain: conrad.de,[D],Computers & Electronics > Consumer Electronics,No,No,No,No,No,No,No,100,3.6%,"2,400,000","2,400,000","46,000,000",
,,domain: quoka.de,[D],Shopping > Classifieds,Yes,Yes,160x600 200x200 300x250 336x280 728x90 ,No,No,160x600 200x200 300x250 336x280 728x90 ,160x600 200x200 300x250 336x280 728x90 ,98,3.6%,"2,400,000","2,400,000","99,000,000",
,,domain: t-mobile.de,[D],Internet & Telecom > Service Providers > Phone Service Providers,No,No,No,No,No,No,No,98,3.5%,"2,300,000","2,400,000","56,000,000",
,,domain: windowslive.de,[D],Internet & Telecom > Web Apps & Online Tools,Yes,Yes,142x60 ,No,No,No,No,99,3.5%,"2,300,000","2,400,000","18,000,000",
,,domain: babylon.com,[D],Reference > Language Resources > Foreign Language Resources > Translation Tools & Resources,Yes,Yes,160x600 300x250 320x50 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,160x600 468x60 ,97,3.5%,"2,300,000","2,400,000","55,000,000",
,,domain: testberichte.de,[D],Shopping > Shopping Portals & Search Engines,Yes,Yes,No,No,No,No,No,100,3.3%,"2,200,000","2,200,000","19,000,000",
,,domain: commerzbanking.de,[D],Finance > Banking,No,No,No,No,No,No,No,100,3.3%,"2,200,000","2,200,000","140,000,000",
,,domain: preisvergleich.de,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons,Yes,Yes,160x600 728x90 ,No,No,160x600 728x90 ,No,100,3.3%,"2,200,000","2,200,000","12,000,000",
,,domain: lidl.de,[D],Food & Drink > Grocery & Food Retailers,Yes,Yes,No,No,No,No,No,99,3.3%,"2,200,000","2,200,000","42,000,000",
,,domain: weltbild.de,[D],Books & Literature,No,No,No,No,No,No,No,100,3.3%,"2,200,000","2,200,000","61,000,000",
,,domain: partycasino.com,[D],,Yes,No,No,No,No,No,No,100,3.3%,"2,200,000","2,200,000","5,100,000",
,,domain: prosieben.de,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,Yes,No,No,No,No,No,100,3.3%,"2,200,000","2,200,000","22,000,000",
,,domain: tagesschau.de,[D],News,No,No,No,No,No,No,No,98,3.3%,"2,100,000","2,200,000","35,000,000",
,,domain: cosmiq.de,[D],Reference > General Reference,Yes,Yes,160x600 728x90 ,No,No,160x600 728x90 ,No,100,3.3%,"2,100,000","2,100,000","6,800,000",
,,domain: binlayer.com,[D],Business & Industrial > Advertising & Marketing,No,No,No,No,No,No,No,100,3.2%,"2,100,000","2,100,000","8,900,000",
,,domain: clipfish.de,[D],Arts & Entertainment > TV & Video > Online Video,Yes,Yes,No,No,No,No,No,98,3.2%,"2,100,000","2,200,000","31,000,000",
,,domain: odnoklassniki.ru,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,3.0%,"2,000,000","2,000,000","600,000,000",
,,domain: studivz.net,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,3.0%,"2,000,000","2,000,000","230,000,000",
,,domain: ero-advertising.com,[D],Internet & Telecom > Web Services > Search Engine Optimization & Marketing,No,No,No,No,No,No,No,100,3.0%,"2,000,000","2,000,000","12,000,000",
,,domain: gofeminin.de,[D],Beauty & Fitness,Yes,Yes,120x600 160x600 300x250 300x600 728x90 ,No,No,No,No,99,3.0%,"2,000,000","2,000,000","21,000,000",
,,domain: hm.com,[D],Shopping > Apparel,No,No,No,No,No,No,No,100,3.0%,"2,000,000","2,000,000","160,000,000",
,,domain: paypal-deutschland.de,[D],Finance > Banking,Yes,Yes,80x80 178x131 ,No,No,No,No,100,3.0%,"2,000,000","2,000,000","9,000,000",
,,domain: myspace.com,[D],,Yes,No,No,No,No,No,No,100,3.0%,"2,000,000","2,000,000","35,000,000",
,,domain: billiger.de,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons > Price Comparisons,Yes,Yes,225x160 ,No,No,No,No,100,3.0%,"2,000,000","2,000,000","13,000,000",
,,domain: dict.cc,[D],Reference > General Reference > Dictionaries & Encyclopedias,Yes,Yes,160x600 300x250 728x90 ,No,No,No,No,100,3.0%,"1,900,000","2,000,000","31,000,000",
,,domain: map24.com,[D],Reference > Geographic Reference > Maps,Yes,No,No,No,No,No,No,100,2.9%,"1,900,000","1,900,000","7,500,000",
,,domain: jetztspielen.de,[D],Games > Computer & Video Games,Yes,Yes,300x160 300x250 728x90 ,No,No,300x250 728x90 ,300x250 728x90 ,99,2.9%,"1,900,000","2,000,000","90,000,000",
,,domain: klicktel.de,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,Yes,200x600 300x250 468x60 728x90 ,No,No,468x60 ,No,100,2.7%,"1,800,000","1,800,000","11,000,000",
,,domain: fluege.de,[D],Travel > Air Travel,Yes,Yes,No,No,No,No,No,100,2.7%,"1,800,000","1,800,000","23,000,000",
,,domain: n-tv.de,[D],News > Broadcast & Network News,Yes,No,No,No,No,No,No,100,2.7%,"1,800,000","1,800,000","41,000,000",
,,domain: kicker.de,[D],Sports > Team Sports > Soccer,Yes,No,909x381 ,No,No,No,No,100,2.7%,"1,800,000","1,800,000","50,000,000",
,,domain: baur.de,[D],Shopping > Mass Merchants & Department Stores,No,No,No,No,No,No,No,100,2.7%,"1,800,000","1,800,000","66,000,000",
,,domain: mozilla.org,[D],Computers & Electronics > Software > Internet Software > Internet Clients & Browsers,No,No,No,No,No,No,No,100,2.7%,"1,800,000","1,800,000","12,000,000",
,,domain: dailymotion.com,[D],Arts & Entertainment > Online Media,Yes,Yes,Yes,No,No,No,No,100,2.7%,"1,800,000","1,800,000","23,000,000",
,,domain: ing-diba.de,[D],Finance > Credit & Lending,No,No,No,No,No,No,No,100,2.7%,"1,800,000","1,800,000","89,000,000",
,,domain: imageshack.us,[D],,Yes,No,300x250 728x90 ,No,No,No,No,100,2.7%,"1,800,000","1,800,000","10,000,000",
,,domain: c-and-a.com,[D],Beauty & Fitness > Fashion & Style,Yes,No,No,No,No,No,No,100,2.7%,"1,800,000","1,800,000","34,000,000",
,,domain: pointoo.de,[D],Reference > Geographic Reference > City & Local Guides,Yes,Yes,728x90 ,No,No,728x90 ,728x90 ,100,2.7%,"1,800,000","1,800,000","6,800,000",
,,domain: preisroboter.de,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons > Price Comparisons,No,No,No,No,No,No,No,99,2.7%,"1,800,000","1,800,000","11,000,000",
,,domain: motor-talk.de,[D],Autos & Vehicles,Yes,Yes,No,No,No,No,No,98,2.7%,"1,800,000","1,800,000","22,000,000",
,,domain: abendblatt.de,[D],News > Newspapers,Yes,Yes,336x280 ,No,No,336x280 ,336x280 ,99,2.7%,"1,800,000","1,800,000","11,000,000",
,,domain: dooyoo.de,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons,Yes,Yes,120x600 160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,No,99,2.7%,"1,800,000","1,800,000","7,400,000",
,,domain: shopzilla.de,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons > Price Comparisons,No,No,No,No,No,No,No,100,2.7%,"1,800,000","1,800,000","12,000,000",
,,domain: sport1.de,[D],Sports,Yes,No,No,No,No,No,No,100,2.7%,"1,800,000","1,800,000","46,000,000",
,,domain: preisvgl.de,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons > Price Comparisons,Yes,Yes,160x600 728x90 ,No,No,160x600 728x90 ,160x600 ,97,2.7%,"1,800,000","1,800,000","7,500,000",
,,domain: faz.net,[D],News > Newspapers,Yes,Yes,Yes,No,No,No,No,99,2.7%,"1,700,000","1,800,000","26,000,000",
