Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,98,46.2,2200000,2200000,1400000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,98,42.3,2000000,2000000,280000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,98,42.2,2000000,2000000,210000000,No,,,,undefined
in.gr,/News & Current Events /Sports,98,31.4,1500000,1500000,88000000,Yes,,,,100K - 500K
msn.com,/Internet/Web Portals /News & Current Events,98,31,1500000,1500000,50000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,98,28.8,1400000,1400000,31000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,98,28.7,1300000,1300000,31000000,No,,,, --
pathfinder.gr,/Internet/Web Portals /Local/Regional Content /Internet/Web Hosting & Domain Registration /Internet/Web Services /News & Current Events,98,19.5,920000,920000,23000000,Yes,,,,100K - 500K
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,98,19.3,910000,910000,9800000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,110,16,750000,680000,2400000,No,,,, --
rapidshare.com,/Internet/File Sharing & Hosting,98,14.9,700000,700000,37000000,No,,,, --
pblogs.gr,/Entertainment/Humor & Bizarre/Humor /Local/Regional Content/Central & Eastern Europe/Greece,98,14.9,700000,700000,5100000,Yes,300x250 336x280 468x60 728x90,,300x250 336x280 468x60 728x90,10K - 100K
meteo.gr,/Local/Weather /Local/Regional Content/Central & Eastern Europe/Greece,98,13.4,630000,630000,16000000,No,,,, --
e-shop.gr,/Local/Regional Content/Central & Eastern Europe/Greece /Shopping/Shopping Portals & Search Engines,98,13.3,620000,620000,37000000,No,,,, --
hi5.com,/Online Communities/Social Networks,98,13.2,620000,620000,280000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,100M+
forthnet.gr,/Health/Dental Care,98,12.3,580000,580000,9000000,No,,,, --
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,98,11.9,560000,560000,4200000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,98,11,520000,520000,3400000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,98,11,520000,520000,73000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
plaisio.gr,/Local/Regional Content/Central & Eastern Europe/Greece /Shopping/Shopping Portals & Search Engines,98,11,520000,520000,26000000,No,,,, --
sch.gr,/Society/Education /Society,98,11,510000,510000,9100000,No,,,, --
contra.gr,/Sports/Soccer /Sports/Basketball /News & Current Events /Sports/Volleyball /Sports/Motor Sports /Lifestyles /Sports/Combat Sports/Wrestling /Automotive/Motorcycles,98,10,470000,470000,34000000,Yes,728x90,,728x90,100K - 500K
imdb.com,/Entertainment/Movies /Entertainment,98,10,470000,470000,21000000,No,,,, --
kathimerini.gr,/Local/Regional Content/Central & Eastern Europe/Greece /Travel/Attractions & Activities,98,10,470000,470000,10000000,No,,,, --
adsmarket.com,/Telecommunications/Mobile & Wireless/Ringtones & Mobile Goodies /Telecommunications/Mobile & Wireless/Mobile Phones,98,10,470000,470000,2000000,No,,,, --
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,110,9.9,470000,420000,9100000,No,,,,undefined
otenet.gr,/Reference/Dictionaries & Encyclopedias /News & Current Events,98,9.2,430000,430000,16000000,Yes,120x600 336x280 468x60,,120x600 336x280 468x60,100K - 500K
naftemporiki.gr,/News & Current Events /Industries/Transportation & Logistics/Maritime Transport /Finance & Insurance/Investing /Local/Classifieds /Sports /Arts & Humanities /Games/Lotto & Sweepstakes /Real Estate /Local/Weather /Local/Regional Content/Central & Eastern Europe/Greece,98,9.1,430000,430000,19000000,Yes,,,,100K - 500K
imageshack.us,/Internet/File Sharing & Hosting,98,9.1,430000,430000,4200000,Yes,728x90,,728x90,1M - 2M
insomnia.gr,/News & Current Events/Technology News /Computers & Electronics/Networking/Network Monitoring & Management /Computers & Electronics/Computer Security /Telecommunications/Mobile & Wireless/Mobile Phones /Computers & Electronics/Software /Games/Video Games,98,9.1,430000,430000,3200000,Yes,,,,100K - 500K
geocities.com,/Online Communities/Online Journals & Personal Sites,98,8.3,390000,390000,2400000,No,,,, --
ebay.com,/Shopping/Auctions,98,8.3,390000,390000,38000000,No,,,, --
