Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,74.9%,"3,800,000","3,900,000","5,900,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,74.8%,"3,800,000","3,900,000","950,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,56.2%,"2,900,000","2,900,000","140,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,38.3%,"2,000,000","2,000,000","160,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,38.1%,"1,900,000","2,000,000","230,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,32.3%,"1,600,000","1,600,000","26,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,29.1%,"1,500,000","1,500,000","67,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,26.2%,"1,300,000","1,400,000","13,000,000",
,,domain: in.gr,[D],Internet & Telecom > Web Portals,Yes,Yes,No,No,No,No,No,100,26.2%,"1,300,000","1,300,000","55,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,25.9%,"1,300,000","1,300,000","12,000,000",
,,domain: meteo.gr,[D],News > Weather,Yes,Yes,300x250 320x50 ,No,No,300x250 ,No,99,23.8%,"1,200,000","1,200,000","21,000,000",
,,domain: zougla.gr,[D],News,Yes,Yes,300x250 728x90 ,No,No,300x250 728x90 ,300x250 728x90 ,98,21.5%,"1,100,000","1,100,000","68,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,17.9%,"910,000","920,000","24,000,000",
,,domain: inews.gr,[D],News,Yes,Yes,160x600 300x250 336x280 728x90 ,No,No,160x600 300x250 336x280 728x90 ,No,100,16.5%,"840,000","840,000","9,900,000",
,,domain: rotise.gr,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,160x600 300x250 ,No,No,160x600 300x250 ,160x600 300x250 ,98,16.2%,"820,000","840,000","3,800,000",
,,domain: enet.gr,[D],News > Newspapers,Yes,Yes,320x50 728x90 ,No,No,728x90 ,728x90 ,100,15.0%,"760,000","760,000","15,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,14.8%,"760,000","760,000","16,000,000",
,,domain: pathfinder.gr,[D],Internet & Telecom > Web Portals,Yes,Yes,320x50 ,No,No,No,No,100,14.8%,"760,000","760,000","11,000,000",
,,domain: tanea.gr,[D],News > Newspapers,Yes,Yes,No,No,No,No,No,100,14.8%,"750,000","750,000","13,000,000",
,,domain: newsbeast.gr,[D],News,Yes,Yes,300x250 468x60 728x90 ,No,No,No,No,99,14.8%,"750,000","760,000","38,000,000",
,,domain: pblogs.gr,[D],Arts & Entertainment > Music & Audio > Music Reference > Song Lyrics & Tabs,Yes,Yes,88x31 120x240 120x600 125x125 234x60 250x300 300x250 336x280 468x60 700x60 728x90 ,No,No,120x600 300x250 336x280 468x60 728x90 ,120x600 300x250 336x280 468x60 728x90 ,99,14.7%,"750,000","750,000","3,500,000",
,,domain: pgmediaserve.com,[D],,No,No,No,No,No,No,No,100,14.6%,"740,000","750,000","2,200,000",
,,domain: booking.com,[D],Travel > Hotels & Accommodations,Yes,No,No,No,No,No,No,100,13.7%,"700,000","700,000","26,000,000",
,,domain: sch.gr,[D],Arts & Entertainment > Music & Audio > Music Reference > Song Lyrics & Tabs,Yes,Yes,468x60 ,No,No,No,No,100,13.6%,"690,000","690,000","18,000,000",
,,domain: friv.com,[D],Games > Online Games,Yes,No,300x250 336x280 ,No,No,No,No,100,13.5%,"690,000","690,000","23,000,000",
,,domain: xo.gr,[D],Reference > Directories & Listings,Yes,No,Yes,No,No,No,No,100,13.5%,"690,000","690,000","4,200,000",
,,domain: sport-fm.gr,[D],Sports,Yes,No,No,No,No,No,No,100,13.5%,"690,000","690,000","42,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,13.5%,"690,000","690,000","4,700,000",
,,domain: naftemporiki.gr,[D],News,Yes,Yes,No,No,No,No,No,99,13.4%,"680,000","690,000","21,000,000",
,,domain: car.gr,[D],Autos & Vehicles,Yes,Yes,No,No,No,No,No,99,13.4%,"680,000","690,000","170,000,000",
,,domain: vrisko.gr,[D],Reference > Geographic Reference > Maps,No,No,No,No,No,No,No,99,13.4%,"680,000","690,000","2,900,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,12.4%,"630,000","630,000","12,000,000",
,,domain: sport24.gr,[D],Sports,Yes,Yes,300x250 728x90 ,No,No,No,No,100,12.4%,"630,000","630,000","31,000,000",
,,domain: ethnos.gr,[D],News > Newspapers,Yes,No,120x300 250x90 300x250 728x90 ,No,No,No,No,100,12.3%,"630,000","630,000","10,000,000",
,,domain: megatv.com,[D],Arts & Entertainment > TV & Video,No,No,No,No,No,No,No,100,12.3%,"630,000","630,000","11,000,000",
,,domain: skroutz.gr,[D],,Yes,Yes,No,No,No,No,No,100,12.2%,"620,000","620,000","24,000,000",
,,domain: xe.gr,[D],Shopping > Classifieds,Yes,Yes,300x250 468x60 ,No,No,300x250 468x60 ,No,98,12.2%,"620,000","630,000","45,000,000",
,,domain: antenna.gr,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,No,No,No,No,No,No,100,12.2%,"620,000","620,000","16,000,000",
,,domain: tovima.gr,[D],News > Newspapers,Yes,Yes,No,No,No,No,No,100,12.2%,"620,000","620,000","13,000,000",
,,domain: partypoker.com,[D],,Yes,No,No,No,No,No,No,99,12.2%,"620,000","630,000","1,500,000",
,,domain: skai.gr,[D],News,Yes,Yes,234x60 300x100 300x250 300x600 728x90 ,No,No,No,No,99,12.1%,"620,000","630,000","15,000,000",
,,domain: whatsup.gr,[D],Computers & Electronics > Networking > Network Monitoring & Management,Yes,No,No,No,No,No,No,100,11.3%,"570,000","570,000","3,200,000",
,,domain: newsit.gr,[D],News,Yes,Yes,160x600 ,No,No,No,No,100,11.2%,"570,000","570,000","38,000,000",
,,domain: kathimerini.gr,[D],News > Newspapers,Yes,Yes,120x600 160x600 300x100 300x250 300x600 336x280 468x60 728x90 ,No,No,No,No,100,11.2%,"570,000","570,000","12,000,000",
,,domain: protothema.gr,[D],News > Newspapers,Yes,Yes,300x250 468x60 728x90 ,No,No,300x250 468x60 728x90 ,No,100,11.1%,"570,000","570,000","15,000,000",
,,domain: partycasino.com,[D],,Yes,No,No,No,No,No,No,100,11.1%,"570,000","570,000","1,500,000",
,,domain: dailymotion.com,[D],Arts & Entertainment > Online Media,Yes,Yes,Yes,No,No,No,No,100,11.1%,"570,000","570,000","5,600,000",
,,domain: gsis.gr,[D],Law & Government > Government,No,No,No,No,No,No,No,100,11.1%,"570,000","570,000","82,000,000",
,,domain: newsbomb.gr,[D],News,Yes,No,No,No,No,No,No,100,11.1%,"570,000","570,000","9,000,000",
,,domain: news247.gr,[D],News,Yes,No,135x200 300x250 336x280 728x90 ,No,No,No,No,100,11.1%,"570,000","570,000","12,000,000",
,,domain: plaisio.gr,[D],Shopping > Shopping Portals & Search Engines,No,No,No,No,No,No,No,100,11.1%,"560,000","560,000","13,000,000",
,,domain: games.gr,[D],Games > Online Games,Yes,Yes,300x250 728x90 ,No,No,No,No,98,11.0%,"560,000","570,000","41,000,000",
,,domain: aggeliopolis.gr,[D],Shopping > Classifieds,No,No,No,No,No,No,No,100,10.3%,"520,000","520,000","23,000,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,10.1%,"520,000","520,000","2,400,000",
,,domain: 1001paixnidia.gr,[D],Games > Online Games,Yes,Yes,160x600 468x60 728x90 ,No,No,160x600 468x60 728x90 ,No,100,10.1%,"510,000","520,000","32,000,000",
,,domain: live24.gr,[D],Arts & Entertainment > Music & Audio > Radio,Yes,Yes,300x250 468x60 728x90 ,No,No,300x250 468x60 728x90 ,No,98,10.1%,"510,000","520,000","6,800,000",
,,domain: groupon.gr,[D],Reference > Geographic Reference > Maps,No,No,No,No,No,No,No,99,10.0%,"510,000","520,000","3,500,000",
,,domain: gazzetta.gr,[D],Sports > Team Sports > Soccer,Yes,Yes,No,No,No,No,No,100,10.0%,"510,000","510,000","26,000,000",
,,domain: camzap.com,[D],Arts & Entertainment > Online Media > Webcams & Virtual Tours,No,No,No,No,No,No,No,100,9.3%,"470,000","470,000","2,600,000",
,,domain: contra.gr,[D],Sports,Yes,Yes,160x240 245x90 336x280 ,No,No,No,No,100,9.2%,"470,000","470,000","19,000,000",
,,domain: freemeteo.com,[D],News > Weather,Yes,Yes,120x240 120x600 160x600 300x250 728x90 ,No,No,No,No,99,9.2%,"470,000","470,000","11,000,000",
,,domain: forthnet.gr,[D],Internet & Telecom > Service Providers > ISPs,Yes,Yes,120x600 336x280 468x60 ,No,No,120x600 336x280 468x60 ,120x600 336x280 ,100,9.2%,"470,000","470,000","3,800,000",
,,domain: mozilla.com,[D],Computers & Electronics > Software > Internet Software > Internet Clients & Browsers,No,No,No,No,No,No,No,99,9.1%,"460,000","470,000","2,600,000",
,,domain: skype.com,[D],Internet & Telecom > Email & Messaging > Voice & Video Chat,Yes,Yes,209x209 ,No,No,No,No,98,9.0%,"460,000","470,000","3,800,000",
,,domain: cnet.com,[D],Computers & Electronics > Consumer Electronics,Yes,Yes,160x600 300x250 475x35 728x90 ,No,No,No,No,100,8.5%,"430,000","430,000","2,900,000",
,,domain: e-shop.gr,[D],Shopping,Yes,Yes,120x600 336x280 468x60 728x90 ,No,No,120x600 336x280 468x60 728x90 ,No,100,8.4%,"430,000","430,000","12,000,000",
,,domain: star.gr,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,Yes,300x250 468x60 728x90 ,No,No,300x250 468x60 728x90 ,468x60 ,100,8.3%,"420,000","420,000","9,900,000",
,,domain: vres.gr,[D],Reference > Directories & Listings,Yes,No,Yes,No,No,No,No,100,8.3%,"420,000","420,000","2,000,000",
,,domain: capital.gr,[D],Finance,Yes,Yes,160x600 300x60 728x90 ,No,No,No,No,99,8.3%,"420,000","430,000","31,000,000",
,,domain: imdb.com,[D],Arts & Entertainment > Movies > Movie Reference,Yes,Yes,160x600 300x40 300x250 642x40 728x90 1008x60 ,No,No,No,No,99,8.2%,"420,000","420,000","9,900,000",
,,domain: sintagespareas.gr,[D],,Yes,Yes,120x60 300x250 468x60 728x90 ,No,No,No,No,100,7.7%,"390,000","390,000","5,600,000",
,,domain: whitepages.gr,[D],Reference > Directories & Listings > Business & Personal Listings,No,No,No,No,No,No,No,100,7.7%,"390,000","390,000","4,600,000",
,,domain: madata.gr,[D],News,Yes,Yes,120x90 300x100 300x250 336x280 468x60 728x90 ,No,No,No,No,100,7.6%,"390,000","390,000","5,100,000",
,,domain: parents.gr,[D],Arts & Entertainment > Music & Audio > Music Reference > Song Lyrics & Tabs,Yes,Yes,120x600 300x250 728x90 ,No,No,120x600 300x250 728x90 ,120x600 300x250 728x90 ,100,7.6%,"390,000","390,000","3,200,000",
,,domain: olx.gr,[D],Shopping > Classifieds,Yes,Yes,728x90 ,No,No,728x90 ,No,99,7.6%,"390,000","390,000","9,100,000",
