Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,77,4300000,4300000,1700000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,39.4,2200000,2200000,190000000,No,,,,undefined
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,39.2,2200000,2200000,1100000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
msn.com,/Internet/Web Portals /News & Current Events,100,29,1600000,1600000,42000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,24.5,1400000,1400000,56000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,24.4,1300000,1300000,31000000,No,,,, --
uwants.com,/Online Communities/Forum & Chat Providers,100,24.3,1300000,1300000,210000000,Yes,300x250 468x60 728x90,,300x250 468x60 728x90,2M - 5M
discuss.com.hk,/Internet,100,24.2,1300000,1300000,310000000,Yes,160x600 300x250 728x90,,160x600 300x250 728x90,10K - 100K
yahoo.com.hk,/Internet/Web Portals /Internet/Web Services /Internet/Web Services/Email & Messaging,100,22.1,1200000,1200000,38000000,No,,,, --
baidu.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,16.8,930000,930000,72000000,No,,,,undefined
xanga.com,/Online Communities/Online Journals & Personal Sites /Online Communities/Blogging Resources & Services,100,15,830000,830000,160000000,Yes,160x600 300x250 450x50 728x90,,160x600 300x250 728x90,500K - 1M
atnext.com,/Internet/Web Portals /News & Current Events/Newspapers,100,15,830000,830000,96000000,No,,,,undefined
hkjc.com,/Sports/Horse & Dog Racing /Games/Cards & Casino Games,91,12.4,690000,760000,90000000,No,,,, --
sina.com.hk,/Internet/Web Portals,100,12.4,690000,690000,46000000,No,,,, --
hsbc.com.hk,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance/Investing,100,12.4,680000,680000,74000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,12.3,680000,680000,3800000,No,,,, --
tvb.com,/Entertainment/TV /Local /Entertainment/Music,100,12.3,680000,680000,26000000,Yes,300x250 728x90,,,500K - 1M
geocities.com,/Online Communities/Online Journals & Personal Sites,100,11.4,630000,630000,6700000,No,,,, --
apple.com,/Computers & Electronics/Software/Operating Systems/Mac /Computers & Electronics,100,10.4,580000,580000,8200000,No,,,, --
wretch.cc,/Local /Food & Drink /Entertainment /Online Communities/Blogging Resources & Services,100,10.3,570000,570000,41000000,Yes,120x600 160x600 200x200 250x250 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 728x90,1K - 10K
sina.com.cn,/Internet/Web Portals /News & Current Events,100,10.2,570000,570000,21000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,20M - 50M
youku.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Entertainment,100,9.4,520000,520000,46000000,Yes,728x90,,728x90,100M+
qq.com,/Internet/Web Services/Email & Messaging,110,9.4,520000,470000,25000000,No,,,,undefined
badongo.com,/Internet/File Sharing & Hosting,100,9.4,520000,520000,11000000,No,,,, --
hangseng.com,/Finance & Insurance/Banking & Personal Finance /Local/Regional Content/East Asia,100,9.4,520000,520000,55000000,No,,,, --
on.cc,/Finance & Insurance/Accounting & Tax /Finance & Insurance/Investing,110,9.3,520000,470000,24000000,No,,,, --
mysinablog.com,/Online Communities/Blogging Resources & Services /Internet/Web Portals,100,9.3,510000,510000,9800000,No,,,, --
tudou.com,/Food & Drink/Cooking & Recipes,100,9.3,510000,510000,38000000,No,,,,undefined
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,100,9.2,510000,510000,4600000,No,,,, --
netvigator.com,/Entertainment/Music,100,8.5,470000,470000,17000000,No,,,, --
flickr.com,/Photo & Video/Photo & Video Sharing,100,8.5,470000,470000,17000000,No,,,, --
openrice.com,/Food & Drink,91,8.4,470000,510000,21000000,No,,,, --
sendspace.com,/Real Estate/Rental Listings & Referrals /Online Communities/Blogging Resources & Services,100,8.4,470000,470000,7400000,No,,,, --
centamap.com,/Local/Regional Content/East Asia,100,8.4,460000,460000,10000000,No,,,, --
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,100,7.7,420000,420000,8300000,Yes,728x90,,728x90,100K - 500K
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,100,7.6,420000,420000,2600000,No,,,,undefined
hko.gov.hk,/Local/Weather /Computers & Electronics/Software,100,7.6,420000,420000,12000000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,100,7.1,390000,390000,2400000,No,,,, --
catcatforum.com,/Online Communities/Forum & Chat Providers,110,7,390000,350000,19000000,No,,,, --
yam.com,/Internet/Web Portals,100,7,390000,390000,15000000,No,,,,undefined
hku.hk,/Internet/Online Goodies,110,6.9,380000,350000,32000000,No,,,,undefined
