Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
iwiw.hu,/Entertainment/Music/Urban & Hip-Hop /Entertainment/Movies/Science Fiction & Fantasy Films,98,56.3,2600000,2600000,1700000000,No,,,, --
origo.hu,/Internet/Web Portals,98,45.9,2100000,2100000,130000000,No,,,,undefined
t-online.hu,/Telecommunications/Service Providers /Local/Classifieds,98,42.6,2000000,2000000,81000000,No,,,, --
freemail.hu,/Internet/Web Services/Email & Messaging,98,41.7,2000000,2000000,280000000,No,,,, --
lap.hu,/Entertainment/Movies /Entertainment/Celebrities,98,38.3,1800000,1800000,41000000,No,,,, --
index.hu,/Arts & Humanities,98,34.5,1600000,1600000,160000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,98,31.8,1500000,1500000,42000000,No,,,, --
blog.hu,/Online Communities/Blogging Resources & Services,98,31.3,1500000,1500000,42000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,1K - 10K
extra.hu,/Internet/Web Hosting & Domain Registration,98,31.1,1500000,1500000,50000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,98,28.9,1400000,1400000,79000000,No,,,,undefined
microsoft.com,/Computers & Electronics/Software/Operating Systems,98,28.8,1300000,1300000,34000000,No,,,, --
startlap.hu,/Internet/Web Services/Search Engines /Society/Education/Test Preparation,98,26.1,1200000,1200000,130000000,No,,,, --
port.hu,/Entertainment/TV/TV Programs /Entertainment/Movies,98,26,1200000,1200000,55000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,98,21.3,1000000,1000000,34000000,No,,,, --
freeweb.hu,/Internet,98,19.8,930000,930000,16000000,No,,,, --
gportal.hu,/Internet/Web Portals /Internet/Web Services/Email & Messaging,98,19.7,920000,920000,41000000,Yes,120x600 160x600 200x200 250x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 336x280 468x60 728x90,10K - 100K
hotdog.hu,/Online Communities/Dating & Relationships /Online Communities/Social Networks,110,19.6,920000,830000,41000000,Yes,,,,100K - 500K
citromail.hu,/Local,98,19.4,910000,910000,88000000,No,,,, --
vatera.hu,/Shopping/Auctions /Shopping/Apparel /Shopping/Shopping Portals & Search Engines,98,19.3,900000,900000,210000000,Yes,,,,2M - 5M
uw.hu,/Internet/Web Hosting & Domain Registration,98,17.7,830000,830000,10000000,No,,,, --
expressz.hu,/Local/Classifieds /Local/Regional Content/Central & Eastern Europe /Local/Jobs /Real Estate/Rental Listings & Referrals /Automotive/Auto Parts,98,17.7,830000,830000,81000000,Yes,160x600 250x250 468x60 728x90,,160x600 728x90,2M - 5M
myvip.hu,/Internet/Web Services/Email & Messaging,98,17.6,830000,830000,61000000,No,,,, --
nlcafe.hu,/Lifestyles/Religion & Spirituality/Astrology & Divination /News & Current Events/Magazines /Lifestyles/Women's Interests,98,17.5,820000,820000,38000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,98,16.4,760000,760000,81000000,No,,,, --
videa.hu,/Entertainment/Humor & Bizarre/Humor /Photo & Video/Photo & Video Sharing /Entertainment/Music/Music Streams & Downloads,98,16.4,760000,760000,45000000,No,,,, --
adverticum.net,/Computers & Electronics/Hardware/Storage,98,16.3,760000,760000,6800000,No,,,, --
indapass.hu,/Internet/Web Services/Email & Messaging,98,16.1,750000,750000,13000000,No,,,, --
freeblog.hu,/Online Communities/Blogging Resources & Services /Industries,110,16.1,750000,680000,11000000,No,,,, --
atw.hu,/Internet/Web Hosting & Domain Registration,98,16.1,750000,750000,9000000,Yes,120x600 160x600 200x200 468x60 728x90,,120x600 160x600 200x200 468x60 728x90,10K - 100K
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,98,16,750000,750000,2600000,No,,,, --
blogter.hu,/Online Communities/Blogging Resources & Services,98,14.9,700000,700000,7400000,Yes,120x600 160x600 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 250x250 300x250 336x280 468x60 728x90,1K - 10K
velvet.hu,/Entertainment/Fashion & Modeling /Beauty & Personal Care,98,14.7,690000,690000,21000000,No,,,, --
mindenkilapja.hu,/Internet/Web Hosting & Domain Registration,98,13.6,630000,630000,12000000,Yes,,,,100K - 500K
sulinet.hu,/Society/Education/K-12 /Society/Education/Test Preparation,98,13.5,630000,630000,11000000,No,,,, --
fn.hu,/News & Current Events/Newspapers /Society/Government & Regulatory Bodies /News & Current Events/Politics,98,13.4,630000,630000,9000000,No,,,, --
teszvesz.hu,/Shopping/Auctions /Shopping/Apparel/Clothing Labels & Designers /Automotive/Auto Parts /Telecommunications/Mobile & Wireless/Ringtones & Mobile Goodies /Computers & Electronics/Hardware/Laptops,98,13.3,620000,620000,110000000,No,,,, --
sg.hu,/Society /Science,98,13.3,620000,620000,8900000,Yes,468x60 728x90,,468x60 728x90,100K - 500K
sztaki.hu,/Reference/Language Study & Translation /Reference/Dictionaries & Encyclopedias,98,13.3,620000,620000,31000000,No,,,, --
hasznaltauto.hu,/Automotive/Auto Parts /Automotive,98,13.2,620000,620000,190000000,No,,,, --
eoldal.hu,/Food & Drink/Cooking & Recipes,98,12.2,570000,570000,12000000,No,,,, --
celldorado.com,/Telecommunications/Mobile & Wireless/Ringtones & Mobile Goodies /Telecommunications/Mobile & Wireless/Mobile Phones,98,12,560000,560000,3800000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,98,11.1,520000,520000,4200000,No,,,, --
fw.hu,/Computers & Electronics /Games/Video Games,98,11,510000,510000,3400000,No,,,, --
szoftverbazis.hu,/Internet/Web Services/Search Engines /Games/Video Games/Online Games /Internet /Computers & Electronics,98,10.9,510000,510000,11000000,No,,,, --
myvip.com,/Online Communities/Social Networks /Internet/Web Services/Email & Messaging,98,10.8,510000,510000,31000000,No,,,, --
startlapjatekok.hu,/Games/Video Games/Online Games,98,10.1,470000,470000,55000000,No,,,, --
mav-start.hu,/Travel/Bus & Rail /Travel,98,9.9,470000,470000,6100000,No,,,, --
storyonline.hu,/Entertainment/TV/TV Programs,98,9.8,460000,460000,11000000,No,,,, --
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,98,9.8,460000,460000,3800000,No,,,, --
totalcar.hu,/Automotive/Auto Parts /Automotive,98,9.2,430000,430000,13000000,No,,,, --
hvg.hu,/News & Current Events/Newspapers /Finance & Insurance/Banking & Personal Finance,98,9.2,430000,430000,7500000,No,,,, --
menetrendek.hu,/Travel/Bus & Rail,98,9.2,430000,430000,9000000,No,,,, --
imdb.com,/Entertainment/Movies /Entertainment,98,9.2,430000,430000,17000000,No,,,, --
hirkereso.hu,/News & Current Events /News & Current Events/Local News /News & Current Events/Newspapers /Local/Regional Content/Central & Eastern Europe,110,9.1,430000,390000,32000000,Yes,160x600 468x60 728x90,,160x600 468x60 728x90,100K - 500K
