Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,75.8%,"4,600,000","4,700,000","4,000,000,000",
,,domain: origo.hu,[D],Internet & Telecom > Web Portals,Yes,Yes,56x56 95x27 118x118 120x90 120x240 146x147 200x120 336x37 950x254 990x140 ,No,No,No,No,100,51.9%,"3,200,000","3,200,000","120,000,000",
,,domain: iwiw.hu,[D],Online Communities > Social Networks,Yes,Yes,Yes,No,No,No,No,100,51.8%,"3,200,000","3,200,000","450,000,000",
,,domain: blog.hu,[D],Online Communities > Blogging Resources & Services,Yes,Yes,120x600 160x600 300x250 336x280 ,No,No,120x600 160x600 300x250 336x280 ,120x600 160x600 336x280 ,99,46.7%,"2,800,000","2,900,000","41,000,000",
,,domain: freemail.hu,[D],Internet & Telecom > Email & Messaging,Yes,Yes,Yes,No,No,No,No,99,46.7%,"2,800,000","2,900,000","340,000,000",
,,domain: t-online.hu,[D],Internet & Telecom > Service Providers > ISPs,Yes,No,Yes,No,No,No,No,98,46.5%,"2,800,000","2,900,000","90,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,35.9%,"2,200,000","2,200,000","28,000,000",
,,domain: startlap.hu,[D],Internet & Telecom > Web Portals,Yes,Yes,Yes,No,No,No,No,100,35.5%,"2,200,000","2,200,000","170,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,35.3%,"2,200,000","2,200,000","26,000,000",
,,domain: lap.hu,[D],Internet & Telecom > Web Portals,Yes,Yes,200x200 468x60 ,No,No,200x200 468x60 ,200x200 468x60 ,100,35.3%,"2,200,000","2,200,000","26,000,000",
,,domain: index.hu,[D],Internet & Telecom > Web Portals,Yes,No,No,No,No,No,No,100,35.2%,"2,100,000","2,100,000","110,000,000",
,,domain: vatera.hu,[D],Shopping > Auctions,Yes,Yes,160x600 300x250 336x280 728x90 ,No,No,160x600 300x250 336x280 728x90 ,300x250 336x280 ,100,27.0%,"1,600,000","1,600,000","160,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,26.5%,"1,600,000","1,600,000","67,000,000",
,,domain: citromail.hu,[D],Internet & Telecom > Email & Messaging,Yes,Yes,Yes,No,No,No,No,100,24.2%,"1,500,000","1,500,000","110,000,000",
,,domain: expressz.hu,[D],Shopping > Classifieds,Yes,Yes,160x600 250x250 300x250 ,No,No,160x600 250x250 300x250 ,160x600 ,100,24.2%,"1,500,000","1,500,000","82,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,24.1%,"1,500,000","1,500,000","11,000,000",
,,domain: port.hu,[D],Arts & Entertainment,Yes,Yes,468x60 ,No,No,No,No,98,24.0%,"1,500,000","1,500,000","35,000,000",
,,domain: nlcafe.hu,[D],People & Society > Women's Interests,Yes,Yes,146x72 146x148 150x76 ,No,No,No,No,100,24.0%,"1,500,000","1,500,000","19,000,000",
,,domain: idokep.hu,[D],News > Weather,Yes,Yes,270x130 ,No,No,No,No,100,22.0%,"1,300,000","1,300,000","42,000,000",
,,domain: hasznaltauto.hu,[D],Autos & Vehicles,Yes,No,Yes,No,No,No,No,99,21.9%,"1,300,000","1,400,000","230,000,000",
,,domain: life.hu,[D],Reference > Humanities > History,Yes,Yes,100x100 ,No,No,No,No,100,21.9%,"1,300,000","1,300,000","18,000,000",
,,domain: gyakorikerdesek.hu,[D],Online Communities,Yes,Yes,160x600 468x60 728x90 ,No,No,160x600 468x60 728x90 ,160x600 468x60 728x90 ,100,21.8%,"1,300,000","1,300,000","15,000,000",
,,domain: femina.hu,[D],People & Society > Women's Interests,Yes,No,120x600 250x250 468x60 728x90 ,No,No,No,No,99,21.8%,"1,300,000","1,300,000","26,000,000",
,,domain: otpbank.hu,[D],Finance > Banking,No,No,No,No,No,No,No,100,19.9%,"1,200,000","1,200,000","15,000,000",
,,domain: koponyeg.hu,[D],News > Weather,Yes,Yes,Yes,No,No,No,No,100,18.4%,"1,100,000","1,100,000","9,100,000",
,,domain: arukereso.hu,[D],Shopping,Yes,Yes,Yes,No,No,No,No,99,18.1%,"1,100,000","1,100,000","12,000,000",
,,domain: cylex-tudakozo.hu,[D],Reference,Yes,Yes,728x90 ,No,No,728x90 ,728x90 ,100,18.1%,"1,100,000","1,100,000","3,800,000",
,,domain: hotdog.hu,[D],Internet & Telecom > Web Portals,Yes,Yes,120x600 160x600 200x200 250x250 300x250 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 728x90 ,120x600 160x600 200x200 250x250 300x250 728x90 ,99,18.0%,"1,100,000","1,100,000","18,000,000",
,,domain: gportal.hu,[D],Internet & Telecom > Web Services,Yes,Yes,120x600 160x600 200x200 468x60 728x90 ,No,No,120x600 160x600 200x200 468x60 728x90 ,120x600 160x600 200x200 468x60 728x90 ,98,18.0%,"1,100,000","1,100,000","23,000,000",
,,domain: fn.hu,[D],News,Yes,Yes,340x42 ,No,No,No,No,98,17.9%,"1,100,000","1,100,000","8,200,000",
,,domain: hir24.hu,[D],News,Yes,Yes,Yes,No,No,No,No,100,17.8%,"1,100,000","1,100,000","10,000,000",
