Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,68.9,31000000,31000000,2100000000,No,,,, --
rediff.com,/Local/Regional Content/Central & South Asia/India /News & Current Events /Internet/Web Portals /Entertainment /Sports /Business,99,28.6,13000000,13000000,720000000,Yes,160x600 250x250 300x250 336x280 728x90,,160x600 250x250 300x250 336x280 728x90,2M - 5M
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,24.1,11000000,11000000,99000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,24,11000000,11000000,98000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,99,19.5,8900000,8900000,89000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,99,16.5,7500000,7500000,230000000,Yes,450x50 468x60,,,100K - 500K
indiatimes.com,/News & Current Events/Newspapers /Local/Regional Content/Central & South Asia /Lifestyles/Ethnic & Identity Groups/East Indian & South Asians /Entertainment /Business /Local/Regional Content/Central & South Asia/India /Entertainment/Movies/Bollywood & Lollywood /Internet/Web Portals,99,14.6,6700000,6700000,170000000,Yes,160x600 200x200 250x250 300x250 728x90,,,10M - 20M
in.com,/Finance & Insurance/Investing /News & Current Events /Local/Regional Content/Central & South Asia/India /Entertainment/Celebrities /Entertainment/Entertainment Industry /Entertainment /Entertainment/Music /Entertainment/Multimedia Content /Sports /Internet/Web Portals,99,13.6,6200000,6200000,81000000,Yes,300x250 450x50 468x60 728x90,,,5M - 10M
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,110,13.5,6200000,5600000,410000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,99,11,5000000,5000000,28000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
rediffmail.com,/Local/Jobs /Local/Regional Content/Central & South Asia/India,99,10.1,4600000,4600000,19000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,99,10,4600000,4600000,7500000,No,,,, --
irctc.co.in,/Travel/Vacation Destinations /Travel/Air Travel,99,9.2,4200000,4200000,170000000,No,,,, --
naukri.com,/Local/Jobs /Local/Regional Content/Central & South Asia/India,99,9.1,4200000,4200000,120000000,Yes,468x60,,,5M - 10M
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,99,9.1,4100000,4100000,13000000,No,,,,undefined
tribalfusion.com,/Business/Advertising & Marketing,99,9.1,4100000,4100000,8200000,No,,,, --
rapidshare.com,/Internet/File Sharing & Hosting,99,8.5,3900000,3900000,45000000,No,,,, --
yahoomail.com,/Internet/Web Services/Email & Messaging /Computers & Electronics /Entertainment/Music/Lyrics & Tabs,99,8.3,3800000,3800000,14000000,No,,,, --
indianrail.gov.in,/Travel/Bus & Rail /Local/Regional Content/Central & South Asia/India /Travel,99,8.3,3800000,3800000,98000000,Yes,160x600 250x250 300x250 336x280 728x90,,160x600 250x250 300x250 336x280 728x90,5M - 10M
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,99,8.2,3800000,3800000,16000000,No,,,, --
download.com,/Computers & Electronics/Computer Security/Antivirus & Malware /Computers & Electronics/Software,99,7.6,3500000,3500000,21000000,No,,,,undefined
about.com,/Reference/How-To & Expert Content /Internet/Web Portals,99,7.6,3500000,3500000,13000000,Yes,300x250 728x90,,300x250 728x90,20M - 50M
komli.com,/Internet/Web Design & Development /Computers & Electronics/Programming/Scripting Languages /Computers & Electronics/Programming,99,7.6,3500000,3500000,9000000,No,,,, --
icicibank.com,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance/Credit & Lending /Local/Regional Content/Central & South Asia/India,99,7.5,3400000,3400000,23000000,No,,,, --
yieldmanager.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,99,7,3200000,3200000,7500000,No,,,, --
answers.com,/Reference/Dictionaries & Encyclopedias,99,7,3200000,3200000,8100000,No,,,,undefined
songs.pk,/Entertainment/Movies/Bollywood & Lollywood /Entertainment/Music/World Music /Entertainment/Music/Music Streams & Downloads,99,6.9,3200000,3200000,50000000,No,,,, --
metacafe.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Photo & Video/Photo & Video Sharing /Online Communities,99,6.8,3100000,3100000,50000000,Yes,300x250 728x90,,300x250 728x90,10M - 20M
brothersoft.com,/Computers & Electronics/Software /Internet/File Sharing & Hosting,99,6.4,2900000,2900000,11000000,Yes,160x600 200x200 250x250 300x250 336x280 728x90,,160x600 200x200 250x250 300x250 336x280 728x90,2M - 5M
hdfcbank.com,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance/Credit & Lending,99,6.4,2900000,2900000,46000000,No,,,, --
sulekha.com,/Lifestyles/Ethnic & Identity Groups/East Indian & South Asians /Internet/Web Portals /Online Communities,99,6.3,2900000,2900000,14000000,Yes,160x600 300x250 468x60 728x90,,160x600 300x250 468x60 728x90,500K - 1M
monsterindia.com,/Local/Jobs /Local/Regional Content/Central & South Asia/India,99,6.3,2900000,2900000,45000000,Yes,160x600 728x90,,,100K - 500K
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,99,6.3,2900000,2900000,4200000,No,,,, --
scribd.com,/Reference/Dictionaries & Encyclopedias /Computers & Electronics/Software/Graphics & Publishing /Internet/File Sharing & Hosting,99,6.2,2800000,2800000,12000000,Yes,300x250 336x280 468x60 728x90,,300x250 336x280 468x60 728x90,2M - 5M
cricinfo.com,/Sports/Cricket,99,5.8,2600000,2600000,67000000,Yes,,,,1K - 10K
