Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,74.9,24000000,24000000,960000000,No,,,, --
friendster.com,/Online Communities/Social Networks,99,45.5,14000000,14000000,1500000000,Yes,160x600 300x250 336x280 450x50 468x60 728x90,,160x600 300x250 336x280 468x60 728x90,100M+
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,99,42,13000000,13000000,1100000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,99,37.7,12000000,12000000,66000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,26.2,8300000,8300000,42000000,No,,,, --
detik.com,/Local/Regional Content/Southeast Asia/Indonesia,99,23.5,7400000,7400000,67000000,Yes,,,,10K - 100K
multiply.com,/Online Communities/Blogging Resources & Services /Photo & Video/Photo & Video Sharing /Online Communities,99,21.6,6800000,6800000,74000000,Yes,120x600 160x600 300x250 728x90,,120x600 160x600 300x250 728x90,500K - 1M
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,19.6,6200000,6200000,26000000,No,,,, --
kompas.com,/Local/Regional Content/Southeast Asia/Indonesia /Computers & Electronics/Enterprise Technology/Data Management /Computers & Electronics/Programming,90,17.9,5600000,6200000,56000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,99,17.6,5600000,5600000,5100000,No,,,, --
4shared.com,/Internet/File Sharing & Hosting,99,16.2,5100000,5100000,110000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,99,15.9,5000000,5000000,21000000,No,,,, --
rapidshare.com,/Internet/File Sharing & Hosting,99,14.9,4700000,4700000,41000000,No,,,, --
