Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,38.4,1000000,1000000,160000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,34.8,920000,920000,130000000,No,,,,undefined
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,31.7,840000,840000,42000000,No,,,, --
bebo.com,/Online Communities/Social Networks /Entertainment,100,28.7,760000,760000,720000000,Yes,120x600 160x600 300x250 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,500K - 1M
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,28.7,760000,760000,250000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
msn.com,/Internet/Web Portals /News & Current Events,100,25.7,680000,680000,28000000,No,,,, --
rte.ie,/Local/Regional Content/Western Europe/Ireland /Real Estate/Real Estate Agencies /Real Estate/Rental Listings & Referrals,100,21.5,570000,570000,34000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,19.6,520000,520000,15000000,No,,,, --
bbc.co.uk,/News & Current Events /Local/Regional Content/Western Europe/United Kingdom /Entertainment/Radio /Science,100,17.7,470000,470000,41000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,16,420000,420000,2000000,No,,,, --
ryanair.com,/Travel/Air Travel,110,16,420000,380000,8900000,No,,,, --
aerlingus.com,/Travel/Air Travel /Local/Regional Content/Western Europe/Ireland,100,14.6,390000,390000,25000000,No,,,, --
aib.ie,/Finance & Insurance/Banking & Personal Finance /Local/Regional Content/Western Europe/Ireland,100,14.6,390000,390000,23000000,No,,,, --
ebay.ie,/Shopping/Auctions /Shopping/Shopping Portals & Search Engines /Local/Classifieds,100,13.4,350000,350000,56000000,No,,,, --
bookryanair.com,/Travel/Air Travel,100,13.2,350000,350000,26000000,No,,,, --
boards.ie,/Online Communities/Forum & Chat Providers,100,11,290000,290000,23000000,Yes,728x90,,728x90,10K - 100K
about.com,/Reference/How-To & Expert Content /Internet/Web Portals,100,11,290000,290000,4200000,Yes,300x250 728x90,,300x250 728x90,20M - 50M
daft.ie,/Real Estate/Rental Listings & Referrals /Travel/Car Rental & Taxi Services,100,10.9,290000,290000,55000000,Yes,,,,100K - 500K
eircom.net,/Games/Video Games/Online Games,100,10.1,270000,270000,25000000,No,,,, --
imdb.com,/Entertainment/Movies /Entertainment,91,10,270000,290000,16000000,No,,,, --
irishtimes.com,/Local/Regional Content/Western Europe/Ireland /News & Current Events/Newspapers,100,10,260000,260000,13000000,No,,,, --
partypoker.com,/Games/Cards & Casino Games,100,9.9,260000,260000,2900000,No,,,, --
amazon.co.uk,/Entertainment/Music/Music Retailers /Arts & Humanities/Books & Literature/Book Retailers,100,9.2,240000,240000,12000000,No,,,, --
amazon.com,/Shopping,100,9.1,240000,240000,5000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,100,9.1,240000,240000,26000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
independent.ie,/Local/Regional Content/Western Europe/Ireland /News & Current Events/Newspapers,91,9.1,240000,260000,9900000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,100,9,240000,240000,2800000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,100,8.9,240000,240000,2600000,No,,,, --
365online.com,/Finance & Insurance/Banking & Personal Finance /Local/Regional Content/Western Europe/Ireland,100,8.4,220000,220000,6200000,No,,,, --
ebay.co.uk,/Telecommunications/Mobile & Wireless/Mobile Phones,100,8.3,220000,220000,31000000,No,,,, --
ebay.com,/Shopping/Auctions,100,8.3,220000,220000,12000000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,100,8.3,220000,220000,1800000,No,,,, --
flickr.com,/Photo & Video/Photo & Video Sharing,110,8.3,220000,200000,9800000,No,,,, --
apple.com,/Computers & Electronics/Software/Operating Systems/Mac /Computers & Electronics,100,7.6,200000,200000,3800000,No,,,, --
