Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,76.5%,"2,400,000","2,400,000","3,300,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,69.5%,"2,200,000","2,200,000","300,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,47.3%,"1,500,000","1,500,000","140,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,47.2%,"1,500,000","1,500,000","110,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,43.9%,"1,400,000","1,400,000","26,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,35.9%,"1,100,000","1,100,000","28,000,000",
,,domain: rte.ie,[D],News,Yes,No,120x600 250x250 300x250 468x60 728x90 ,No,No,No,No,100,35.8%,"1,100,000","1,100,000","34,000,000",
,,domain: aib.ie,[D],Finance,No,No,No,No,No,No,No,100,29.6%,"920,000","920,000","55,000,000",
,,domain: donedeal.ie,[D],Shopping > Classifieds,Yes,No,300x250 728x90 ,No,No,No,No,100,29.6%,"920,000","920,000","190,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,29.5%,"910,000","920,000","7,400,000",
,,domain: bbc.co.uk,[D],News > World News,Yes,Yes,No,No,No,No,No,100,24.5%,"760,000","760,000","21,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,24.3%,"750,000","750,000","5,000,000",
,,domain: aerlingus.com,[D],Travel,No,No,No,No,No,No,No,100,22.3%,"690,000","690,000","16,000,000",
,,domain: boards.ie,[D],,Yes,Yes,300x250 468x60 728x90 ,No,No,No,No,100,22.3%,"690,000","690,000","16,000,000",
,,domain: ryanair.com,[D],Travel > Air Travel,Yes,No,160x600 300x250 728x90 ,No,No,No,No,100,22.0%,"680,000","690,000","6,700,000",
,,domain: vodafone.ie,[D],Internet & Telecom > Service Providers > Phone Service Providers,Yes,No,Yes,No,No,No,No,100,20.2%,"630,000","630,000","26,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,20.1%,"620,000","630,000","5,200,000",
,,domain: ebay.ie,[D],Shopping > Auctions,Yes,No,Yes,No,No,No,No,99,20.0%,"620,000","630,000","50,000,000",
,,domain: irishtimes.com,[D],News,Yes,Yes,120x600 125x125 250x250 300x50 300x250 468x60 728x90 ,No,No,300x250 728x90 ,No,98,20.0%,"620,000","630,000","12,000,000",
,,domain: 365online.com,[D],Finance > Banking,No,No,No,No,No,No,No,97,19.9%,"620,000","630,000","12,000,000",
,,domain: eircom.net,[D],Internet & Telecom > Service Providers,Yes,Yes,70x16 100x70 120x60 120x240 120x600 138x20 200x50 300x250 468x60 728x90 ,No,No,120x600 ,120x600 ,99,19.9%,"620,000","620,000","46,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,18.6%,"580,000","580,000","19,000,000",
,,domain: amazon.co.uk,[D],Shopping > Shopping Portals & Search Engines,No,No,No,No,No,No,No,100,18.6%,"580,000","580,000","19,000,000",
,,domain: booking.com,[D],Travel > Hotels & Accommodations,Yes,No,No,No,No,No,No,100,18.6%,"580,000","580,000","10,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,18.4%,"570,000","570,000","11,000,000",
,,domain: daft.ie,[D],World Localities > Europe > Western Europe > Ireland,Yes,Yes,120x600 160x600 300x250 468x60 728x90 ,No,No,No,No,100,18.3%,"570,000","570,000","38,000,000",
,,domain: citydeal.ie,[D],Beauty & Fitness > Hair Care,Yes,No,Yes,No,No,No,No,100,18.2%,"560,000","560,000","3,400,000",
,,domain: o2online.ie,[D],Internet & Telecom > Service Providers > Phone Service Providers,Yes,No,120x600 588x140 ,No,No,No,No,100,18.1%,"560,000","560,000","16,000,000",
,,domain: independent.ie,[D],News,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,99,18.1%,"560,000","570,000","13,000,000",
,,domain: linkedin.com,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,16.8%,"520,000","520,000","16,000,000",
,,domain: about.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,300x250 336x280 728x90 ,No,No,300x250 336x280 728x90 ,No,98,16.5%,"510,000","520,000","3,200,000",
