Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
ynet.co.il,/Health/Health Conditions /Health/Medical Facilities & Services /Health/Medical Literature & Resources /Health/Men's Health /Health/Women's Health,100,56.7,2600000,2600000,600000000,Yes,120x600 468x60,,120x600 468x60,<1K
walla.co.il,/Internet/Web Portals /Internet/Web Services/Search Engines /Internet/Web Services/Email & Messaging,100,51.1,2300000,2300000,550000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,39.2,1800000,1800000,51000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,39,1800000,1800000,960000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,32.3,1500000,1500000,42000000,No,,,, --
nana10.co.il,/News & Current Events/News Networks /News & Current Events/Local News /Internet/Web Portals,100,32,1500000,1500000,73000000,Yes,,,,100K - 500K
msn.com,/Internet/Web Portals /News & Current Events,100,28.9,1300000,1300000,50000000,No,,,, --
tapuz.co.il,/Online Communities/Forum & Chat Providers /Online Communities/Social Networks /Online Communities/Blogging Resources & Services,100,28.7,1300000,1300000,60000000,Yes,,,,500K - 1M
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,26.8,1200000,1200000,120000000,No,,,,undefined
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,24.4,1100000,1100000,120000000,No,,,, --
nrg.co.il,/News & Current Events/News Networks /News & Current Events/Newspapers /News & Current Events/Local News,100,19.8,910000,910000,66000000,Yes,,,,100K - 500K
themarker.com,/News & Current Events/Business News /News & Current Events/Technology News /Finance & Insurance/Investing,100,18.3,840000,840000,73000000,Yes,,,,100K - 500K
yad2.co.il,/Local/Classifieds /Real Estate/Rental Listings & Referrals /Local/Jobs,100,18.2,830000,830000,130000000,Yes,,,,500K - 1M
mako.co.il,/Entertainment,100,18.1,830000,830000,18000000,No,,,, --
bankhapoalim.co.il,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance/Credit & Lending,100,16.5,760000,760000,50000000,No,,,, --
