Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.co.jp,/Internet/Web Portals,100,83.7,67000000,67000000,25000000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,47.6,38000000,38000000,800000000,No,,,, --
rakuten.co.jp,/Shopping/Shopping Portals & Search Engines /Internet/Web Portals,100,46.5,37000000,37000000,3600000000,No,,,, --
goo.ne.jp,/Computers & Electronics/Software /Computers & Electronics/Tech Support /Internet/Web Services,100,46.3,37000000,37000000,970000000,No,,,, --
fc2.com,/Online Communities/Blogging Resources & Services /Internet/Web Hosting & Domain Registration,100,46.3,37000000,37000000,2500000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100K - 500K
amazon.co.jp,/Shopping/Shopping Portals & Search Engines /Entertainment/Music /Arts & Humanities/Books & Literature,100,36,29000000,29000000,970000000,No,,,, --
nifty.com,/Telecommunications/Service Providers/ISPs,100,35.5,28000000,28000000,640000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,2M - 5M
livedoor.jp,/Online Communities/Blogging Resources & Services,100,35.5,28000000,28000000,610000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,32.4,26000000,26000000,410000000,No,,,, --
ameblo.jp,/Online Communities/Blogging Resources & Services,100,32.1,26000000,26000000,790000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,100,31.9,25000000,25000000,800000000,No,,,, --
hatena.ne.jp,/Online Communities/Blogging Resources & Services /Internet/Web Portals,100,29.4,23000000,23000000,380000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,1M - 2M
infoseek.co.jp,/Internet/Web Portals,100,26.9,21000000,21000000,550000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,1K - 10K
geocities.jp,/Internet/Web Hosting & Domain Registration /Online Communities/Blogging Resources & Services,100,26.8,21000000,21000000,310000000,No,,,, --
2ch.net,/Internet/Web Services/Email & Messaging /Computers & Electronics,100,26.7,21000000,21000000,860000000,No,,,, --
seesaa.net,/Internet/Web Services/Search Engines,100,26.4,21000000,21000000,210000000,No,,,, --
biglobe.ne.jp,/Internet/Web Portals /Telecommunications/Service Providers/ISPs,100,26.4,21000000,21000000,340000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,2M - 5M
ocn.ne.jp,/Telecommunications/Service Providers/ISPs /Internet/Web Services,100,24.4,19000000,19000000,230000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100K - 500K
