Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,70,10000000,10000000,800000000,No,,,, --
friendster.com,/Online Communities/Social Networks,100,35.1,5000000,5000000,950000000,Yes,160x600 300x250 336x280 450x50 468x60 728x90,,160x600 300x250 336x280 468x60 728x90,100M+
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,29.6,4200000,4200000,150000000,No,,,,undefined
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,29.5,4200000,4200000,540000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,26.9,3900000,3900000,42000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,100,26.4,3800000,3800000,50000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,22.1,3200000,3200000,26000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,100,18.1,2600000,2600000,19000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
maybank2u.com.my,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance,100,15.1,2200000,2200000,19000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,100,15.1,2200000,2200000,540000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,14.9,2100000,2100000,5100000,No,,,, --
thestar.com.my,/News & Current Events/Newspapers /Lifestyles/Ethnic & Identity Groups/Southeast Asians & Pacific Islanders,100,10.4,1500000,1500000,28000000,No,,,, --
mudah.my,/Local/Regional Content/Southeast Asia/Malaysia /Automotive/Vehicle Brands /Travel/Attractions & Activities,100,10.3,1500000,1500000,110000000,No,,,, --
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,100,10.2,1500000,1500000,19000000,Yes,728x90,,728x90,100K - 500K
selfip.com,/Home & Garden/Home Appliances /Food & Drink/Cooking & Recipes,100,9.5,1400000,1400000,3200000,No,,,, --
airasia.com,/Games/Video Games,100,9.5,1400000,1400000,21000000,No,,,, --
malaysiakini.com,/Local/Regional Content/Southeast Asia/Malaysia /News & Current Events/Politics,100,9.5,1400000,1400000,32000000,Yes,,,,100K - 500K
utusan.com.my,/Travel/Attractions & Activities /Local/Regional Content/Southeast Asia,100,9.4,1300000,1300000,31000000,No,,,, --
tagged.com,/Online Communities/Social Networks,100,9.4,1300000,1300000,170000000,Yes,160x600 300x250 336x280 450x50 468x60 728x90,,160x600 300x250 336x280 728x90,100M+
download.com,/Computers & Electronics/Computer Security/Antivirus & Malware /Computers & Electronics/Software,100,9.4,1300000,1300000,9100000,No,,,,undefined
flickr.com,/Photo & Video/Photo & Video Sharing,100,9.4,1300000,1300000,23000000,No,,,, --
baidu.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,8.6,1200000,1200000,54000000,No,,,,undefined
bharian.com.my,/Travel/Attractions & Activities /Local/Regional Content/Southeast Asia/Indonesia /Lifestyles/Religion & Spirituality/Religion/Islam,100,8.4,1200000,1200000,26000000,Yes,468x60,,468x60,100K - 500K
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,100,8.3,1200000,1200000,4200000,No,,,, --
clicksor.com,/Internet/Web Services/Affiliate Programs,100,7.7,1100000,1100000,2900000,No,,,,undefined
scribd.com,/Reference/Dictionaries & Encyclopedias /Computers & Electronics/Software/Graphics & Publishing /Internet/File Sharing & Hosting,100,7.6,1100000,1100000,6100000,Yes,300x250 336x280 468x60 728x90,,300x250 336x280 468x60 728x90,2M - 5M
rapidshare.com,/Internet/File Sharing & Hosting,100,7.1,1000000,1000000,19000000,No,,,, --
geocities.com,/Online Communities/Online Journals & Personal Sites,100,7.1,1000000,1000000,3500000,No,,,, --
about.com,/Reference/How-To & Expert Content /Internet/Web Portals,100,7,1000000,1000000,4200000,Yes,300x250 728x90,,300x250 728x90,20M - 50M
jobstreet.com,/Local/Jobs /Lifestyles/Ethnic & Identity Groups/Southeast Asians & Pacific Islanders,100,7,1000000,1000000,26000000,Yes,120x600 250x250 300x250,,120x600 300x250,100K - 500K
lowyat.net,/Computers & Electronics /Local/Regional Content/Southeast Asia/Malaysia /News & Current Events/Technology News,110,6.9,990000,900000,37000000,Yes,120x600 300x250 468x60 728x90,,120x600 300x250 468x60 728x90,2M - 5M
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,100,6.4,920000,920000,1600000,No,,,, --
