Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,99,68.1,18000000,18000000,2700000000,Yes,450x50 468x60,,,100K - 500K
msn.com,/Internet/Web Portals /News & Current Events,99,60.7,16000000,16000000,600000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,46.7,12000000,12000000,1100000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,35,9100000,9100000,190000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,34.8,9000000,9000000,170000000,No,,,, --
metroflog.com,/Online Communities/Social Networks /Photo & Video/Photo & Video Sharing,99,26,6700000,6700000,2500000000,Yes,160x600 300x250 468x60 728x90,,160x600 300x250 468x60 728x90,100M+
hi5.com,/Online Communities/Social Networks,99,25.8,6700000,6700000,1900000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,100M+
mercadolibre.com.mx,/Computers & Electronics/Hardware/Storage,99,23.6,6100000,6100000,340000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,99,19.4,5000000,5000000,31000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,99,16.2,4200000,4200000,1300000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
hotmail.com,/Internet/Web Services/Email & Messaging,99,16.2,4200000,4200000,34000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,99,14.7,3800000,3800000,1200000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
softonic.com,/Computers & Electronics /Internet,99,14.7,3800000,3800000,50000000,Yes,300x250,,,2M - 5M
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,99,14.6,3800000,3800000,50000000,Yes,728x90,,728x90,100K - 500K
unam.mx,/News & Current Events/Newspapers /Local/Regional Content/Mexico & Central America/Mexico /Society/Government & Regulatory Bodies,99,13.2,3400000,3400000,110000000,No,,,, --
geocities.com,/Online Communities/Online Journals & Personal Sites,99,12.3,3200000,3200000,16000000,No,,,, --
esmas.com,/Internet/Web Portals,99,12.1,3100000,3100000,55000000,No,,,, --
livefilestore.com,/Shopping/Apparel /Shopping,99,12.1,3100000,3100000,24000000,No,,,, --
rapidshare.com,/Internet/File Sharing & Hosting,99,11.2,2900000,2900000,80000000,No,,,, --
monografias.com,/Reference/Educational Resources /Reference/Online Directories,99,11.2,2900000,2900000,18000000,Yes,120x600 160x600 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 250x250 300x250 336x280 468x60 728x90,2M - 5M
imageshack.us,/Internet/File Sharing & Hosting,99,11.1,2900000,2900000,15000000,Yes,728x90,,728x90,1M - 2M
musica.com,/Entertainment/Music/Lyrics & Tabs /Photo & Video/Photo & Video Sharing,99,11,2800000,2800000,81000000,Yes,336x280 468x60 728x90,,336x280 468x60 728x90,5M - 10M
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,99,11,2800000,2800000,6800000,No,,,, --
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,99,10.9,2800000,2800000,19000000,No,,,,undefined
taringa.net,/Internet/File Sharing & Hosting /Entertainment /Entertainment/Music/Music Streams & Downloads,99,10.1,2600000,2600000,67000000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,99,10.1,2600000,2600000,16000000,No,,,, --
sonico.com,/Online Communities/Social Networks /Photo & Video/Photo & Video Sharing,99,10.1,2600000,2600000,81000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,10M - 20M
flickr.com,/Photo & Video/Photo & Video Sharing,99,10,2600000,2600000,45000000,No,,,, --
eluniversal.com.mx,/News & Current Events/Newspapers /Local/Regional Content/Mexico & Central America/Mexico,99,10,2600000,2600000,80000000,No,,,, --
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,99,9.8,2600000,2600000,18000000,No,,,, --
rincondelvago.com,/Society/Education/Colleges & Universities,99,9.1,2400000,2400000,13000000,No,,,, --
yieldmanager.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,99,8.4,2200000,2200000,7500000,No,,,, --
yahoo.com.mx,/Sports/Soccer,99,8.4,2200000,2200000,26000000,No,,,, --
univision.com,/Lifestyles/Ethnic & Identity Groups/Latinos & Latin-Americans /Entertainment/TV /Internet/Web Portals,99,8.3,2200000,2200000,34000000,Yes,,,,5M - 10M
megaupload.com,/Internet/File Sharing & Hosting,99,7.7,2000000,2000000,50000000,No,,,, --
programas-gratis.net,/Computers & Electronics /Internet/Web Services,99,7.6,2000000,2000000,21000000,Yes,160x600 250x250 468x60 728x90,,160x600 250x250 468x60 728x90,2M - 5M
passport.com,/Internet/Web Services/Email & Messaging /Internet/Web Services /Computers & Electronics,99,7.6,2000000,2000000,21000000,No,,,, --
scribd.com,/Reference/Dictionaries & Encyclopedias /Computers & Electronics/Software/Graphics & Publishing /Internet/File Sharing & Hosting,99,7.4,1900000,1900000,8100000,Yes,300x250 336x280 468x60 728x90,,300x250 336x280 468x60 728x90,2M - 5M
conduit.com,/Computers & Electronics/Computer Security/Antivirus & Malware,99,7,1800000,1800000,73000000,Yes,728x90,,728x90,1K - 10K
tu.tv,/Photo & Video/Photo & Video Sharing /Entertainment/Music/Music Streams & Downloads /Entertainment/Movies /Entertainment/Music /Entertainment/Humor & Bizarre/Paranormal,99,6.9,1800000,1800000,81000000,Yes,450x50,,,100K - 500K
olx.com.mx,/Local/Classifieds /Local/Regional Content/Mexico & Central America/Mexico,99,6.9,1800000,1800000,18000000,Yes,,,,500K - 1M
telmex.com,/Telecommunications/Service Providers /Local/Regional Content/Mexico & Central America,99,6.9,1800000,1800000,31000000,No,,,, --
directaclick.com,/Entertainment/Comics & Animation/Anime & Manga /Internet/Web Design & Development,99,6.8,1800000,1800000,6100000,No,,,, --
atdmt.com,/Science /Telecommunications/Mobile & Wireless/Mobile Phones,99,6.2,1600000,1600000,4200000,No,,,, --
apple.com,/Computers & Electronics/Software/Operating Systems/Mac /Computers & Electronics,99,5.8,1500000,1500000,13000000,No,,,, --
campusanuncios.com,/Local/Classifieds /Reference/Online Directories,99,5.6,1500000,1500000,5100000,Yes,120x600 468x60,,120x600 468x60,500K - 1M
wordreference.com,/Reference/Language Study & Translation /Reference/Dictionaries & Encyclopedias,99,5.6,1500000,1500000,19000000,Yes,300x250 728x90,,300x250 728x90,5M - 10M
ask.com,/Entertainment/Comics & Animation/Cartoons /Internet /Internet/Web Services/Search Engines,99,5.6,1500000,1500000,13000000,No,,,,undefined
fotolog.com,/Photo & Video/Photo & Video Sharing /Online Communities/Online Journals & Personal Sites /Online Communities/Social Networks /Online Communities /Photo & Video,110,5.6,1500000,1300000,280000000,Yes,300x250 728x90,,300x250 728x90,50M - 100M
wamba.com,/Online Communities/Social Networks,99,5.2,1400000,1400000,49000000,Yes,160x600 300x250 728x90,,160x600 300x250 728x90,2M - 5M
terra.com.mx,/Photo & Video/Photo & Video Software,99,5.2,1300000,1300000,26000000,No,,,, --
vivastreet.com.mx,/Local/Classifieds /Local/Regional Content/Mexico & Central America/Mexico,110,5.2,1300000,1200000,21000000,Yes,,,,500K - 1M
foxsports.com,/Sports /Sports/Football /Sports/Baseball,99,5.1,1300000,1300000,28000000,No,,,, --
wikimedia.org,/Reference/Dictionaries & Encyclopedias /Finance & Insurance/Banking & Personal Finance,99,5.1,1300000,1300000,3800000,No,,,, --
juegos.com,/Games/Video Games /Entertainment/Fun & Trivia,99,5.1,1300000,1300000,96000000,Yes,300x250 468x60 728x90,,300x250 468x60 728x90,5M - 10M
fastclick.net,/Business/Advertising & Marketing /Internet/Search Engine Optimization & Marketing,99,5.1,1300000,1300000,3400000,No,,,, --
uptodown.com,/Internet/File Sharing & Hosting,99,5.1,1300000,1300000,9900000,Yes,300x250 728x90,,300x250 728x90,1M - 2M
lycos.es,/Internet/Web Portals /Internet/File Sharing & Hosting /Entertainment /Games/Video Games/Online Games,99,5.1,1300000,1300000,5000000,No,,,,undefined
megavideo.com,/Entertainment/Dancing,99,4.7,1200000,1200000,28000000,No,,,, --
oem.com.mx,/News & Current Events /News & Current Events/Local News /Local/Regional Content/Mexico & Central America/Mexico,99,4.7,1200000,1200000,21000000,Yes,300x250,,300x250,500K - 1M
glispa.com,/Health/Aging & Geriatrics/Alzheimer's Disease /Health,99,4.7,1200000,1200000,3200000,No,,,, --
elmundo.es,/News & Current Events/Newspapers,99,4.7,1200000,1200000,9000000,No,,,, --
occ.com.mx,/Local/Jobs /Business/Human Resources/Recruitment & Staffing /Local/Regional Content/Mexico & Central America/Mexico,99,4.7,1200000,1200000,110000000,Yes,468x60,,468x60,2M - 5M
aol.com,/Internet/Web Portals /Internet/Web Services/Email & Messaging,99,4.7,1200000,1200000,18000000,No,,,, --
flycell.com.mx,/Telecommunications/Mobile & Wireless,99,4.3,1100000,1100000,5500000,No,,,, --
go.com,/Internet/Web Portals /Sports,99,4.3,1100000,1100000,38000000,No,,,,undefined
tripod.com,/Internet/Web Hosting & Domain Registration /Internet/Web Design & Development /Photo & Video/Photo & Video Sharing /Online Communities/Blogging Resources & Services,99,4.3,1100000,1100000,4700000,No,,,, --
amazon.com,/Shopping,99,4.3,1100000,1100000,17000000,No,,,, --
guiamexico.com.mx,/Reference/Online Directories /Local/Regional Content/Mexico & Central America/Mexico /Business /Industries,99,4.3,1100000,1100000,6100000,Yes,160x600 336x280 728x90,,160x600 336x280 728x90,100K - 500K
emagister.com,/Society/Education/Distance Learning /Reference/Educational Resources,99,4.3,1100000,1100000,5500000,Yes,336x280,,336x280,1M - 2M
psicofxp.com,/Internet/Web Portals /Entertainment/Fun & Trivia /News & Current Events/Gossip & Tabloids /Games/Video Games/Online Games /Internet/Online Goodies,99,4.2,1100000,1100000,4700000,Yes,160x600 300x250 728x90,,160x600 300x250 728x90,500K - 1M
minijuegos.com,/Games/Video Games/Online Games,99,4.2,1100000,1100000,34000000,Yes,300x250 468x60 728x90,,300x250 468x60 728x90,2M - 5M
galeon.com,/Internet/Web Hosting & Domain Registration /Internet/Web Services,99,4.2,1100000,1100000,4700000,No,,,, --
telcel.com,/Telecommunications/Mobile & Wireless/Mobile Phones,99,4.2,1100000,1100000,28000000,No,,,, --
df.gob.mx,/Local/Regional Content/Mexico & Central America/Mexico /Local/Regional Content /Society/Government & Regulatory Bodies,99,4.2,1100000,1100000,23000000,No,,,, --
