Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,82.9%,"26,000,000","26,000,000","48,000,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,75.3%,"23,000,000","24,000,000","4,800,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,75.1%,"23,000,000","23,000,000","4,500,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,62.7%,"19,000,000","19,000,000","660,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,51.1%,"16,000,000","16,000,000","1,200,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,42.5%,"13,000,000","13,000,000","170,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,39.3%,"12,000,000","12,000,000","190,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,24.1%,"7,500,000","7,500,000","280,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,19.8%,"6,100,000","6,200,000","51,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,19.6%,"6,100,000","6,100,000","31,000,000",
,,domain: mercadolibre.com.mx,[D],Shopping > Classifieds,Yes,Yes,No,No,No,No,No,98,19.5%,"6,000,000","6,200,000","370,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,18.0%,"5,600,000","5,600,000","120,000,000",
,,domain: musica.com,[D],Arts & Entertainment > Music & Audio,Yes,Yes,160x600 300x250 728x90 ,No,No,No,No,100,16.7%,"5,200,000","5,200,000","98,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,16.3%,"5,100,000","5,100,000","66,000,000",
,,domain: taringa.net,[D],Online Communities > Social Networks,Yes,Yes,120x240 160x600 250x250 300x250 468x60 728x90 ,No,No,No,No,100,16.3%,"5,100,000","5,100,000","82,000,000",
,,domain: guiaconsumidor.com,[D],Business & Industrial > Small Business > MLM & Business Opportunities,No,No,No,No,No,No,No,100,15.1%,"4,700,000","4,700,000","19,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,15.1%,"4,700,000","4,700,000","190,000,000",
,,domain: esmas.com,[D],Internet & Telecom > Web Portals,Yes,Yes,300x40 300x250 728x90 768x70 ,No,No,300x250 728x90 ,728x90 ,99,14.8%,"4,600,000","4,600,000","110,000,000",
,,domain: softonic.com,[D],Computers & Electronics > Software,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,No,99,14.8%,"4,600,000","4,600,000","51,000,000",
,,domain: yieldmanager.com,[D],Computers & Electronics > Computer Security,Yes,No,No,No,No,No,No,99,13.6%,"4,200,000","4,300,000","13,000,000",
,,domain: rincondelvago.com,[D],Jobs & Education > Education,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,160x600 300x250 468x60 728x90 ,100,13.5%,"4,200,000","4,200,000","21,000,000",
,,domain: monografias.com,[D],Internet & Telecom > Web Portals,Yes,Yes,160x600 300x250 336x280 468x60 728x90 ,No,No,160x600 300x250 336x280 468x60 728x90 ,160x600 300x250 336x280 468x60 728x90 ,100,12.4%,"3,900,000","3,900,000","18,000,000",
,,domain: unam.mx,[D],News > Newspapers,Yes,No,No,No,No,No,No,98,12.3%,"3,800,000","3,900,000","97,000,000",
