Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,57.5,2000000,2000000,250000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,100,51.2,1800000,1800000,67000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,32.5,1100000,1100000,98000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,32.3,1100000,1100000,26000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,29.4,1000000,1000000,280000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,26.8,920000,920000,13000000,No,,,, --
skyrock.com,/Online Communities /Online Communities/Blogging Resources & Services /Online Communities/Social Networks /Entertainment/Radio /Entertainment/Music /Internet/Online Goodies,100,26.2,900000,900000,210000000,No,,,, --
commentcamarche.net,/Computers & Electronics /Reference/Dictionaries & Encyclopedias,100,24.1,830000,830000,8200000,Yes,,,,2M - 5M
01net.com,/News & Current Events/Technology News /Computers & Electronics /Internet,100,22.2,760000,760000,15000000,No,,,, --
free.fr,/Internet/Online Goodies /Computers & Electronics/Software /Internet,100,21.8,750000,750000,11000000,No,,,, --
dailymotion.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Photo & Video/Photo & Video Sharing /Entertainment/Multimedia Content /Online Communities,100,18.3,630000,630000,20000000,Yes,728x90,,728x90,10M - 20M
startimes2.com,/Online Communities/Online Journals & Personal Sites /Games/Video Games/Online Games /Entertainment/Music/Music Streams & Downloads /Arts & Humanities /Society,100,18.1,620000,620000,88000000,No,,,, --
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,100,16.3,560000,560000,5100000,No,,,,undefined
kooora.com,/Sports/Football /Sports/Soccer,100,15,520000,520000,67000000,No,,,, --
maktoob.com,/Internet/Web Portals /Business /Entertainment,100,13.6,470000,470000,16000000,No,,,, --
mobileiam.ma,/Telecommunications /Local/Regional Content/Africa,100,13.6,470000,470000,28000000,No,,,, --
rapidshare.com,/Internet/File Sharing & Hosting,100,12.6,430000,430000,8100000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,100,12.5,430000,430000,3100000,No,,,, --
hotmail.com,/Internet/Web Services/Email & Messaging,100,12.4,430000,430000,2400000,No,,,, --
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,100,12.2,420000,420000,3800000,No,,,, --
aljazeera.net,/Lifestyles /News & Current Events /News & Current Events/News Networks,100,11.4,390000,390000,12000000,No,,,, --
menara.ma,/Lifestyles/Ethnic & Identity Groups/Arab & Middle Eastern /Local/Regional Content/Africa /Internet/Web Portals,100,11.3,390000,390000,16000000,No,,,,undefined
maroczik.com,/Entertainment/Music /Entertainment/Radio /Local/Regional Content/Africa,100,11.3,390000,390000,11000000,Yes,120x600 160x600 300x250 728x90,,120x600 160x600 300x250 728x90,500K - 1M
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,11.2,380000,380000,1100000,No,,,, --
lexilogos.com,/Reference/Language Study & Translation /Reference/Dictionaries & Encyclopedias,100,10.3,360000,360000,3100000,No,,,, --
infos-du-net.com,/Computers & Electronics/Software /News & Current Events,100,10.3,350000,350000,2200000,Yes,728x90,,728x90,1M - 2M
clubic.com,/Computers & Electronics /Computers & Electronics/Hardware /News & Current Events/Technology News,100,10.3,350000,350000,2900000,Yes,300x250,,300x250,2M - 5M
msn.fr,/Computers & Electronics,100,10.1,350000,350000,3100000,No,,,, --
4shared.com,/Internet/File Sharing & Hosting,100,9.4,320000,320000,9000000,No,,,,undefined
skyblog.com,/Online Communities/Blogging Resources & Services,100,9.3,320000,320000,3500000,No,,,, --
zshare.net,/Internet/File Sharing & Hosting,100,9.2,320000,320000,5000000,No,,,,undefined
ifrance.com,/Internet/Web Portals /Internet/Web Hosting & Domain Registration,100,8.6,290000,290000,2400000,No,,,, --
c.la,/Internet/Web Hosting & Domain Registration,100,8.5,290000,290000,2900000,No,,,, --
jeux.com,/Games/Video Games/Online Games,100,8.5,290000,290000,21000000,Yes,120x600 300x250 728x90,,120x600 300x250 728x90,2M - 5M
doctissimo.fr,/Health /Lifestyles/Parenting & Family /Lifestyles/Women's Interests,100,8.5,290000,290000,2900000,Yes,,,,2M - 5M
livefilestore.com,/Shopping/Apparel /Shopping,100,8.4,290000,290000,1600000,No,,,, --
over-blog.com,/Online Communities/Blogging Resources & Services,100,8.4,290000,290000,2100000,No,,,, --
ask.com,/Entertainment/Comics & Animation/Cartoons /Internet /Internet/Web Services/Search Engines,100,8.4,290000,290000,2600000,No,,,,undefined
meditel.ma,/Online Communities/Forum & Chat Providers /Telecommunications,100,8.4,290000,290000,16000000,No,,,, --
yieldmanager.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,100,7.8,270000,270000,1200000,No,,,, --
y8.com,/Games/Video Games/Online Games /Internet/Online Goodies,100,7.8,270000,270000,31000000,Yes,728x90,,728x90,20M - 50M
imageshack.us,/Internet/File Sharing & Hosting,100,7.7,270000,270000,1500000,Yes,728x90,,728x90,1M - 2M
perfspot.com,/Online Communities/Social Networks /Photo & Video/Professional Photo & Video Services,100,7.7,260000,260000,3200000,Yes,120x600 160x600 300x250 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,2M - 5M
clicksor.com,/Internet/Web Services/Affiliate Programs,100,7.7,260000,260000,1200000,No,,,,undefined
jeeran.com,/Online Communities/Blogging Resources & Services /Internet/Web Services /Internet/Web Services/Email & Messaging /Internet/Web Hosting & Domain Registration,100,7.6,260000,260000,2400000,Yes,120x600 160x600 200x200 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 300x250 336x280 468x60 728x90,10K - 100K
windowslive.fr,/Internet/Web Services/Email & Messaging,100,7,240000,240000,1600000,No,,,, --
linternaute.com,/News & Current Events/Magazines /Internet/Web Portals /Entertainment /Reference,100,7,240000,240000,3500000,Yes,,,,10M - 20M
bladi.net,/Local/Regional Content /Internet/Web Portals,100,7,240000,240000,2000000,Yes,468x60,,468x60,100K - 500K
panet.co.il,/Internet/Web Portals /Local/Regional Content/Middle East/Israel /News & Current Events/Local News /Entertainment/Music/Music Streams & Downloads /Entertainment/Celebrities,100,7,240000,240000,12000000,No,,,, --
bramjnet.com,/Computers & Electronics/Software /Entertainment/Movies,110,7,240000,220000,5000000,Yes,336x280 468x60 728x90,,336x280 468x60 728x90,10K - 100K
aufeminin.com,/Lifestyles/Women's Interests /Beauty & Personal Care/Beauty Magazines,100,7,240000,240000,4600000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,100,6.9,240000,240000,1100000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
hespress.com,/News & Current Events/Newspapers /Local,100,6.9,240000,240000,8300000,No,,,,undefined
6rb.com,/Entertainment/Music /Entertainment/Music/Music Streams & Downloads,100,6.5,220000,220000,5600000,No,,,, --
canalblog.com,/Online Communities/Blogging Resources & Services,100,6.4,220000,220000,1900000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 250x250 300x250 336x280 468x60 728x90,10K - 100K
z5x.net,/Internet/Web Design & Development /Computers & Electronics/Programming /Computers & Electronics/Programming/Scripting Languages,110,6.4,220000,200000,1400000,No,,,, --
lycos.fr,/Internet/Web Portals,100,6.3,220000,220000,2800000,No,,,,undefined
metacafe.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Photo & Video/Photo & Video Sharing /Online Communities,110,6.3,220000,200000,3200000,Yes,300x250 728x90,,300x250 728x90,10M - 20M
netlog.com,/Online Communities/Social Networks /Lifestyles/Kids & Teens /Online Communities/Blogging Resources & Services /Photo & Video/Photo & Video Sharing /Online Communities/Dating & Relationships,100,5.9,200000,200000,11000000,Yes,160x600 300x250 728x90,,160x600 300x250 728x90,100M+
megaupload.com,/Internet/File Sharing & Hosting,110,5.9,200000,180000,2900000,No,,,, --
webobo.com,/Internet/Web Design & Development /Internet/Web Services,100,5.9,200000,200000,5100000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,10K - 100K
skype.com,/Telecommunications/VOIP & Internet Telephony /Telecommunications/Service Providers/Phone Service Providers/Calling Cards,100,5.8,200000,200000,2200000,No,,,, --
babel.com,/Online Communities/Forum & Chat Providers,110,5.8,200000,180000,55000000,Yes,300x250 336x280 728x90,,300x250 336x280 728x90,10M - 20M
hihi2.com,/Sports/Football /Sports/Soccer /Internet/Web Portals,100,5.8,200000,200000,9900000,Yes,160x600 728x90,,160x600 728x90,10K - 100K
islamway.com,/Lifestyles/Religion & Spirituality/Religion/Islam,110,5.7,200000,180000,5100000,No,,,, --
yahoo.fr,/Internet/Web Services/Search Engines /Internet/Web Portals /Shopping/Shopping Portals & Search Engines,100,5.7,200000,200000,2000000,No,,,, --
casafree.com,/Internet/Web Portals /Local/Regional Content/Africa,100,5.7,200000,200000,1500000,Yes,160x600 250x250 300x250 336x280 468x60 728x90,,160x600 250x250 300x250 336x280 468x60 728x90,100K - 500K
maktoobblog.com,/Entertainment /Entertainment/Fashion & Modeling,100,5.7,200000,200000,1100000,No,,,, --
islamweb.net,/Lifestyles/Religion & Spirituality/Religion/Islam,100,5.3,180000,180000,4700000,No,,,, --
gamezer.com,/Games/Video Games/Online Games,100,5.3,180000,180000,4600000,Yes,468x60 728x90,,468x60 728x90,1M - 2M
hibamusic.com,/Entertainment/Music/World Music /Entertainment/Music/Music Streams & Downloads /Entertainment/Celebrities /Reference/Biographies & Quotations,100,5.3,180000,180000,2900000,Yes,160x600 250x250 336x280 468x60 728x90,,160x600 250x250 336x280 468x60 728x90,100K - 500K
skyrock.net,/Computers & Electronics/Software/Operating Systems/Linux & Unix /Computers & Electronics /Computers & Electronics/Software,100,5.3,180000,180000,620000,No,,,, --
2m.tv,/Lifestyles/Ethnic & Identity Groups/Arab & Middle Eastern /Entertainment,100,5.3,180000,180000,2300000,No,,,, --
yabiladi.com,/Local/Regional Content/Africa /Internet/Web Portals /Lifestyles/Ethnic & Identity Groups/Arab & Middle Eastern,100,5.2,180000,180000,2000000,Yes,728x90,,728x90,100K - 500K
badoo.com,/Online Communities/Social Networks /Photo & Video/Photo & Video Sharing /Online Communities/Online Journals & Personal Sites /Internet/File Sharing & Hosting,100,5.2,180000,180000,19000000,No,,,, --
clicksor.net,/Computers & Electronics/Software/Software Utilities /Computers & Electronics/Computer Security/Antivirus & Malware,100,5.2,180000,180000,570000,No,,,, --
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,100,5.2,180000,180000,920000,No,,,,undefined
scribd.com,/Reference/Dictionaries & Encyclopedias /Computers & Electronics/Software/Graphics & Publishing /Internet/File Sharing & Hosting,100,5.2,180000,180000,1100000,Yes,300x250 336x280 468x60 728x90,,300x250 336x280 468x60 728x90,2M - 5M
casavie.com,/Entertainment /Games/Video Games/Online Games,100,5.2,180000,180000,6100000,No,,,, --
wana.ma,/Online Communities/Online Journals & Personal Sites,100,4.9,170000,170000,4200000,Yes,,,,10K - 100K
unblog.fr,/Online Communities/Blogging Resources & Services,100,4.8,170000,170000,900000,Yes,120x600 160x600 336x280 468x60 728x90,,120x600 160x600 336x280 468x60 728x90,1K - 10K
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,100,4.8,160000,160000,4200000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
wat.tv,/Computers & Electronics/Software/Operating Systems/Windows /Photo & Video/Photo & Video Sharing,100,4.8,160000,160000,2800000,No,,,, --
jeux.fr,/Games/Video Games/Online Games /Entertainment/Multimedia Content/Flash Content /Lifestyles/Kids & Teens,100,4.7,160000,160000,8800000,Yes,300x250 728x90,,300x250 728x90,2M - 5M
mbc.net,/Entertainment /News & Current Events /Entertainment/Entertainment Industry,100,4.4,150000,150000,4200000,No,,,, --
passport.net,/Internet/Web Services /Internet/Web Services/Email & Messaging,100,4.4,150000,150000,2100000,No,,,, --
tchatche.com,/Internet/Web Portals /Online Communities/Social Networks,110,4.4,150000,140000,19000000,Yes,200x200 300x250 336x280 468x60 728x90,,200x200 300x250 336x280 468x60 728x90,10M - 20M
amazon.fr,/Shopping/Shopping Portals & Search Engines /Arts & Humanities/Books & Literature/Book Retailers,100,4.4,150000,150000,920000,No,,,, --
flickr.com,/Photo & Video/Photo & Video Sharing,100,4.3,150000,150000,2600000,No,,,, --
adsrevenue.net,/Entertainment/Humor & Bizarre/Humor /Telecommunications/Mobile & Wireless/Mobile Phones,100,4.3,150000,150000,1200000,No,,,, --
pagesperso-orange.fr,/Internet/Web Hosting & Domain Registration,100,4.3,150000,150000,1200000,No,,,, --
truveo.com,/Internet/File Sharing & Hosting /Entertainment /Entertainment/Humor & Bizarre/Humor,100,4.3,150000,150000,1000000,Yes,200x200 450x50 468x60,,,10K - 100K
sourceforge.net,/Computers & Electronics/Software/Open Source /Computers & Electronics/Programming /Computers & Electronics/Programming/Development Tools,100,4.3,150000,150000,820000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,5M - 10M
casalemedia.com,/Business/Advertising & Marketing/Marketing Services /Internet/Web Services,91,4.3,150000,160000,680000,No,,,, --
voila.fr,/Internet/Web Services /Internet/Web Services/Search Engines /Internet,91,4.3,150000,160000,2900000,No,,,, --
bdr130.net,/Lifestyles/Religion & Spirituality /Online Communities/Forum & Chat Providers /Arts & Humanities/Books & Literature/Poetry,110,4.3,150000,130000,1200000,No,,,, --
real.com,/Computers & Electronics/Software/Audio & Multimedia,100,4.3,150000,150000,900000,Yes,160x600 300x250 728x90,,160x600 300x250 728x90,500K - 1M
salmiya.net,/Entertainment/Music /Entertainment/Celebrities /Entertainment/Music/World Music,100,4,140000,140000,3200000,Yes,120x600 160x600 200x200 336x280 468x60 728x90,,120x600 160x600 200x200 336x280 468x60 728x90,500K - 1M
conduit.com,/Computers & Electronics/Computer Security/Antivirus & Malware,100,4,140000,140000,3800000,No,,,,undefined
lemonde.fr,/News & Current Events/Newspapers /Arts & Humanities/Books & Literature,100,4,140000,140000,2000000,No,,,,undefined
swi9a.com,/Entertainment/Humor & Bizarre,100,4,140000,140000,2200000,Yes,120x600 160x600 300x250 468x60,,120x600 160x600 300x250 468x60,100K - 500K
assabah.press.ma,/News & Current Events/News Networks /News & Current Events/Newspapers,100,4,140000,140000,1000000,No,,,, --
megavideo.com,/Entertainment/Dancing,100,4,140000,140000,3200000,No,,,, --
