Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,70.7%,"9,900,000","10,000,000","1,400,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,70.5%,"9,900,000","9,900,000","1,600,000,000",
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,58.5%,"8,200,000","8,300,000","3,600,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,53.5%,"7,500,000","7,500,000","370,000,000",
,,domain: hyves.nl,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,99,53.0%,"7,400,000","7,500,000","3,300,000,000",
,,domain: marktplaats.nl,[D],Shopping > Classifieds,Yes,No,Yes,No,No,No,No,100,48.3%,"6,800,000","6,800,000","1,900,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,44.6%,"6,200,000","6,200,000","80,000,000",
,,domain: buienradar.nl,[D],News > Weather,Yes,Yes,120x600 140x70 160x600 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 300x250 336x280 468x60 728x90 ,120x600 300x250 336x280 468x60 728x90 ,99,44.2%,"6,200,000","6,200,000","230,000,000",
,,domain: ing.nl,[D],Finance > Investing,No,No,No,No,No,No,No,99,39.7%,"5,600,000","5,600,000","410,000,000",
,,domain: rabobank.nl,[D],Finance > Banking,No,No,No,No,No,No,No,100,36.1%,"5,100,000","5,100,000","450,000,000",
,,domain: nu.nl,[D],News,Yes,Yes,120x600 ,No,No,120x600 ,No,100,33.1%,"4,600,000","4,600,000","210,000,000",
,,domain: startpagina.nl,[D],Internet & Telecom > Web Portals,Yes,Yes,468x60 ,No,No,468x60 ,No,100,29.9%,"4,200,000","4,200,000","210,000,000",
,,domain: telegraaf.nl,[D],News > Newspapers,Yes,Yes,150x150 300x100 300x250 336x280 728x90 ,No,No,300x250 336x280 728x90 ,No,99,29.7%,"4,200,000","4,200,000","310,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,27.7%,"3,900,000","3,900,000","160,000,000",
