Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
trademe.co.nz,/Local/Regional Content/Oceania/New Zealand /Shopping/Auctions,100,51.4,1600000,1600000,730000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,47.1,1500000,1500000,170000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,38.8,1200000,1200000,130000000,No,,,,undefined
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,35.1,1100000,1100000,280000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,29.2,920000,920000,24000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,26.4,840000,840000,15000000,No,,,, --
bebo.com,/Online Communities/Social Networks /Entertainment,100,21.8,690000,690000,340000000,Yes,120x600 160x600 300x250 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,500K - 1M
nzherald.co.nz,/News & Current Events/Newspapers /Local/Regional Content/Oceania/New Zealand /Local/Jobs,100,21.7,690000,690000,37000000,Yes,,,,2M - 5M
msn.com,/Internet/Web Portals /News & Current Events,100,21.5,680000,680000,15000000,No,,,, --
yellow.co.nz,/Local/Regional Content/Oceania/New Zealand /Reference/Time & Calendars,100,19.6,620000,620000,9000000,No,,,, --
stuff.co.nz,/Local/Regional Content/Oceania/New Zealand /News & Current Events/Newspapers,100,19.6,620000,620000,37000000,No,,,, --
msn.co.nz,/Travel/Air Travel /Local/Regional Content/Oceania/New Zealand /Sports,100,18,570000,570000,12000000,No,,,, --
airnewzealand.co.nz,/Travel/Air Travel /Local/Regional Content/Oceania/New Zealand,110,15,470000,430000,12000000,No,,,, --
westpac.co.nz,/Finance & Insurance/Banking & Personal Finance /Local/Regional Content/Oceania/New Zealand,100,14.8,470000,470000,28000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,13.4,420000,420000,1300000,No,,,, --
finda.co.nz,/Local/Regional Content/Oceania/New Zealand,100,12.4,390000,390000,4200000,No,,,, --
about.com,/Reference/How-To & Expert Content /Internet/Web Portals,110,12.3,390000,350000,3200000,Yes,300x250 728x90,,300x250 728x90,20M - 50M
tvnz.co.nz,/Sports/Rugby /Local/Regional Content/Oceania/New Zealand,100,12.2,390000,390000,6100000,No,,,, --
bbc.co.uk,/News & Current Events /Local/Regional Content/Western Europe/United Kingdom /Entertainment/Radio /Science,100,11.1,350000,350000,15000000,No,,,, --
