Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,74.5%,"2,600,000","2,600,000","2,500,000,000",
,,domain: trademe.co.nz,[D],Shopping > Classifieds,Yes,Yes,No,No,No,No,No,100,56.5%,"2,000,000","2,000,000","1,100,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,55.9%,"2,000,000","2,000,000","230,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,50.5%,"1,800,000","1,800,000","250,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,41.9%,"1,500,000","1,500,000","190,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,38.8%,"1,400,000","1,400,000","23,000,000",
,,domain: nzherald.co.nz,[D],News > Local News,Yes,Yes,300x250 ,No,No,No,No,100,31.1%,"1,100,000","1,100,000","55,000,000",
,,domain: stuff.co.nz,[D],News,Yes,Yes,300x250 ,No,No,300x250 ,No,99,31.0%,"1,100,000","1,100,000","55,000,000",
,,domain: msn.co.nz,[D],Internet & Telecom > Web Portals,Yes,Yes,Yes,No,No,No,No,100,29.2%,"1,000,000","1,000,000","21,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,28.7%,"1,000,000","1,000,000","11,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,26.1%,"910,000","930,000","10,000,000",
,,domain: westpac.co.nz,[D],Finance,No,No,No,No,No,No,No,100,23.8%,"830,000","830,000","66,000,000",
,,domain: yellow.co.nz,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,No,300x250 ,No,No,No,No,99,23.7%,"830,000","840,000","10,000,000",
,,domain: tvnz.co.nz,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,Yes,160x600 300x250 310x68 760x120 ,No,No,No,No,100,21.7%,"760,000","760,000","12,000,000",
,,domain: asbbank.co.nz,[D],Finance,No,No,No,No,No,No,No,100,19.9%,"700,000","700,000","31,000,000",
,,domain: asb.co.nz,[D],Finance > Banking,No,No,No,No,No,No,No,100,19.7%,"690,000","690,000","18,000,000",
,,domain: airnewzealand.co.nz,[D],Travel > Air Travel,Yes,No,No,No,No,No,No,100,18.0%,"630,000","630,000","12,000,000",
,,domain: nbnz.co.nz,[D],Finance,No,No,No,No,No,No,No,100,17.7%,"620,000","620,000","45,000,000",
,,domain: seek.co.nz,[D],Jobs & Education > Jobs > Job Listings,Yes,No,468x60 ,No,No,No,No,100,16.4%,"570,000","570,000","18,000,000",
,,domain: about.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,300x250 336x280 728x90 ,No,No,300x250 336x280 728x90 ,No,98,16.1%,"560,000","570,000","3,800,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,14.8%,"520,000","520,000","12,000,000",
,,domain: nationalbank.co.nz,[D],Finance > Banking,No,No,No,No,No,No,No,99,14.7%,"510,000","520,000","5,100,000",
,,domain: metservice.com,[D],News > Weather,Yes,No,Yes,No,No,No,No,99,14.6%,"510,000","510,000","8,200,000",
,,domain: finda.co.nz,[D],Real Estate > Apartments & Residential Rentals,Yes,No,Yes,No,No,No,No,98,14.5%,"510,000","520,000","2,200,000",
,,domain: anz.co.nz,[D],Finance > Banking,No,No,No,No,No,No,No,100,13.5%,"470,000","470,000","8,200,000",
,,domain: telecom.co.nz,[D],Science > Computer Science,No,No,No,No,No,No,No,100,13.4%,"470,000","470,000","9,000,000",
,,domain: ird.govt.nz,[D],Finance > Accounting & Auditing,No,No,No,No,No,No,No,100,13.4%,"470,000","470,000","23,000,000",
,,domain: kiwibank.co.nz,[D],Finance > Banking,No,No,No,No,No,No,No,99,13.3%,"470,000","470,000","28,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,13.2%,"460,000","470,000","3,200,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,12.2%,"430,000","430,000","2,400,000",
,,domain: vodafone.co.nz,[D],Internet & Telecom > Service Providers > Phone Service Providers,No,No,No,No,No,No,No,100,12.2%,"430,000","430,000","16,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,11.3%,"390,000","390,000","9,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,11.1%,"390,000","390,000","9,000,000",
,,domain: linkedin.com,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,11.1%,"390,000","390,000","9,100,000",
,,domain: amazon.com,[D],Shopping > Shopping Portals & Search Engines,Yes,Yes,125x125 ,No,No,No,No,100,11.1%,"390,000","390,000","8,200,000",
,,domain: answers.com,[D],Reference > General Reference,Yes,Yes,160x600 250x250 300x250 320x50 ,No,No,No,320x50 ,100,11.1%,"390,000","390,000","1,800,000",
,,domain: apple.com,[D],Computers & Electronics > Software > Operating Systems > Mac OS,Yes,Yes,53x53 135x95 187x94 240x48 305x63 305x80 320x37 320x259 385x295 480x187 ,No,No,No,No,99,11.1%,"390,000","390,000","3,500,000",
,,domain: 1-day.co.nz,[D],Computers & Electronics > Enterprise Technology > Data Management,Yes,No,No,No,No,No,No,99,11.0%,"390,000","390,000","9,000,000",
,,domain: anz.com,[D],Finance,Yes,No,No,No,No,No,No,99,10.9%,"380,000","390,000","15,000,000",
,,domain: grabone.co.nz,[D],Shopping > Consumer Resources > Coupons & Discount Offers,No,No,No,No,No,No,No,100,10.2%,"360,000","360,000","4,600,000",
,,domain: bbc.co.uk,[D],News > World News,Yes,Yes,No,No,No,No,No,100,10.1%,"350,000","350,000","9,000,000",
,,domain: imdb.com,[D],Arts & Entertainment > Movies > Movie Reference,Yes,Yes,160x600 300x40 300x250 642x40 728x90 1008x60 ,No,No,No,No,99,9.9%,"350,000","350,000","5,600,000",
,,domain: grabaseat.co.nz,[D],Travel > Air Travel,Yes,No,No,No,No,No,No,99,9.2%,"320,000","330,000","2,400,000",
,,domain: geonet.org.nz,[D],Science > Earth Sciences > Geology,No,No,No,No,No,No,No,100,9.2%,"320,000","320,000","8,900,000",
,,domain: flickr.com,[D],Online Communities > Photo & Video Sharing > Photo & Image Sharing,Yes,No,No,No,No,No,No,100,9.2%,"320,000","320,000","6,800,000",
,,domain: ehow.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,160x600 249x77 300x250 320x50 336x280 728x90 ,No,No,160x600 300x250 728x90 ,No,99,9.2%,"320,000","320,000","1,100,000",
,,domain: nzpost.co.nz,[D],Business & Industrial > Transportation & Logistics > Mail & Package Delivery,No,No,No,No,No,No,No,100,9.1%,"320,000","320,000","3,900,000",
,,domain: cnet.com,[D],Computers & Electronics > Consumer Electronics,Yes,Yes,160x600 300x250 475x35 728x90 ,No,No,No,No,100,7.7%,"270,000","270,000","1,600,000",
,,domain: 3news.co.nz,[D],News > Business News,Yes,Yes,88x31 120x60 300x250 ,No,No,No,No,99,7.6%,"260,000","270,000","1,800,000",
,,domain: thewarehouse.co.nz,[D],Business & Industrial > Business Operations > Management,No,No,No,No,No,No,No,100,7.6%,"260,000","260,000","5,600,000",
