Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,43.2,1600000,1600000,1300000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
vg.no,/News & Current Events /Online Communities,100,42.6,1600000,1600000,250000000,Yes,,,,10K - 100K
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,39.5,1500000,1500000,250000000,No,,,,undefined
finn.no,/Real Estate/Rental Listings & Referrals /News & Current Events,100,35.3,1300000,1300000,600000000,No,,,, --
dagbladet.no,/Online Communities/Dating & Relationships,100,32.2,1200000,1200000,130000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,100,32,1200000,1200000,74000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,29.7,1100000,1100000,61000000,No,,,, --
gulesider.no,/Reference/Business & Personal Listings /Reference,110,29.1,1100000,1000000,67000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,24.4,920000,920000,34000000,No,,,, --
nrk.no,/Entertainment/TV/TV Networks,110,24.1,910000,830000,50000000,No,,,, --
aftenposten.no,/News & Current Events/Newspapers /Local/Regional Content/Western Europe,100,24,900000,900000,81000000,No,,,, --
startsiden.no,/Local/Regional Content/Western Europe /Real Estate/Rental Listings & Referrals,100,20.1,750000,750000,89000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,18.5,700000,700000,130000000,No,,,, --
yr.no,/Local/Weather,100,16.5,620000,620000,31000000,No,,,, --
nettby.no,/Online Communities/Social Networks,100,16.5,620000,620000,960000000,Yes,450x50,,,10M - 20M
sol.no,/Online Communities/Forum & Chat Providers /Internet/Web Portals,100,16.4,620000,620000,89000000,Yes,160x600 250x250 728x90,,160x600 250x250 728x90,100K - 500K
kommune.no,/Local/Regional Content/Western Europe /Society/Government & Regulatory Bodies,100,15.2,570000,570000,28000000,No,,,, --
sesam.no,/Local/Regional Content/Western Europe /News & Current Events/Newspapers /Reference/Maps & Geography,100,15.1,570000,570000,12000000,No,,,, --
nettavisen.no,/News & Current Events/Newspapers /Sports/Soccer,100,15,560000,560000,41000000,No,,,, --
start.no,/Entertainment/Clubs & Nightlife /Local /Entertainment/Humor & Bizarre/Humor /Animals/Pets,100,13.8,520000,520000,74000000,No,,,, --
e24.no,/Shopping /News & Current Events/Newspapers /News & Current Events/Local News,100,13.8,520000,520000,16000000,No,,,, --
vgtv.no,/News & Current Events/Newspapers,100,13.8,520000,520000,5600000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,13.6,510000,510000,2600000,No,,,, --
1881.no,/Reference/Business & Personal Listings,100,13.6,510000,510000,19000000,No,,,, --
kjendis.no,/News & Current Events/Newspapers /Entertainment /Local/Regional Content,100,13.6,510000,510000,8300000,No,,,, --
tv2.no,/News & Current Events/Newspapers /Sports/Soccer /Sensitive Subjects/Accidents,100,13.6,510000,510000,13000000,No,,,, --
dinside.no,/Travel/Air Travel /Automotive,100,12.5,470000,470000,16000000,No,,,, --
kvasir.no,/Local/Regional Content/Western Europe /Reference/Maps & Geography,100,11.5,430000,430000,21000000,No,,,, --
telenor.no,/Internet/Web Services/Email & Messaging /Telecommunications/Service Providers/ISPs /Telecommunications/Service Providers/Phone Service Providers,100,11.4,430000,430000,41000000,No,,,, --
thepiratebay.org,/Internet/File Sharing & Hosting,100,10.4,390000,390000,49000000,No,,,, --
nettkatalogen.no,/Local/Regional Content/Western Europe /Industries/Construction & Maintenance,100,10.3,390000,390000,8900000,Yes,,,,10K - 100K
norwegian.no,/Travel/Air Travel,100,10.3,390000,390000,23000000,No,,,, --
nav.no,/Society/Social Services /Society/Legal,100,10.2,380000,380000,26000000,No,,,, --
online.no,/Internet/Web Services/Email & Messaging /Telecommunications/Service Providers/ISPs,100,10.2,380000,380000,26000000,No,,,, --
vgd.no,/News & Current Events/Newspapers /Online Communities/Forum & Chat Providers,100,9.4,360000,360000,17000000,No,,,, --
abcnyheter.no,/Games,100,9.3,350000,350000,11000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,100,9.3,350000,350000,7400000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
123spill.no,/Games/Video Games/Online Games,100,9.2,350000,350000,19000000,Yes,,,,100K - 500K
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,100,9.2,350000,350000,5100000,No,,,, --
na24.no,/News & Current Events/Newspapers /Local/Regional Content/Western Europe,100,8.6,320000,320000,6700000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,100,8.6,320000,320000,4200000,No,,,, --
klikk.no,/Home & Garden /Real Estate /Shopping /Lifestyles/Parenting & Family /Recreation /Food & Drink /Health /Entertainment /Beauty & Personal Care /Automotive /Travel /Computers & Electronics /Telecommunications,100,8.6,320000,320000,6800000,No,,,, --
imdb.com,/Entertainment/Movies /Entertainment,100,8.5,320000,320000,25000000,No,,,, --
abcsok.no,/Reference/Business & Personal Listings /Shopping,100,8.5,320000,320000,16000000,No,,,, --
bt.no,/News & Current Events/Newspapers,100,8.5,320000,320000,19000000,No,,,, --
seher.no,/News & Current Events/Gossip & Tabloids,100,8.5,320000,320000,19000000,No,,,, --
startguiden.no,/Internet/Web Portals,100,8.5,320000,320000,8200000,Yes,160x600,,160x600,100K - 500K
kelkoo.no,/Shopping,100,8.4,310000,310000,9000000,No,,,, --
uio.no,/Photo & Video/Photo & Video Equipment/Cameras & Camcorders/Cameras /Photo & Video/Photo & Video Equipment /Entertainment,100,7.9,300000,300000,17000000,No,,,, --
side2.no,/Entertainment/Celebrities /News & Current Events/Newspapers /Entertainment/Music,100,7.8,290000,290000,6100000,No,,,,undefined
dn.no,/News & Current Events/Newspapers /Finance & Insurance/Investing,100,7.7,290000,290000,23000000,No,,,, --
diskusjon.no,/Online Communities/Forum & Chat Providers /Games/Video Games /Automotive /Local/Jobs /Computers & Electronics /Beauty & Personal Care/Fitness,100,7.7,290000,290000,8100000,Yes,,,,100K - 500K
adressa.no,/Sports/Soccer /News & Current Events/Newspapers,100,7.7,290000,290000,19000000,No,,,, --
tv2underholdning.no,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Society/Education,110,7.6,290000,260000,4500000,No,,,, --
apple.com,/Computers & Electronics/Software/Operating Systems/Mac /Computers & Electronics,100,7.1,270000,270000,5600000,No,,,, --
sas.no,/Travel/Air Travel,110,7.1,270000,240000,7500000,No,,,, --
edb.com,/Computers & Electronics/Enterprise Technology/Data Management /Local/Regional Content/Africa,100,7.1,270000,270000,38000000,No,,,, --
hotmail.com,/Internet/Web Services/Email & Messaging,100,7.1,270000,270000,4600000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,100,7.1,270000,270000,26000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
