Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,57.1%,"12,000,000","12,000,000","1,500,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,46.8%,"9,800,000","9,900,000","230,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,22.1%,"4,700,000","4,700,000","23,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,22.0%,"4,600,000","4,600,000","19,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,21.9%,"4,600,000","4,600,000","120,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,18.5%,"3,900,000","3,900,000","13,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,15.0%,"3,200,000","3,200,000","11,000,000",
,,domain: metacafe.com,[D],Online Communities > Photo & Video Sharing > Video Sharing,Yes,Yes,160x600 300x250 450x50 468x60 480x70 728x90 ,No,No,160x600 300x250 728x90 ,160x600 300x250 728x90 ,100,11.2%,"2,400,000","2,400,000","12,000,000",
,,domain: cnet.com,[D],Computers & Electronics > Consumer Electronics,Yes,Yes,160x600 300x250 475x35 728x90 ,No,No,No,No,100,10.4%,"2,200,000","2,200,000","6,800,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,8.5%,"1,800,000","1,800,000","26,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,8.5%,"1,800,000","1,800,000","6,200,000",
,,domain: camzap.com,[D],Arts & Entertainment > Online Media > Webcams & Virtual Tours,No,No,No,No,No,No,No,100,7.8%,"1,600,000","1,600,000","2,600,000",
,,domain: dailymotion.com,[D],Arts & Entertainment > Online Media,Yes,Yes,Yes,No,No,No,No,100,7.7%,"1,600,000","1,600,000","5,100,000",
,,domain: filestube.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,Yes,No,No,No,No,99,6.4%,"1,300,000","1,300,000","4,700,000",
,,domain: express.com.pk,[D],News,Yes,No,120x600 234x60 468x60 728x90 ,No,No,No,No,99,6.3%,"1,300,000","1,300,000","19,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,6.3%,"1,300,000","1,300,000","3,200,000",
,,domain: jang.com.pk,[D],News > Newspapers,Yes,Yes,120x600 160x600 300x250 468x60 728x90 ,No,No,120x600 160x600 300x250 468x60 728x90 ,120x600 160x600 300x250 468x60 728x90 ,100,6.3%,"1,300,000","1,300,000","28,000,000",
,,domain: skype.com,[D],Internet & Telecom > Email & Messaging > Voice & Video Chat,Yes,Yes,209x209 ,No,No,No,No,98,6.3%,"1,300,000","1,300,000","4,200,000",
,,domain: geo.tv,[D],News > World News,Yes,Yes,120x600 160x600 300x250 468x60 728x90 ,No,No,120x600 160x600 300x250 468x60 728x90 ,120x600 160x600 300x250 468x60 728x90 ,100,5.8%,"1,200,000","1,200,000","9,900,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,5.8%,"1,200,000","1,200,000","9,100,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,5.8%,"1,200,000","1,200,000","7,400,000",
,,domain: fastclick.net,[D],Computers & Electronics > Computer Security > Antivirus & Malware,No,No,No,No,No,No,No,99,5.8%,"1,200,000","1,200,000","1,300,000",
,,domain: olx.com.pk,[D],Shopping > Classifieds,Yes,Yes,728x90 ,No,No,728x90 ,No,100,5.3%,"1,100,000","1,100,000","6,200,000",
,,domain: brothersoft.com,[D],Computers & Electronics > Software > Freeware & Shareware,Yes,Yes,160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,No,No,160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,100,5.3%,"1,100,000","1,100,000","3,100,000",
,,domain: hamariweb.com,[D],,Yes,Yes,120x60 120x90 120x240 120x600 160x600 234x60 250x250 300x250 336x280 468x60 728x90 ,No,No,No,No,100,5.3%,"1,100,000","1,100,000","5,600,000",
,,domain: softonic.com,[D],Computers & Electronics > Software,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,No,99,5.2%,"1,100,000","1,100,000","3,900,000",
,,domain: songs.pk,[D],Arts & Entertainment > Music & Audio > World Music > South Asian Music,Yes,No,Yes,No,No,No,No,100,5.2%,"1,100,000","1,100,000","7,400,000",
,,domain: bbc.co.uk,[D],News > World News,Yes,Yes,No,No,No,No,No,100,4.8%,"1,000,000","1,000,000","8,200,000",
,,domain: imdb.com,[D],Arts & Entertainment > Movies > Movie Reference,Yes,Yes,160x600 300x40 300x250 642x40 728x90 1008x60 ,No,No,No,No,99,4.7%,"990,000","1,000,000","4,200,000",
,,domain: babylon.com,[D],Reference > Language Resources > Foreign Language Resources > Translation Tools & Resources,Yes,Yes,160x600 300x250 320x50 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,160x600 468x60 ,97,4.7%,"990,000","1,000,000","9,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,4.4%,"930,000","930,000","5,100,000",
,,domain: mywebsearch.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,4.4%,"920,000","920,000","8,200,000",
,,domain: yieldmanager.com,[D],Computers & Electronics > Computer Security,Yes,No,No,No,No,No,No,99,4.4%,"920,000","930,000","1,300,000",
,,domain: about.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,300x250 336x280 728x90 ,No,No,300x250 336x280 728x90 ,No,98,4.3%,"910,000","920,000","2,000,000",
,,domain: linkedin.com,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,4.0%,"840,000","840,000","11,000,000",
,,domain: beemp3.com,[D],Arts & Entertainment > Music & Audio > Music Streams & Downloads,Yes,No,No,No,No,No,No,100,3.9%,"830,000","830,000","2,400,000",
,,domain: mozilla.com,[D],Computers & Electronics > Software > Internet Software > Internet Clients & Browsers,No,No,No,No,No,No,No,99,3.9%,"820,000","830,000","1,600,000",
,,domain: ero-advertising.com,[D],Internet & Telecom > Web Services > Search Engine Optimization & Marketing,No,No,No,No,No,No,No,100,3.6%,"760,000","760,000","2,000,000",
,,domain: flickr.com,[D],Online Communities > Photo & Video Sharing > Photo & Image Sharing,Yes,No,No,No,No,No,No,100,3.6%,"760,000","760,000","2,000,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,3.6%,"750,000","750,000","1,100,000",
,,domain: in.com,[D],Internet & Telecom > Web Portals,Yes,Yes,300x250 728x90 ,No,No,No,No,100,3.6%,"750,000","760,000","2,600,000",
,,domain: miniclip.com,[D],Games > Online Games,Yes,Yes,300x250 324x76 728x90 ,No,No,300x250 728x90 ,300x250 728x90 ,100,3.6%,"750,000","750,000","6,800,000",
,,domain: torrentz.eu,[D],Online Communities > File Sharing & Hosting,No,No,No,No,No,No,No,100,3.3%,"690,000","690,000","5,600,000",
,,domain: amazon.com,[D],Shopping > Shopping Portals & Search Engines,Yes,Yes,125x125 ,No,No,No,No,100,3.3%,"690,000","690,000","1,800,000",
,,domain: answers.com,[D],Reference > General Reference,Yes,Yes,160x600 250x250 300x250 320x50 ,No,No,No,320x50 ,100,3.3%,"690,000","690,000","1,200,000",
,,domain: alibaba.com,[D],Business & Industrial > Transportation & Logistics > Import & Export,Yes,No,312x240 950x90 ,No,No,No,No,99,3.2%,"680,000","690,000","6,200,000",
,,domain: mp3raid.com,[D],Arts & Entertainment > Music & Audio > Music Streams & Downloads,Yes,No,No,No,No,No,No,100,3.0%,"630,000","630,000","2,000,000",
,,domain: angege.com,[D],,No,No,No,No,No,No,No,100,3.0%,"630,000","630,000","910,000",
,,domain: apple.com,[D],Computers & Electronics > Software > Operating Systems > Mac OS,Yes,Yes,53x53 135x95 187x94 240x48 305x63 305x80 320x37 320x259 385x295 480x187 ,No,No,No,No,99,3.0%,"620,000","630,000","1,500,000",
,,domain: paperpk.com,[D],Shopping > Classifieds,Yes,Yes,160x600 200x200 300x250 468x60 728x90 ,No,No,160x600 200x200 300x250 468x60 728x90 ,160x600 200x200 300x250 468x60 728x90 ,99,3.0%,"620,000","630,000","7,500,000",
,,domain: internetdownloadmanager.com,[D],Computers & Electronics > Software > Software Utilities,No,No,No,No,No,No,No,100,3.0%,"620,000","620,000","1,000,000",
,,domain: scribd.com,[D],Online Communities > Social Networks,Yes,Yes,300x250 728x90 ,No,No,No,No,99,3.0%,"620,000","630,000","1,200,000",
,,domain: nbstatic.com,[D],,No,No,No,No,No,No,No,100,2.9%,"620,000","620,000","750,000",
,,domain: tutvp.com,[D],Internet & Telecom > Web Services > Affiliate Programs,No,No,No,No,No,No,No,99,2.9%,"620,000","620,000","760,000",
,,domain: forumpakistan.com,[D],Arts & Entertainment,Yes,No,No,No,No,No,No,100,2.7%,"570,000","570,000","1,000,000",
,,domain: ilivid.com,[D],Computers & Electronics > Software > Software Utilities,Yes,No,No,No,No,No,No,100,2.7%,"570,000","570,000","570,000",
,,domain: rozee.pk,[D],,Yes,No,Yes,No,No,No,No,100,2.7%,"570,000","570,000","5,100,000",
,,domain: whatmobile.com.pk,[D],Internet & Telecom > Mobile & Wireless > Mobile Phones,Yes,Yes,120x600 160x600 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 300x250 336x280 468x60 728x90 ,120x600 160x600 300x250 336x280 468x60 ,99,2.7%,"570,000","570,000","2,900,000",
,,domain: 4shared.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,Yes,No,No,No,No,100,2.7%,"570,000","570,000","2,200,000",
,,domain: exoclick.com,[D],Internet & Telecom > Web Services > Search Engine Optimization & Marketing,No,No,No,No,No,No,No,99,2.7%,"570,000","570,000","840,000",
,,domain: imesh.com,[D],Arts & Entertainment > Music & Audio > Music Streams & Downloads,Yes,No,No,No,No,No,No,100,2.5%,"520,000","520,000","1,600,000",
,,domain: bharatstudent.com,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,2.5%,"520,000","520,000","2,600,000",
,,domain: firstload.net,[D],Sports > Team Sports > American Football,No,No,No,No,No,No,No,100,2.5%,"520,000","520,000","1,000,000",
,,domain: photobucket.com,[D],Online Communities > Photo & Video Sharing,Yes,Yes,160x600 200x200 250x250 300x250 336x280 728x90 ,No,No,160x600 300x250 728x90 ,No,100,2.5%,"520,000","520,000","1,500,000",
,,domain: zimbio.com,[D],Arts & Entertainment > Celebrities & Entertainment News,Yes,Yes,160x600 300x250 336x280 468x60 728x90 ,No,No,160x600 300x250 336x280 468x60 728x90 ,300x250 336x280 468x60 728x90 ,100,2.5%,"520,000","520,000","1,200,000",
,,domain: smashits.com,[D],Arts & Entertainment > Movies > Bollywood & South Asian Film,Yes,Yes,120x600 160x600 200x200 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 300x250 336x280 468x60 728x90 ,160x600 200x200 300x250 336x280 468x60 728x90 ,99,2.5%,"510,000","520,000","1,300,000",
,,domain: dawn.com,[D],News > World News,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,No,100,2.3%,"470,000","470,000","2,000,000",
,,domain: fbr.gov.pk,[D],Law & Government > Government > Public Finance,No,No,No,No,No,No,No,100,2.2%,"470,000","470,000","17,000,000",
,,domain: ilmkidunya.com,[D],Jobs & Education > Education > Colleges & Universities,Yes,Yes,728x90 ,No,No,728x90 ,728x90 ,100,2.2%,"470,000","470,000","2,100,000",
,,domain: espncricinfo.com,[D],Sports > Team Sports > Cricket,Yes,Yes,125x125 150x60 150x600 160x600 300x250 300x1000 468x60 650x40 728x90 ,No,No,160x600 300x250 728x90 ,No,100,2.2%,"470,000","470,000","4,600,000",
,,domain: myspace.com,[D],,Yes,No,No,No,No,No,No,100,2.2%,"470,000","470,000","1,000,000",
,,domain: filehippo.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,160x600 336x280 468x60 728x90 ,No,No,160x600 336x280 468x60 728x90 ,160x600 336x280 468x60 728x90 ,100,2.2%,"470,000","470,000","2,400,000",
,,domain: videosurf.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,Yes,300x250 320x50 ,No,No,300x250 ,300x250 ,100,2.2%,"470,000","470,000","1,600,000",
,,domain: wn.com,[D],News > World News,Yes,Yes,100x15 120x600 145x70 468x60 ,No,No,No,No,100,2.2%,"460,000","460,000","520,000",
,,domain: zedge.net,[D],Arts & Entertainment > Music & Audio,Yes,Yes,300x250 468x60 728x90 ,No,No,No,No,100,2.1%,"430,000","430,000","6,200,000",
,,domain: pakwheels.com,[D],Autos & Vehicles > Vehicle Shopping,Yes,Yes,160x600 250x250 300x250 468x60 728x90 ,No,No,160x600 250x250 300x250 468x60 728x90 ,No,100,2.0%,"430,000","430,000","7,500,000",
,,domain: desihits.com,[D],Arts & Entertainment > Music & Audio > World Music > South Asian Music,Yes,Yes,300x250 ,No,No,300x250 ,300x250 ,100,2.0%,"430,000","430,000","1,200,000",
,,domain: ehow.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,160x600 249x77 300x250 320x50 336x280 728x90 ,No,No,160x600 300x250 728x90 ,No,99,2.0%,"430,000","430,000","690,000",
,,domain: thefreedictionary.com,[D],Reference > General Reference > Dictionaries & Encyclopedias,Yes,Yes,168x28 216x36 300x50 300x75 300x250 320x50 ,No,No,300x250 ,300x250 ,99,2.0%,"430,000","430,000","760,000",
,,domain: hindilinks4u.net,[D],Arts & Entertainment > Movies > Bollywood & South Asian Film,Yes,No,No,No,No,No,No,100,2.0%,"420,000","420,000","3,500,000",
,,domain: softpedia.com,[D],Computers & Electronics > Software,Yes,Yes,120x600 300x250 728x90 ,No,No,No,No,98,2.0%,"420,000","430,000","1,500,000",
