Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,99,75.5,5600000,5600000,860000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,99,67.3,5000000,5000000,120000000,No,,,, --
hi5.com,/Online Communities/Social Networks,99,50.6,3800000,3800000,1200000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,100M+
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,42.7,3200000,3200000,160000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,32,2400000,2400000,26000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,31.9,2400000,2400000,28000000,No,,,, --
hotmail.com,/Internet/Web Services/Email & Messaging,99,28.9,2200000,2200000,13000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,99,21.8,1600000,1600000,280000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
sonico.com,/Online Communities/Social Networks /Photo & Video/Photo & Video Sharing,99,19.8,1500000,1500000,34000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,10M - 20M
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,99,19.5,1500000,1500000,6700000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,110,19.4,1500000,1300000,9100000,No,,,,undefined
claro.com.pe,/Telecommunications/Mobile & Wireless/Ringtones & Mobile Goodies /Telecommunications/Mobile & Wireless /Local/Regional Content/South America/Peru,99,18.1,1400000,1400000,29000000,No,,,, --
elcomercio.com.pe,/News & Current Events /Local/Regional Content/South America/Peru,99,18,1300000,1300000,25000000,Yes,160x600 200x200 300x250 336x280 728x90,,160x600 200x200 300x250 336x280 728x90,1M - 2M
softonic.com,/Computers & Electronics /Internet,99,17.9,1300000,1300000,13000000,Yes,300x250,,,2M - 5M
