Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,52,3900000,3900000,440000000,No,,,,undefined
sapo.pt,/Local/Regional Content/Western Europe/Portugal /Games/Video Games/Online Games,100,50.9,3800000,3800000,340000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,100,42.1,3100000,3100000,98000000,No,,,, --
hi5.com,/Online Communities/Social Networks,100,38.4,2800000,2800000,1300000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,100M+
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,32.1,2400000,2400000,46000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,29.4,2200000,2200000,42000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,24.3,1800000,1800000,67000000,No,,,, --
uol.com.br,/Internet/Web Portals /News & Current Events /Telecommunications/Service Providers/ISPs /Internet/Web Services/Email & Messaging,100,19.9,1500000,1500000,23000000,No,,,, --
iol.pt,/News & Current Events /Internet/Web Portals /Internet/Web Services/Email & Messaging,100,19.8,1500000,1500000,80000000,Yes,,,,500K - 1M
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,100,19.7,1500000,1500000,13000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
clix.pt,/Internet/Web Portals /Entertainment /Internet /News & Current Events,100,19.6,1500000,1500000,61000000,Yes,468x60 728x90,,468x60 728x90,100K - 500K
aeiou.pt,/Reference/Online Directories,100,17.7,1300000,1300000,41000000,Yes,300x250,,300x250,100K - 500K
ig.com.br,/News & Current Events/Local News /Online Communities/Blogging Resources & Services /Entertainment/Music,100,13.6,1000000,1000000,13000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,1K - 10K
pai.pt,/Local/Regional Content/Western Europe/Portugal /Reference/Business & Personal Listings,100,12.5,930000,930000,14000000,No,,,, --
hotmail.com,/Internet/Web Services/Email & Messaging,100,11.2,830000,830000,6100000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,100,10.2,760000,760000,5000000,No,,,, --
terra.com.br,/Entertainment/Music/Lyrics & Tabs /Internet /Online Communities/Social Networks,100,10.2,760000,760000,9900000,No,,,, --
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,100,10,740000,740000,5100000,No,,,, --
tmn.pt,/Local /Telecommunications/Mobile & Wireless,100,9.4,690000,690000,28000000,No,,,, --
abola.pt,/Sports/Soccer,100,9.3,690000,690000,31000000,No,,,, --
rtp.pt,/Entertainment/TV /News & Current Events,91,9.3,690000,760000,12000000,No,,,, --
record.pt,/Sports,100,9.3,690000,690000,31000000,Yes,,,,10K - 100K
hotfrog.pt,/Society/Legal /Business/Advertising & Marketing /Sports/Sporting Goods,100,9.3,690000,690000,3800000,No,,,, --
wixawin.com,/Telecommunications/Mobile & Wireless/Mobile Phones /Games,100,9.3,690000,690000,3200000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,9.2,680000,680000,2000000,No,,,, --
celldorado.com,/Telecommunications/Mobile & Wireless/Ringtones & Mobile Goodies /Telecommunications/Mobile & Wireless/Mobile Phones,100,9.2,680000,680000,2600000,No,,,, --
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,100,9.2,680000,680000,6800000,No,,,,undefined
rapidshare.com,/Internet/File Sharing & Hosting,100,8.6,630000,630000,16000000,No,,,, --
baixaki.com.br,/Internet/File Sharing & Hosting,100,8.6,630000,630000,11000000,No,,,, --
imageshack.us,/Internet/File Sharing & Hosting,100,8.4,630000,630000,4700000,Yes,728x90,,728x90,1M - 2M
flickr.com,/Photo & Video/Photo & Video Sharing,100,8.4,630000,630000,21000000,No,,,, --
cgd.pt,/Finance & Insurance/Banking & Personal Finance,91,8.4,620000,690000,41000000,No,,,, --
millenniumbcp.pt,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance /Local/Regional Content/Western Europe/Portugal,100,8.4,620000,620000,50000000,No,,,, --
livefilestore.com,/Shopping/Apparel /Shopping,100,8.4,620000,620000,3900000,No,,,, --
globo.com,/News & Current Events,100,7.7,570000,570000,16000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,20M - 50M
geocities.com,/Online Communities/Online Journals & Personal Sites,100,7.7,570000,570000,2600000,No,,,, --
vodafone.pt,/Entertainment/Music /Animals/Pets,100,7.7,570000,570000,16000000,No,,,, --
meteo.pt,/Science/Geology /Local/Weather,91,7.7,570000,630000,14000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,100,7.7,570000,570000,34000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,100,7.6,560000,560000,10000000,No,,,,undefined
trovit.pt,/Automotive/Vehicle Shopping /Home & Garden/Home Furnishings,100,7.1,520000,520000,3800000,No,,,, --
ojogo.pt,/Sports/Soccer /News & Current Events/Newspapers,100,7.1,520000,520000,11000000,No,,,, --
megaupload.com,/Internet/File Sharing & Hosting,100,7.1,520000,520000,14000000,No,,,, --
