Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,82.8,6800000,6800000,1300000000,No,,,, --
hi5.com,/Online Communities/Social Networks,99,41.6,3400000,3400000,2300000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,100M+
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,35,2900000,2900000,51000000,No,,,, --
softpedia.com,/Computers & Electronics/Software /Shopping/Consumer Affairs & Product Reviews,99,31.2,2600000,2600000,34000000,Yes,300x250 728x90,,300x250 728x90,2M - 5M
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,28.8,2400000,2400000,42000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,99,25.9,2100000,2100000,23000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
trilulilu.ro,/Internet/Web Design & Development /Games,99,19.7,1600000,1600000,61000000,Yes,300x250,,300x250,100K - 500K
acasa.ro,/Internet/Web Portals /Entertainment/TV /Telecommunications/Mobile & Wireless/Mobile Phones,99,16.3,1300000,1300000,16000000,Yes,160x600 200x200 300x250 336x280 468x60 728x90,,160x600 200x200 300x250 336x280 468x60 728x90,100K - 500K
rol.ro,/Entertainment/Music /Entertainment/Multimedia Content/Video Clips & Movie Downloads /Local/Regional Content/Central & Eastern Europe,99,16.1,1300000,1300000,12000000,Yes,160x600 300x250 468x60 728x90,,160x600 300x250 468x60 728x90,100K - 500K
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,99,16.1,1300000,1300000,4200000,No,,,, --
ad20.net,/Local/Regional Content/Central & Eastern Europe /Lifestyles/Religion & Spirituality/Astrology & Divination,99,16.1,1300000,1300000,4200000,No,,,, --
ejobs.ro,/Local/Jobs /Local/Regional Content,99,15.9,1300000,1300000,55000000,No,,,, --
bizoo.ro,/Local/Regional Content/Central & Eastern Europe /Local/Regional Content,99,14.9,1200000,1200000,19000000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,99,14.8,1200000,1200000,5000000,No,,,, --
imdb.com,/Entertainment/Movies /Entertainment,99,14.8,1200000,1200000,49000000,No,,,, --
clopotel.ro,/Local/Regional Content/Central & Eastern Europe /Arts & Humanities/Books & Literature,99,13.4,1100000,1100000,28000000,No,,,, --
kappa.ro,/Internet /Local/Regional Content/Central & Eastern Europe,99,13.4,1100000,1100000,9900000,No,,,, --
regielive.ro,/Entertainment/Movies /Local/Regional Content/Central & Eastern Europe,99,13.3,1100000,1100000,18000000,No,,,, --
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,99,13.2,1100000,1100000,6800000,Yes,300x250 728x90,,300x250 728x90,10K - 100K
scribd.com,/Reference/Dictionaries & Encyclopedias /Computers & Electronics/Software/Graphics & Publishing /Internet/File Sharing & Hosting,99,13.2,1100000,1100000,6700000,Yes,300x250 336x280 468x60 728x90,,300x250 336x280 468x60 728x90,2M - 5M
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,99,13.1,1100000,1100000,6800000,No,,,, --
travian.ro,/Local/Regional Content/Central & Eastern Europe /Games/Video Games/Online Games,99,12.2,1000000,1000000,210000000,No,,,, --
9am.ro,/News & Current Events /Local/Regional Content/Central & Eastern Europe /Finance & Insurance,99,12.1,1000000,1000000,7400000,No,,,, --
okazii.ro,/Local/Regional Content/Central & Eastern Europe,99,12.1,1000000,1000000,37000000,No,,,, --
cancan.ro,/Local/Regional Content/Central & Eastern Europe,99,12.1,1000000,1000000,42000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,99,12,1000000,1000000,23000000,No,,,, --
realitatea.net,/News & Current Events/News Networks /News & Current Events/Local News,99,12,990000,990000,17000000,No,,,,undefined
roportal.ro,/Lifestyles/Holidays & Seasonal Events /Lifestyles/Religion & Spirituality/Astrology & Divination /Local/Regional Content/East Asia/China,99,11.9,990000,990000,14000000,No,,,,undefined
sweetim.com,/Internet/Online Goodies /Internet/Web Services/Email & Messaging,99,11.2,930000,930000,41000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,99,11.2,920000,920000,34000000,No,,,,undefined
bestjobs.ro,/Local/Jobs /Local/Regional Content,99,11.2,920000,920000,46000000,No,,,, --
flickr.com,/Photo & Video/Photo & Video Sharing,99,11.1,920000,920000,21000000,No,,,, --
neogen.ro,/Local/Regional Content/Central & Eastern Europe /Internet/Web Portals,99,11,910000,910000,80000000,No,,,, --
shopmania.ro,/Shopping /Computers & Electronics/Consumer Electronics /Computers & Electronics/Electronics & Electrical /Telecommunications/Mobile & Wireless/Mobile Phones /Home & Garden/Homemaking & Interior Decor,99,11,910000,910000,8100000,Yes,120x600 160x600 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 250x250 300x250 336x280 468x60 728x90,100K - 500K
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,99,11,910000,910000,12000000,No,,,,undefined
netlog.com,/Online Communities/Social Networks /Lifestyles/Kids & Teens /Online Communities/Blogging Resources & Services /Photo & Video/Photo & Video Sharing /Online Communities/Dating & Relationships,99,10.2,840000,840000,98000000,Yes,160x600 300x250 728x90,,160x600 300x250 728x90,100M+
yieldmanager.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,90,10.2,840000,930000,8200000,No,,,, --
filebox.ro,/Lifestyles/Parenting & Family/Pregnancy & Maternity /Entertainment/Multimedia Content/Video Clips & Movie Downloads /Games,99,10.1,830000,830000,19000000,No,,,, --
referat.ro,/Local/Regional Content/Central & Eastern Europe,99,10,830000,830000,8300000,No,,,, --
libertatea.ro,/Local/Regional Content/Western Europe /Entertainment/TV/TV Programs,99,10,830000,830000,23000000,No,,,, --
hotnews.ro,/News & Current Events /Internet/Web Portals,99,10,830000,830000,18000000,Yes,,,,100K - 500K
apropo.ro,/Lifestyles /Internet /Games,99,9.2,760000,760000,7400000,No,,,, --
computergames.ro,/Games/Video Games/Online Games /Arts & Humanities/Books & Literature,99,9.2,760000,760000,12000000,No,,,, --
