Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,75.4%,"6,100,000","6,100,000","730,000,000",
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,62.8%,"5,100,000","5,100,000","4,000,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,42.8%,"3,500,000","3,500,000","41,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,29.7%,"2,400,000","2,400,000","26,000,000",
,,domain: hi5.com,[D],Online Communities > Social Networks,Yes,Yes,160x600 300x250 728x90 ,No,No,No,No,100,26.6%,"2,200,000","2,200,000","410,000,000",
,,domain: trilulilu.ro,[D],Arts & Entertainment > Music & Audio,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,No,100,24.2%,"2,000,000","2,000,000","35,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,23.9%,"1,900,000","2,000,000","15,000,000",
,,domain: softpedia.com,[D],Computers & Electronics > Software,Yes,Yes,120x600 300x250 728x90 ,No,No,No,No,98,23.8%,"1,900,000","2,000,000","15,000,000",
,,domain: realitatea.net,[D],News > Broadcast & Network News,Yes,Yes,160x600 180x150 200x200 234x60 240x400 250x250 300x100 300x250 336x280 468x60 728x90 ,No,No,No,No,100,20.3%,"1,600,000","1,600,000","20,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,18.2%,"1,500,000","1,500,000","13,000,000",
,,domain: tpu.ro,[D],Games,Yes,Yes,300x250 468x60 728x90 ,No,No,300x250 468x60 728x90 ,No,100,18.0%,"1,500,000","1,500,000","9,000,000",
,,domain: adevarul.ro,[D],News > Newspapers,Yes,No,No,No,No,No,No,98,18.0%,"1,500,000","1,500,000","18,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,16.5%,"1,300,000","1,300,000","26,000,000",
,,domain: bizoo.ro,[D],Business & Industrial,Yes,No,160x600 728x90 ,No,No,No,No,98,16.5%,"1,300,000","1,400,000","16,000,000",
,,domain: ziare.com,[D],News,Yes,No,Yes,No,No,No,No,98,16.2%,"1,300,000","1,300,000","16,000,000",
,,domain: cancan.ro,[D],News > Gossip & Tabloid News,Yes,Yes,300x250 336x280 468x60 728x90 ,No,No,300x250 336x280 468x60 728x90 ,No,100,15.2%,"1,200,000","1,200,000","28,000,000",
,,domain: scribd.com,[D],Online Communities > Social Networks,Yes,Yes,300x250 728x90 ,No,No,No,No,99,15.0%,"1,200,000","1,200,000","6,200,000",
,,domain: okazii.ro,[D],Shopping > Auctions,Yes,Yes,No,No,No,No,No,99,14.9%,"1,200,000","1,200,000","67,000,000",
,,domain: ejocurigratis.ro,[D],Games > Online Games,Yes,Yes,160x600 250x250 300x250 728x90 930x120 ,No,No,160x600 250x250 300x250 728x90 ,No,100,13.9%,"1,100,000","1,100,000","24,000,000",
,,domain: 220.ro,[D],Arts & Entertainment,Yes,Yes,300x250 ,No,No,No,No,100,13.9%,"1,100,000","1,100,000","11,000,000",
,,domain: ejobs.ro,[D],Jobs & Education > Jobs,Yes,No,No,No,No,No,No,100,13.8%,"1,100,000","1,100,000","24,000,000",
,,domain: rol.ro,[D],Games > Online Games,Yes,Yes,160x600 250x250 300x250 336x280 728x90 ,No,No,160x600 250x250 300x250 336x280 728x90 ,160x600 250x250 300x250 336x280 728x90 ,100,13.8%,"1,100,000","1,100,000","9,100,000",
,,domain: clopotel.ro,[D],Jobs & Education > Education,Yes,No,Yes,No,No,No,No,100,13.7%,"1,100,000","1,100,000","26,000,000",
,,domain: jocuri12.com,[D],Games > Online Games,Yes,Yes,300x250 336x280 728x90 ,No,No,300x250 336x280 728x90 ,300x250 336x280 728x90 ,100,13.7%,"1,100,000","1,100,000","23,000,000",
,,domain: yieldmanager.com,[D],Computers & Electronics > Computer Security,Yes,No,No,No,No,No,No,99,13.7%,"1,100,000","1,100,000","2,900,000",
,,domain: gandul.info,[D],Pets & Animals > Pets > Birds,Yes,No,160x600 468x60 ,No,No,No,No,100,13.6%,"1,100,000","1,100,000","11,000,000",
,,domain: bigpoint.com,[D],Games > Online Games,Yes,Yes,Yes,No,No,No,No,98,13.6%,"1,100,000","1,100,000","31,000,000",
,,domain: libertatea.ro,[D],News > Gossip & Tabloid News,Yes,Yes,No,No,No,No,No,100,13.6%,"1,100,000","1,100,000","35,000,000",
,,domain: ad20.net,[D],,No,No,No,No,No,No,No,100,13.5%,"1,100,000","1,100,000","6,200,000",
