Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: yandex.ru,[D],Internet & Telecom > Search Engines,Yes,Yes,88x31 120x100 ,No,No,No,No,100,74.6%,"31,000,000","31,000,000","11,000,000,000",
,,domain: mail.ru,[D],Internet & Telecom > Email & Messaging,Yes,Yes,Yes,No,No,No,No,99,74.1%,"31,000,000","32,000,000","11,000,000,000",
,,domain: vkontakte.ru,[D],Online Communities > Social Networks,Yes,No,No,No,No,No,No,100,61.6%,"26,000,000","26,000,000","39,000,000,000",
,,domain: odnoklassniki.ru,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,51.3%,"22,000,000","22,000,000","8,700,000,000",
,,domain: narod.ru,[D],Internet & Telecom > Web Services > Web Hosting & Domain Registration,Yes,Yes,100x100 120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,100,38.3%,"16,000,000","16,000,000","170,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,37.9%,"16,000,000","16,000,000","790,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,31.9%,"13,000,000","13,000,000","210,000,000",
,,domain: rambler.ru,[D],Internet & Telecom > Web Portals,Yes,No,Yes,No,No,No,No,100,31.5%,"13,000,000","13,000,000","1,600,000,000",
,,domain: vk.com,[D],Online Communities > Social Networks,No,No,No,No,No,No,No,100,26.3%,"11,000,000","11,000,000","1,100,000,000",
,,domain: ucoz.ru,[D],Internet & Telecom > Web Services > Web Design & Development,Yes,Yes,83x31 88x31 88x88 98x24 100x100 120x60 120x240 120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,100,26.1%,"11,000,000","11,000,000","170,000,000",
