Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,62.8,3900000,3900000,860000000,Yes,450x50 468x60,,,100K - 500K
msn.com,/Internet/Web Portals /News & Current Events,100,55.9,3400000,3400000,140000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,39.1,2400000,2400000,340000000,No,,,, --
maktoob.com,/Internet/Web Portals /Business /Entertainment,100,38.5,2400000,2400000,140000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,35.3,2200000,2200000,55000000,No,,,, --
bdr130.net,/Lifestyles/Religion & Spirituality /Online Communities/Forum & Chat Providers /Arts & Humanities/Books & Literature/Poetry,100,17.7,1100000,1100000,18000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,110,16.5,1000000,920000,15000000,No,,,, --
travian.ae,/Computers & Electronics/Software /Online Communities/Forum & Chat Providers /Arts & Humanities/Humanities/History,100,16.4,1000000,1000000,1500000000,No,,,, --
z5x.net,/Internet/Web Design & Development /Computers & Electronics/Programming /Computers & Electronics/Programming/Scripting Languages,92,16.4,1000000,1100000,7300000,No,,,, --
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,100,16.2,990000,990000,6800000,No,,,,undefined
rapidshare.com,/Internet/File Sharing & Hosting,100,15.1,930000,930000,23000000,No,,,, --
4shared.com,/Internet/File Sharing & Hosting,100,15,920000,920000,16000000,No,,,,undefined
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,15,920000,920000,310000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
te3p.com,/Reference/Online Directories /Games/Video Games/Online Games /Lifestyles/Women's Interests /Lifestyles/Religion & Spirituality/Religion/Islam,92,14.9,920000,1000000,16000000,Yes,200x200 300x250 336x280 728x90,,200x200 300x250 336x280 728x90,500K - 1M
hotmail.com,/Internet/Web Services/Email & Messaging,100,14.9,920000,920000,8200000,No,,,, --
graaam.com,/Internet/Web Portals /Lifestyles/Ethnic & Identity Groups/Arab & Middle Eastern,100,14.8,910000,910000,21000000,Yes,300x250 336x280 728x90,,300x250 336x280 728x90,500K - 1M
brg8.com,/Online Communities/Forum & Chat Providers /Online Communities/Online Journals & Personal Sites /Entertainment /Lifestyles/Ethnic & Identity Groups/Arab & Middle Eastern,100,13.6,840000,840000,13000000,Yes,250x250 336x280 468x60 728x90,,250x250 336x280 468x60 728x90,500K - 1M
arabseyes.com,/Internet/Web Portals,100,13.5,830000,830000,9000000,Yes,160x600 336x280 468x60 728x90,,160x600 336x280 468x60 728x90,500K - 1M
jeeran.com,/Online Communities/Blogging Resources & Services /Internet/Web Services /Internet/Web Services/Email & Messaging /Internet/Web Hosting & Domain Registration,100,13.3,820000,820000,6100000,Yes,120x600 160x600 200x200 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 300x250 336x280 468x60 728x90,10K - 100K
zshare.net,/Internet/File Sharing & Hosting,100,13.3,820000,820000,12000000,No,,,,undefined
6rb.com,/Entertainment/Music /Entertainment/Music/Music Streams & Downloads,100,12.5,770000,770000,14000000,No,,,, --
alriyadh.com,/News & Current Events/Newspapers,100,12.4,760000,760000,23000000,Yes,,,,100K - 500K
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,100,12.4,760000,760000,5000000,No,,,, --
hawaaworld.com,/Online Communities/Forum & Chat Providers /Lifestyles/Women's Interests,100,12.3,760000,760000,55000000,No,,,, --
