Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,67.7%,"6,800,000","6,800,000","4,400,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,61.3%,"6,100,000","6,100,000","660,000,000",
,,domain: maktoob.com,[D],Internet & Telecom > Web Portals,Yes,Yes,No,No,No,No,No,100,46.5%,"4,700,000","4,700,000","140,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,31.8%,"3,200,000","3,200,000","41,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,31.3%,"3,100,000","3,100,000","230,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,28.7%,"2,900,000","2,900,000","37,000,000",
,,domain: travian.com.sa,[D],Business & Industrial > Small Business > MLM & Business Opportunities,No,No,No,No,No,No,No,100,21.6%,"2,200,000","2,200,000","160,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,21.5%,"2,200,000","2,200,000","20,000,000",
,,domain: hawaaworld.com,[D],Online Communities > Forum & Chat Providers,Yes,Yes,120x600 728x90 ,No,No,No,No,100,19.6%,"2,000,000","2,000,000","110,000,000",
,,domain: gamezer.com,[D],Games > Online Games > Massive Multiplayer,Yes,No,No,No,No,No,No,99,19.5%,"1,900,000","2,000,000","50,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,18.1%,"1,800,000","1,800,000","16,000,000",
,,domain: sabq.org,[D],News,Yes,No,No,No,No,No,No,100,17.8%,"1,800,000","1,800,000","80,000,000",
