Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,99,52,1200000,1200000,790000000,No,,,,undefined
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,39.4,930000,930000,98000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,32.5,760000,760000,19000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,99,32.5,760000,760000,120000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,99,28.9,680000,680000,28000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,26.7,630000,630000,16000000,No,,,, --
krstarica.com,/News & Current Events /Local/Regional Content/Central & Eastern Europe /Reference/Online Directories /Internet/Web Services/Search Engines /News & Current Events/Business News /News & Current Events/Gossip & Tabloids /News & Current Events/Local News /Local/Weather /News & Current Events/Politics /Sports /Sports/Soccer /Sports/Basketball,110,26.3,620000,560000,25000000,No,,,,undefined
b92.net,/Internet/Web Portals /News & Current Events /Sports /Sports/Basketball /Sports/Soccer /Sports/Water Sports /Sports/Winter Sports /News & Current Events/Business News /News & Current Events/Local News /News & Current Events/Politics /News & Current Events/Politics/Elections & Campaigns /Lifestyles/Women's Interests /Lifestyles/Men's Interests /Entertainment /Society/Social Science/Economics /Society/Social Science/International Relations,99,24.5,580000,580000,34000000,No,,,,undefined
blic.rs,/Local/Regional Content/Central & Eastern Europe /News & Current Events/Gossip & Tabloids /News & Current Events/Newspapers,99,16.4,390000,390000,24000000,No,,,, --
rapidshare.com,/Internet/File Sharing & Hosting,99,15.2,360000,360000,16000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,99,15,350000,350000,73000000,No,,,,undefined
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,99,13.5,320000,320000,1300000,No,,,, --
vesti.rs,/Local/Regional Content/Central & Eastern Europe /Society /News & Current Events/Newspapers,99,12.5,290000,290000,2300000,No,,,,undefined
elitesecurity.org,/Online Communities/Forum & Chat Providers,99,12.5,290000,290000,3800000,No,,,,undefined
imdb.com,/Entertainment/Movies /Entertainment,99,12.4,290000,290000,14000000,No,,,, --
sr.gov.yu,/Local/Regional Content/Central & Eastern Europe /Travel/Attractions & Activities,99,11.4,270000,270000,6700000,No,,,, --
imageshack.us,/Internet/File Sharing & Hosting,99,11.3,270000,270000,2600000,No,,,,undefined
naslovi.net,/Reference/Online Directories /News & Current Events /Local/Regional Content/Central & Eastern Europe,99,11.3,270000,270000,5100000,No,,,,undefined
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,99,11.2,260000,260000,3800000,No,,,,undefined
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,99,11.1,260000,260000,2400000,No,,,, --
bg.ac.yu,/Society/Education,99,10.3,240000,240000,12000000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,110,10.3,240000,220000,910000,No,,,, --
nadlanu.com,/Entertainment /Local/Regional Content/Central & Eastern Europe /Entertainment/Clubs & Nightlife,99,10.2,240000,240000,7400000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,99,10.2,240000,240000,1600000,No,,,,undefined
infostud.com,/Local/Jobs /Local/Regional Content/Central & Eastern Europe,99,10.1,240000,240000,11000000,No,,,, --
download.com,/Computers & Electronics/Computer Security/Antivirus & Malware /Computers & Electronics/Software,99,9.3,220000,220000,2400000,No,,,,undefined
mycity.co.yu,/Computers & Electronics /Games/Video Games/Online Games,110,9.3,220000,200000,1500000,No,,,,undefined
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,90,9.2,220000,240000,1800000,No,,,,undefined
aladin.info,/Travel/Vacation Destinations /Local/Jobs /Local/Weather /News & Current Events,99,8.4,200000,200000,2200000,No,,,,undefined
yieldmanager.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,110,7.8,180000,170000,1200000,No,,,, --
flickr.com,/Photo & Video/Photo & Video Sharing,99,7.7,180000,180000,5000000,No,,,, --
mobilnisvet.com,/Telecommunications/Mobile & Wireless /Local/Regional Content/Central & Eastern Europe,110,7.6,180000,160000,7400000,No,,,, --
brothersoft.com,/Computers & Electronics/Software /Internet/File Sharing & Hosting,99,7.1,170000,170000,1400000,No,,,,undefined
thepiratebay.org,/Internet/File Sharing & Hosting,99,7,170000,170000,6100000,No,,,, --
amazon.com,/Shopping,99,7,170000,170000,1800000,No,,,, --
wikimedia.org,/Reference/Dictionaries & Encyclopedias /Finance & Insurance/Banking & Personal Finance,110,7,160000,150000,760000,No,,,, --
mininova.org,/Internet/File Sharing & Hosting,99,7,160000,160000,5500000,No,,,, --
aol.com,/Internet/Web Portals /Internet/Web Services/Email & Messaging,99,7,160000,160000,1800000,No,,,, --
kurir-info.rs,/Local/Regional Content/Central & Eastern Europe /News & Current Events/Gossip & Tabloids /News & Current Events/Newspapers,99,6.9,160000,160000,6700000,No,,,,undefined
scribd.com,/Reference/Dictionaries & Encyclopedias /Computers & Electronics/Software/Graphics & Publishing /Internet/File Sharing & Hosting,90,6.9,160000,180000,1100000,No,,,,undefined
4dh.com,/Photo & Video/Photo & Video Sharing,99,6.9,160000,160000,1400000,No,,,,undefined
burek.co.yu,/Online Communities/Forum & Chat Providers /Local/Regional Content/Central & Eastern Europe,110,6.4,150000,140000,6200000,No,,,, --
divx-titlovi.com,/Computers & Electronics/Software/Audio & Multimedia /Entertainment/Multimedia Content/Video Clips & Movie Downloads,110,6.4,150000,140000,7400000,No,,,, --
hotmail.com,/Internet/Web Services/Email & Messaging,99,6.4,150000,150000,1300000,No,,,, --
rts.rs,/Local/Regional Content/Central & Eastern Europe /Entertainment/Music/Music Streams & Downloads /Entertainment/TV/TV Networks,99,6.3,150000,150000,3400000,No,,,, --
livescore.com,/Sports/Soccer /News & Current Events,99,6.3,150000,150000,19000000,No,,,, --
hi5.com,/Online Communities/Social Networks,99,6.3,150000,150000,45000000,No,,,,undefined
ask.com,/Entertainment/Comics & Animation/Cartoons /Internet /Internet/Web Services/Search Engines,99,6.3,150000,150000,2900000,No,,,,undefined
mtsmondo.com,/Telecommunications/Mobile & Wireless/Mobile Phones,99,6.3,150000,150000,6800000,No,,,, --
telekom.yu,/Local/Regional Content/Central & Eastern Europe,99,6.3,150000,150000,2800000,No,,,, --
geocities.com,/Online Communities/Online Journals & Personal Sites,110,5.8,140000,120000,750000,No,,,, --
pressonline.rs,/Local/Regional Content/Central & Eastern Europe /News & Current Events/Newspapers /News & Current Events,99,5.8,140000,140000,7400000,No,,,,undefined
politika.rs,/Local/Regional Content/Central & Eastern Europe,99,5.8,140000,140000,3200000,No,,,, --
about.com,/Reference/How-To & Expert Content /Internet/Web Portals,99,5.8,140000,140000,1000000,No,,,,undefined
domaci.de,/Entertainment/Music /Business,110,5.8,140000,120000,6800000,No,,,, --
clicksor.com,/Internet/Web Services/Affiliate Programs,99,5.8,140000,140000,840000,No,,,,undefined
