Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,57.5,2200000,2200000,490000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,99,39.2,1500000,1500000,210000000,No,,,,undefined
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,99,35.4,1300000,1300000,650000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
msn.com,/Internet/Web Portals /News & Current Events,99,31.7,1200000,1200000,55000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,29.4,1100000,1100000,56000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,20,760000,760000,23000000,No,,,, --
friendster.com,/Online Communities/Social Networks,99,19.7,750000,750000,300000000,Yes,160x600 300x250 336x280 450x50 468x60 728x90,,160x600 300x250 336x280 468x60 728x90,100M+
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,99,14.8,560000,560000,17000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,99,13.5,510000,510000,3200000,No,,,, --
streetdirectory.com,/Local/Regional Content/Southeast Asia/Singapore /Travel/Attractions & Activities /Reference/Maps & Geography,99,12.5,470000,470000,12000000,Yes,336x280,,336x280,100K - 500K
dbs.com,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance,99,12.3,470000,470000,13000000,No,,,, --
apple.com,/Computers & Electronics/Software/Operating Systems/Mac /Computers & Electronics,99,10.4,390000,390000,6800000,No,,,, --
dbs.com.sg,/Finance & Insurance/Banking & Personal Finance /Local/Regional Content/Southeast Asia/Singapore,99,10.3,390000,390000,11000000,No,,,, --
flickr.com,/Photo & Video/Photo & Video Sharing,99,10.2,390000,390000,23000000,No,,,, --
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,99,10.1,380000,380000,15000000,Yes,728x90,,728x90,100K - 500K
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,99,10.1,380000,380000,4700000,No,,,,undefined
baidu.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,9.4,360000,360000,45000000,No,,,,undefined
livejournal.com,/Online Communities/Blogging Resources & Services,99,9.4,360000,360000,60000000,Yes,160x600 300x250 450x50 728x90,,160x600 300x250 728x90,1M - 2M
singaporepools.com.sg,/Games/Lotto & Sweepstakes /Local/Regional Content/Southeast Asia,99,8.5,320000,320000,11000000,No,,,, --
about.com,/Reference/How-To & Expert Content /Internet/Web Portals,99,8.4,320000,320000,4600000,Yes,300x250 728x90,,300x250 728x90,20M - 50M
funbox.com,/Entertainment/Fun & Trivia /Society/Education,99,8.3,310000,310000,1500000,No,,,,undefined
go.com,/Internet/Web Portals /Sports,99,7.8,290000,290000,31000000,No,,,,undefined
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,99,7.5,290000,290000,3500000,No,,,, --
asiaone.com,/Local/Regional Content/East Asia /News & Current Events/Newspapers,99,7,270000,270000,16000000,No,,,, --
amazon.com,/Shopping,99,7,270000,270000,8900000,No,,,, --
hotmail.com,/Internet/Web Services/Email & Messaging,110,7,270000,240000,2900000,No,,,, --
channelnewsasia.com,/Entertainment/TV/TV Networks /Local/Regional Content/Southeast Asia/Singapore,99,7,270000,270000,15000000,No,,,, --
bbc.co.uk,/News & Current Events /Local/Regional Content/Western Europe/United Kingdom /Entertainment/Radio /Science,99,7,260000,260000,15000000,No,,,, --
ebay.com.sg,/Shopping/Auctions /Shopping/Shopping Portals & Search Engines /Local/Classifieds,99,6.8,260000,260000,28000000,No,,,, --
