Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,47.5,3500000,3500000,720000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,35.9,2600000,2600000,120000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,29.5,2200000,2200000,23000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,26.9,2000000,2000000,16000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,92,21.8,1600000,1800000,21000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,20.2,1500000,1500000,54000000,No,,,,undefined
absa.co.za,/Finance & Insurance/Banking & Personal Finance /Local,100,18.4,1300000,1300000,26000000,No,,,, --
gumtree.co.za,/Local/Regional Content/Africa /Local/Classifieds,100,18.2,1300000,1300000,55000000,No,,,, --
news24.com,/News & Current Events/News Networks /Local/Regional Content/Africa,100,18.1,1300000,1300000,31000000,Yes,336x280 468x60,,336x280 468x60,500K - 1M
standardbank.co.za,/Finance & Insurance/Banking & Personal Finance /Local/Regional Content/Africa /Finance & Insurance,100,16.7,1200000,1200000,34000000,No,,,, --
fnb.co.za,/Finance & Insurance/Banking & Personal Finance /Local/Regional Content/Africa,100,12.6,930000,930000,19000000,No,,,, --
about.com,/Reference/How-To & Expert Content /Internet/Web Portals,100,12.4,920000,920000,5100000,Yes,300x250 728x90,,300x250 728x90,20M - 50M
iol.co.za,/News & Current Events/Newspapers /Local/Regional Content/Africa,100,10.3,760000,760000,11000000,Yes,120x600 160x600 468x60 728x90,,160x600 468x60 728x90,100K - 500K
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,100,10.2,750000,750000,3800000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,92,10.1,740000,820000,2900000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,100,9.4,690000,690000,1200000,No,,,, --
sarsefiling.co.za,/Lifestyles/Ethnic & Identity Groups/Africans /News & Current Events/Politics,100,9.3,680000,680000,17000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,9.3,680000,680000,1000000,No,,,, --
mweb.co.za,/Health/Reproductive Health/Sexuality /Health/Reproductive Health/Birth Control,100,9.2,680000,680000,34000000,No,,,, --
amazon.com,/Shopping,110,8.5,630000,570000,3800000,No,,,, --
bbc.co.uk,/News & Current Events /Local/Regional Content/Western Europe/United Kingdom /Entertainment/Radio /Science,100,8.5,620000,620000,9900000,No,,,, --
yellowpages.co.za,/Local/Regional Content/Africa /Local/Weather /Reference,100,7.8,570000,570000,4600000,No,,,, --
