Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,57.3,12000000,12000000,2200000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,100,42.2,8900000,8900000,370000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,35.6,7500000,7500000,800000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,29.4,6200000,6200000,160000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,26.6,5600000,5600000,140000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,91,24.2,5100000,5600000,1900000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
tuenti.com,/Entertainment/Comics & Animation /Entertainment/TV/TV Programs,100,18,3800000,3800000,3100000000,Yes,450x50 468x60,,,1K - 10K
terra.es,/Internet/Web Portals,100,18,3800000,3800000,140000000,Yes,160x600 336x280 450x50 468x60 728x90,,160x600 336x280 468x60 728x90,500K - 1M
elmundo.es,/News & Current Events/Newspapers,100,18,3800000,3800000,190000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,100,17.9,3800000,3800000,45000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
elpais.com,/News & Current Events/Newspapers /Society /News & Current Events/Politics /News & Current Events,100,16.7,3500000,3500000,140000000,No,,,, --
marca.com,/Sports /Local/Regional Content/Western Europe/Spain,100,16.4,3500000,3500000,250000000,No,,,, --
softonic.com,/Computers & Electronics /Internet,100,16.4,3500000,3500000,88000000,Yes,300x250,,,2M - 5M
ebay.es,/Shopping/Auctions /Shopping/Shopping Portals & Search Engines /Local/Classifieds,100,13.5,2800000,2800000,330000000,No,,,, --
ciao.es,/Shopping/Consumer Affairs & Product Reviews/Price Comparisons,100,12.4,2600000,2600000,25000000,Yes,,,,500K - 1M
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,12.3,2600000,2600000,9000000,No,,,, --
