Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,62.3%,"19,000,000","20,000,000","20,000,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,62.1%,"19,000,000","19,000,000","3,700,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,38.9%,"12,000,000","12,000,000","450,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,35.1%,"11,000,000","11,000,000","250,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,28.8%,"8,900,000","9,000,000","880,000,000",
,,domain: tuenti.com,[D],Online Communities > Social Networks,No,No,No,No,No,No,No,98,26.0%,"8,100,000","8,200,000","11,000,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,24.4%,"7,600,000","7,600,000","120,000,000",
,,domain: marca.com,[D],News > Sports News,Yes,Yes,Yes,No,No,No,No,100,18.2%,"5,600,000","5,600,000","340,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,18.0%,"5,600,000","5,700,000","68,000,000",
,,domain: elmundo.es,[D],News > Newspapers,Yes,Yes,300x250 300x300 ,No,No,300x250 ,No,100,15.1%,"4,700,000","4,700,000","230,000,000",
,,domain: elpais.com,[D],News > Newspapers,Yes,No,340x126 ,No,No,No,No,98,13.5%,"4,200,000","4,300,000","190,000,000",
