Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,47.8,3500000,3500000,490000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,100,42.6,3100000,3100000,130000000,No,,,, --
aftonbladet.se,/News & Current Events/Newspapers /Online Communities/Blogging Resources & Services /News & Current Events,100,39.5,2900000,2900000,230000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,32.6,2400000,2400000,90000000,No,,,, --
blocket.se,/Local/Classifieds,100,32.6,2400000,2400000,790000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,32.5,2400000,2400000,1100000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
eniro.se,/Reference/Business & Personal Listings /Reference/Maps & Geography,100,31.9,2300000,2300000,66000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,29.5,2200000,2200000,67000000,No,,,, --
hitta.se,/Reference/Business & Personal Listings /Reference/Maps & Geography,100,29.4,2200000,2200000,60000000,No,,,, --
swedbank.se,/Finance & Insurance /Finance & Insurance/Investing /Finance & Insurance/Banking & Personal Finance,100,22,1600000,1600000,170000000,No,,,, --
thepiratebay.org,/Internet/File Sharing & Hosting,100,20.2,1500000,1500000,130000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,18.5,1400000,1400000,160000000,No,,,, --
blogg.se,/Online Communities/Blogging Resources & Services /Internet/Web Services,100,18.4,1300000,1300000,81000000,No,,,, --
expressen.se,/News & Current Events/Newspapers /Online Communities/Blogging Resources & Services /News & Current Events,100,18.2,1300000,1300000,65000000,No,,,, --
svt.se,/Entertainment/TV /Entertainment/TV/TV Networks,100,16.7,1200000,1200000,66000000,No,,,, --
