Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,91.1,13000000,13000000,7100000000,No,,,, --
wretch.cc,/Local /Food & Drink /Entertainment /Online Communities/Blogging Resources & Services,99,56,8200000,8200000,4400000000,Yes,120x600 160x600 200x200 250x250 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 728x90,1K - 10K
yahoo.com.tw,/Shopping/Shopping Portals & Search Engines,99,42.7,6200000,6200000,360000000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,99,35,5100000,5100000,400000000,No,,,,undefined
pchome.com.tw,/Internet/Web Portals,99,34.5,5100000,5100000,410000000,No,,,, --
hinet.net,/Games/Video Games/Online Games /Internet/Web Services /Internet,99,31.4,4600000,4600000,190000000,Yes,120x600 160x600 336x280 468x60 728x90,,120x600 160x600 336x280 468x60 728x90,1K - 10K
yam.com,/Internet/Web Portals,99,28.5,4200000,4200000,250000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,99,28.4,4200000,4200000,89000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,26.2,3800000,3800000,81000000,No,,,, --
pixnet.net,/Food & Drink /Arts & Humanities/Books & Literature /Lifestyles,99,26.1,3800000,3800000,130000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100K - 500K
xuite.net,/Internet/Web Hosting & Domain Registration /Internet/Web Services /Internet/File Sharing & Hosting,99,24,3500000,3500000,110000000,No,,,, --
udn.com,/Online Communities/Blogging Resources & Services,99,21.7,3200000,3200000,180000000,Yes,160x600 300x250 336x280 468x60 728x90,,160x600 300x250 336x280 468x60 728x90,10K - 100K
ruten.com.tw,/Shopping /Computers & Electronics/Hardware/Desktops,99,19.4,2800000,2800000,340000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,18,2600000,2600000,74000000,No,,,, --
mobile01.com,/Telecommunications/Mobile & Wireless/Mobile Phones /Computers & Electronics,99,17.6,2600000,2600000,340000000,Yes,300x250 728x90,,300x250 728x90,10K - 100K
msn.com.tw,/Business/Business Services & Consulting/Fire & Security Services /Internet,99,16.2,2400000,2400000,74000000,No,,,, --
baidu.com,/Internet/Web Portals /Internet/Web Services/Search Engines,99,13.6,2000000,2000000,79000000,No,,,,undefined
badongo.com,/Internet/File Sharing & Hosting,99,13.4,2000000,2000000,72000000,No,,,, --
sina.com.tw,/Internet/Web Portals,99,13.3,1900000,1900000,34000000,Yes,120x600 160x600 200x200 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 300x250 336x280 468x60 728x90,100K - 500K
books.com.tw,/Arts & Humanities/Books & Literature,99,12.4,1800000,1800000,110000000,No,,,, --
gamer.com.tw,/Games/Video Games/Online Games /Computers & Electronics/Software/Audio & Multimedia,99,12.1,1800000,1800000,410000000,No,,,, --
nownews.com,/Animals/Pets /Entertainment/Movies,99,11,1600000,1600000,54000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,99,11,1600000,1600000,6800000,No,,,, --
roodo.com,/Internet/File Sharing & Hosting /Online Communities/Blogging Resources & Services,99,10.2,1500000,1500000,21000000,No,,,, --
eyny.com,/Online Communities /Internet,99,10.2,1500000,1500000,130000000,No,,,,undefined
flickr.com,/Photo & Video/Photo & Video Sharing,99,10.1,1500000,1500000,80000000,No,,,, --
livefilestore.com,/Shopping/Apparel /Shopping,99,10,1500000,1500000,15000000,No,,,, --
chinatimes.com,/Society /News & Current Events/Politics /Online Communities,99,10,1500000,1500000,79000000,No,,,, --
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,99,9.9,1400000,1400000,13000000,No,,,, --
im.tv,/Entertainment/Multimedia Content,99,9.3,1400000,1400000,38000000,Yes,336x280,,336x280,100K - 500K
cht.com.tw,/Computers & Electronics/Software/Software Utilities /Entertainment/Movies /Computers & Electronics/Programming/Windows & .NET,99,9.1,1300000,1300000,28000000,No,,,, --
104.com.tw,/Business/Human Resources /Local/Jobs /Society/Education,99,9,1300000,1300000,170000000,Yes,,,,500K - 1M
nat.gov.tw,/Finance & Insurance/Accounting & Tax /Internet,99,8.3,1200000,1200000,26000000,No,,,, --
emome.net,/Telecommunications /Science /Telecommunications/Service Providers,99,8.3,1200000,1200000,41000000,No,,,, --
libertytimes.com.tw,/News & Current Events/Newspapers /News & Current Events/Politics,99,8.3,1200000,1200000,26000000,No,,,, --
slime.com.tw,/Computers & Electronics/Software /Games/Video Games/Online Games,110,7.6,1100000,1000000,18000000,No,,,, --
gamania.com,/Games/Video Games /Local/Regional Content /Games/Video Games/Cheats & Hints,99,7.6,1100000,1100000,60000000,No,,,, --
overture.com,/Internet/Web Services/Search Engines /Business/Advertising & Marketing,99,7.6,1100000,1100000,3500000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,99,6.9,1000000,1000000,6700000,No,,,, --
taiwanlottery.com.tw,/Games/Lotto & Sweepstakes /Local/Regional Content,110,6.9,1000000,920000,15000000,No,,,, --
briian.com,/Computers & Electronics /Online Communities/Online Journals & Personal Sites,99,6.9,1000000,1000000,9900000,Yes,250x250 336x280 450x50,,250x250 336x280,100K - 500K
1-apple.com.tw,/News & Current Events/Newspapers /Sports /Local,99,6.8,1000000,1000000,55000000,Yes,160x600 300x250 728x90,,160x600 300x250 728x90,1M - 2M
ntu.edu.tw,/Health/Medical Facilities & Services/Hospitals & Treatment Centers /Online Communities/Social Networks,99,6.8,1000000,1000000,41000000,Yes,160x600,,160x600,1K - 10K
