Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,70,13000000,13000000,2700000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,100,62.4,12000000,12000000,600000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,100,57.6,11000000,11000000,7800000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
milliyet.com.tr,/News & Current Events/Newspapers /Internet/Web Portals,100,35.8,6800000,6800000,800000000,No,,,, --
mynet.com,/News & Current Events /Internet/Web Portals,100,31.7,6000000,6000000,1700000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,500K - 1M
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,26.9,5100000,5100000,160000000,No,,,, --
blogcu.com,/Online Communities/Blogging Resources & Services,100,26.7,5100000,5100000,89000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,10K - 100K
softreklam.com,/Business/Advertising & Marketing/Marketing Services /Telecommunications/Mobile & Wireless/Mobile Phones /Telecommunications,100,24.7,4700000,4700000,61000000,No,,,, --
hurriyet.com.tr,/News & Current Events/Newspapers /Photo & Video/Stock Photography,100,24.5,4700000,4700000,960000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,22.3,4200000,4200000,74000000,No,,,, --
meb.gov.tr,/Society/Government & Regulatory Bodies /Local,100,22.3,4200000,4200000,650000000,No,,,, --
imageshack.us,/Internet/File Sharing & Hosting,100,20.1,3800000,3800000,46000000,Yes,728x90,,728x90,1M - 2M
arkadas.net,/Entertainment/Music/Music Streams & Downloads,100,20,3800000,3800000,50000000,No,,,, --
livefilestore.com,/Shopping/Apparel /Shopping,94,18.2,3500000,3800000,62000000,No,,,, --
ekolay.net,/Internet/Web Services /Internet/Web Portals,100,18.1,3400000,3400000,410000000,No,,,,undefined
rapidshare.com,/Internet/File Sharing & Hosting,100,16.9,3200000,3200000,130000000,No,,,, --
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,16.8,3200000,3200000,250000000,No,,,, --
