Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
mail.ru,/Internet/Web Services/Email & Messaging,99,46.5,5100000,5100000,870000000,Yes,,,,2M - 5M
yandex.ru,/Internet/Web Services/Search Engines /Internet/Web Services/Email & Messaging,99,41.8,4600000,4600000,340000000,No,,,, --
vkontakte.ru,/Online Communities/Social Networks /Online Communities/Dating & Relationships /Photo & Video/Photo & Video Sharing,99,41.8,4600000,4600000,4800000000,No,,,, --
marketgid.com,/Reference /News & Current Events/Politics,110,34.5,3800000,3400000,65000000,No,,,, --
odnoklassniki.ru,/Online Communities/Dating & Relationships/Personals /Online Communities/Social Networks,99,31.9,3500000,3500000,1300000000,Yes,728x90,,728x90,100M+
narod.ru,/Online Communities/Blogging Resources & Services /Internet/Online Goodies,99,31,3400000,3400000,37000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,99,29,3200000,3200000,56000000,No,,,, --
in.ua,/Internet/Web Hosting & Domain Registration,99,28.9,3200000,3200000,80000000,No,,,, --
ukr.net,/News & Current Events /Internet/Web Portals,99,28.7,3200000,3200000,260000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,99,23.9,2600000,2600000,38000000,No,,,, --
rambler.ru,/Internet/Web Portals /Internet/Web Hosting & Domain Registration,99,23.8,2600000,2600000,230000000,No,,,,undefined
bigmir.net,/Internet/Web Portals /Internet,110,23.7,2600000,2400000,120000000,Yes,728x90,,728x90,100K - 500K
meta.ua,/Internet/Web Services/Search Engines /News & Current Events,99,21.9,2400000,2400000,80000000,No,,,, --
advmaker.ru,/Business/E-Commerce /Internet/File Sharing & Hosting,99,21.7,2400000,2400000,16000000,No,,,, --
i.ua,/Internet/Web Portals /Internet/Web Services/Email & Messaging,99,21.4,2400000,2400000,110000000,Yes,250x250 728x90,,250x250 728x90,100K - 500K
livejournal.com,/Online Communities/Blogging Resources & Services,99,19.9,2200000,2200000,110000000,Yes,160x600 300x250 450x50 728x90,,160x600 300x250 728x90,1M - 2M
depositfiles.com,/Internet/File Sharing & Hosting /Internet/Web Hosting & Domain Registration,99,19.5,2100000,2100000,38000000,No,,,, --
letitbit.net,/Internet/Web Hosting & Domain Registration /Internet/Online Goodies /Business/E-Commerce,99,18,2000000,2000000,31000000,No,,,, --
