Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,98,62.6,140000000,140000000,36000000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,98,31.9,74000000,74000000,30000000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
msn.com,/Internet/Web Portals /News & Current Events,98,31.4,73000000,73000000,5400000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,98,29.1,67000000,67000000,2300000000,No,,,, --
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,98,28.9,67000000,67000000,43000000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,98,26.5,61000000,61000000,8500000000,Yes,450x50 468x60,,,100K - 500K
amazon.com,/Shopping,98,21.8,50000000,50000000,2500000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,98,21.8,50000000,50000000,1400000000,No,,,, --
ebay.com,/Shopping/Auctions,98,19.9,46000000,46000000,9500000000,No,,,, --
go.com,/Internet/Web Portals /Sports,98,16.5,38000000,38000000,2300000000,No,,,,undefined
aol.com,/Internet/Web Portals /Internet/Web Services/Email & Messaging,98,16.2,37000000,37000000,4000000000,No,,,, --
craigslist.org,/Local/Classifieds,98,16,37000000,37000000,14000000000,No,,,, --
about.com,/Reference/How-To & Expert Content /Internet/Web Portals,98,14.8,34000000,34000000,490000000,Yes,300x250 728x90,,300x250 728x90,20M - 50M
casalemedia.com,/Business/Advertising & Marketing/Marketing Services /Internet/Web Services,98,14.7,34000000,34000000,210000000,No,,,, --
cnn.com,/News & Current Events /Entertainment/TV/TV Networks,110,14.6,34000000,31000000,1700000000,Yes,,,,20M - 50M
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,98,13.4,31000000,31000000,140000000,No,,,, --
weather.com,/Local/Weather /Local/Regional Content,98,12.4,29000000,29000000,870000000,Yes,,,,20M - 50M
imdb.com,/Entertainment/Movies /Entertainment,98,11.2,26000000,26000000,1100000000,No,,,, --
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,98,11,25000000,25000000,1300000000,Yes,728x90,,728x90,100K - 500K
mapquest.com,/Local/Regional Content/US & Canada/USA /Reference/Maps & Geography,98,10.1,23000000,23000000,450000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,98,10,23000000,23000000,300000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
apple.com,/Computers & Electronics/Software/Operating Systems/Mac /Computers & Electronics,98,9.3,22000000,22000000,340000000,No,,,, --
answers.com,/Reference/Dictionaries & Encyclopedias,98,9.3,21000000,21000000,130000000,No,,,,undefined
flickr.com,/Photo & Video/Photo & Video Sharing,98,9.2,21000000,21000000,1000000000,No,,,, --
nytimes.com,/News & Current Events/Newspapers,98,9.2,21000000,21000000,970000000,Yes,336x280 728x90,,336x280 728x90,20M - 50M
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,98,9,21000000,21000000,230000000,No,,,, --
ask.com,/Entertainment/Comics & Animation/Cartoons /Internet /Internet/Web Services/Search Engines,98,7.5,17000000,17000000,450000000,Yes,450x50 468x60,,,2M - 5M
