Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,67.2%,"38,000,000","38,000,000","63,000,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,55.4%,"31,000,000","32,000,000","4,400,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,50.3%,"28,000,000","28,000,000","3,700,000,000",
,,domain: bbc.co.uk,[D],News > World News,Yes,Yes,No,No,No,No,No,100,46.1%,"26,000,000","26,000,000","1,900,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,45.5%,"26,000,000","26,000,000","3,300,000,000",
,,domain: ebay.co.uk,[D],Shopping > Auctions,Yes,No,No,No,No,No,No,98,41.0%,"23,000,000","23,000,000","5,900,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,38.2%,"21,000,000","21,000,000","960,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,35.0%,"20,000,000","20,000,000","370,000,000",
,,domain: amazon.co.uk,[D],Shopping > Shopping Portals & Search Engines,No,No,No,No,No,No,No,100,31.8%,"18,000,000","18,000,000","1,100,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,21.5%,"12,000,000","12,000,000","370,000,000",
,,domain: paypal.com,[D],Business & Industrial > Business Services > E-Commerce Services > Merchant Services & Payment Systems,Yes,Yes,69x25 110x24 110x25 110x30 115x21 120x21 141x25 141x59 150x100 174x28 183x43 183x90 183x100 210x80 240x164 542x228 555x200 559x557 560x228 750x80 760x228 ,No,No,No,No,99,19.5%,"11,000,000","11,000,000","260,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,19.4%,"11,000,000","11,000,000","110,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,19.4%,"11,000,000","11,000,000","130,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,19.4%,"11,000,000","11,000,000","120,000,000",
,,domain: national-lottery.co.uk,[D],,Yes,No,No,No,No,No,No,100,17.9%,"10,000,000","10,000,000","370,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,14.8%,"8,300,000","8,300,000","410,000,000",
,,domain: sky.com,[D],Internet & Telecom > Web Portals,Yes,Yes,120x600 300x160 300x250 336x95 468x60 620x50 728x90 ,No,No,No,No,99,14.7%,"8,200,000","8,300,000","600,000,000",
,,domain: direct.gov.uk,[D],Law & Government,Yes,Yes,No,No,No,No,No,99,14.6%,"8,200,000","8,200,000","450,000,000",
,,domain: dailymail.co.uk,[D],News > Newspapers,Yes,Yes,135x136 ,No,No,No,No,99,14.6%,"8,200,000","8,200,000","230,000,000",
,,domain: groupon.co.uk,[D],Shopping > Consumer Resources > Coupons & Discount Offers,Yes,Yes,No,No,No,No,No,100,14.5%,"8,100,000","8,100,000","67,000,000",
,,domain: argos.co.uk,[D],Shopping > Mass Merchants & Department Stores,Yes,No,No,No,No,No,No,100,13.5%,"7,600,000","7,600,000","190,000,000",
,,domain: bt.com,[D],Internet & Telecom > Service Providers,Yes,Yes,120x600 300x250 468x60 728x90 ,No,No,300x250 728x90 ,No,100,13.2%,"7,400,000","7,400,000","160,000,000",
,,domain: tesco.com,[D],Shopping > Mass Merchants & Department Stores,Yes,Yes,120x600 159x44 160x600 180x150 196x322 300x220 300x250 ,No,No,No,No,99,13.1%,"7,300,000","7,400,000","340,000,000",
,,domain: virginmedia.com,[D],News,Yes,Yes,120x600 300x70 300x136 300x250 728x90 ,No,No,No,No,100,12.2%,"6,800,000","6,800,000","300,000,000",
,,domain: lloydstsb.co.uk,[D],Finance > Banking,No,No,No,No,No,No,No,100,12.0%,"6,700,000","6,800,000","450,000,000",
,,domain: lloydstsb.com,[D],Finance,Yes,No,No,No,No,No,No,98,12.0%,"6,700,000","6,900,000","74,000,000",
,,domain: barclays.co.uk,[D],Finance > Banking,Yes,Yes,No,No,No,No,No,100,11.1%,"6,200,000","6,200,000","370,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,11.0%,"6,200,000","6,200,000","38,000,000",
,,domain: gumtree.com,[D],Shopping > Classifieds,Yes,Yes,160x600 180x150 216x36 216x180 300x250 328x90 590x30 665x35 728x90 ,No,No,160x600 300x250 728x90 ,No,100,11.0%,"6,100,000","6,100,000","370,000,000",
,,domain: rightmove.co.uk,[D],Real Estate > Real Estate Listings,Yes,Yes,162x50 ,No,No,No,No,99,11.0%,"6,100,000","6,200,000","660,000,000",
,,domain: natwest.com,[D],Finance > Banking,Yes,No,No,No,No,No,No,99,11.0%,"6,100,000","6,200,000","110,000,000",
,,domain: linkedin.com,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,10.0%,"5,600,000","5,600,000","230,000,000",
,,domain: hsbc.co.uk,[D],Finance > Banking,Yes,No,No,No,No,No,No,100,10.0%,"5,600,000","5,600,000","450,000,000",
,,domain: nwolb.com,[D],Finance > Banking,No,No,No,No,No,No,No,100,10.0%,"5,600,000","5,600,000","89,000,000",
,,domain: apple.com,[D],Computers & Electronics > Software > Operating Systems > Mac OS,Yes,Yes,53x53 135x95 187x94 240x48 305x63 305x80 320x37 320x259 385x295 480x187 ,No,No,No,No,99,10.0%,"5,600,000","5,600,000","50,000,000",
,,domain: about.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,300x250 336x280 728x90 ,No,No,300x250 336x280 728x90 ,No,98,9.9%,"5,600,000","5,600,000","38,000,000",
,,domain: guardian.co.uk,[D],News > Newspapers,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,No,99,9.9%,"5,500,000","5,600,000","97,000,000",
,,domain: telegraph.co.uk,[D],News > Newspapers,Yes,Yes,160x600 300x250 450x50 480x70 728x90 ,No,No,160x600 300x250 728x90 ,No,99,9.1%,"5,100,000","5,100,000","98,000,000",
,,domain: partycasino.com,[D],,Yes,No,No,No,No,No,No,100,9.1%,"5,100,000","5,100,000","16,000,000",
,,domain: itv.com,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,Yes,Yes,No,No,No,No,100,9.0%,"5,100,000","5,100,000","81,000,000",
,,domain: autotrader.co.uk,[D],Autos & Vehicles > Vehicle Shopping,Yes,Yes,Yes,No,No,No,No,100,9.0%,"5,000,000","5,000,000","410,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,9.0%,"5,000,000","5,100,000","41,000,000",
,,domain: imdb.com,[D],Arts & Entertainment > Movies > Movie Reference,Yes,Yes,160x600 300x40 300x250 642x40 728x90 1008x60 ,No,No,No,No,99,8.9%,"5,000,000","5,100,000","97,000,000",
,,domain: next.co.uk,[D],Shopping > Mass Merchants & Department Stores,No,No,No,No,No,No,No,100,8.4%,"4,700,000","4,700,000","310,000,000",
,,domain: yell.com,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,Yes,300x250 468x60 ,No,No,No,No,100,8.4%,"4,700,000","4,700,000","38,000,000",
,,domain: marksandspencer.com,[D],Shopping > Mass Merchants & Department Stores,Yes,No,No,No,No,No,No,100,8.3%,"4,700,000","4,700,000","210,000,000",
,,domain: halifax-online.co.uk,[D],Finance > Banking,No,No,No,No,No,No,No,100,8.3%,"4,600,000","4,700,000","250,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,8.2%,"4,600,000","4,600,000","99,000,000",
,,domain: aol.com,[D],Internet & Telecom > Web Portals,Yes,Yes,160x600 215x35 300x250 728x90 ,No,No,No,No,99,8.2%,"4,600,000","4,600,000","340,000,000",
,,domain: tripadvisor.co.uk,[D],Travel,Yes,No,160x80 160x600 300x100 300x250 728x90 ,No,No,No,No,100,8.2%,"4,600,000","4,600,000","89,000,000",
