Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,98,68.1,3900000,3900000,710000000,No,,,,undefined
msn.com,/Internet/Web Portals /News & Current Events,98,55.2,3100000,3100000,110000000,No,,,, --
facebook.com,/Online Communities/Social Networks /Games/Video Games/Online Games,98,50.9,2900000,2900000,1400000000,Yes,120x600 160x600 200x200 250x250 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90,100M+
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,98,38.6,2200000,2200000,120000000,No,,,, --
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,98,35,2000000,2000000,38000000,No,,,, --
mercadolibre.com.ve,/Shopping/Shopping Portals & Search Engines /Local/Regional Content/South America,98,31.8,1800000,1800000,130000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,98,31.6,1800000,1800000,31000000,No,,,, --
cantv.net,/Internet/Web Portals,98,19.5,1100000,1100000,50000000,Yes,160x600 336x280 468x60 728x90,,160x600 336x280 468x60 728x90,10K - 100K
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,98,19.4,1100000,1100000,5000000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
hotmail.com,/Internet/Web Services/Email & Messaging,98,17.8,1000000,1000000,7400000,No,,,, --
sonico.com,/Online Communities/Social Networks /Photo & Video/Photo & Video Sharing,98,17.8,1000000,1000000,50000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,10M - 20M
livefilestore.com,/Shopping/Apparel /Shopping,98,17.7,1000000,1000000,12000000,No,,,, --
monografias.com,/Reference/Educational Resources /Reference/Online Directories,98,16.4,930000,930000,10000000,Yes,120x600 160x600 250x250 300x250 336x280 468x60 728x90,,120x600 160x600 250x250 300x250 336x280 468x60 728x90,2M - 5M
softonic.com,/Computers & Electronics /Internet,98,16.1,910000,910000,12000000,Yes,300x250,,,2M - 5M
hi5.com,/Online Communities/Social Networks,98,16,910000,910000,120000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,100M+
banesco.com,/Finance & Insurance/Banking & Personal Finance /Finance & Insurance/Credit & Lending,98,14.9,840000,840000,13000000,No,,,, --
geocities.com,/Online Communities/Online Journals & Personal Sites,98,13.5,760000,760000,3100000,No,,,, --
rincondelvago.com,/Society/Education/Colleges & Universities,98,13.3,750000,750000,4600000,No,,,, --
tucarro.com.ve,/Automotive/Vehicle Shopping /Automotive,98,12.3,690000,690000,120000000,No,,,, --
bancomercantil.com,/Finance & Insurance/Banking & Personal Finance /Local/Regional Content/South America,89,12.2,690000,760000,22000000,No,,,, --
eluniversal.com,/News & Current Events /Sports /Local/Regional Content/South America,98,11.1,630000,630000,16000000,No,,,, --
movilnet.com.ve,/Telecommunications/Mobile & Wireless/Mobile Phones /Local/Regional Content/South America /Telecommunications/Service Providers,98,11,620000,620000,28000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,98,11,620000,620000,1600000,No,,,, --
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,98,10.9,620000,620000,4200000,No,,,,undefined
scribd.com,/Reference/Dictionaries & Encyclopedias /Computers & Electronics/Software/Graphics & Publishing /Internet/File Sharing & Hosting,98,10.9,620000,620000,2300000,Yes,300x250 336x280 468x60 728x90,,300x250 336x280 468x60 728x90,2M - 5M
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,98,10.1,570000,570000,3800000,No,,,, --
imageshack.us,/Internet/File Sharing & Hosting,98,10.1,570000,570000,2900000,Yes,728x90,,728x90,1M - 2M
tucarro.com,/Automotive/Vehicle Shopping /Automotive,98,10.1,570000,570000,5200000,No,,,, --
metroflog.com,/Online Communities/Social Networks /Photo & Video/Photo & Video Sharing,98,10,570000,570000,97000000,Yes,160x600 300x250 468x60 728x90,,160x600 300x250 468x60 728x90,100M+
musica.com,/Entertainment/Music/Lyrics & Tabs /Photo & Video/Photo & Video Sharing,98,10,560000,560000,12000000,Yes,336x280 468x60 728x90,,336x280 468x60 728x90,5M - 10M
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,98,9.9,560000,560000,4200000,No,,,,undefined
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,98,9.8,560000,560000,3800000,No,,,, --
yieldmanager.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,98,9.2,520000,520000,2000000,No,,,, --
amazon.com,/Shopping,98,9.2,520000,520000,50000000,No,,,, --
rapidshare.com,/Internet/File Sharing & Hosting,98,8.4,480000,480000,8900000,No,,,, --
conduit.com,/Computers & Electronics/Computer Security/Antivirus & Malware,98,8.4,480000,480000,21000000,No,,,,undefined
mundoanuncio.com,/Local/Classifieds /Reference/Online Directories,98,8.4,470000,470000,3200000,Yes,,,,2M - 5M
programas-gratis.net,/Computers & Electronics /Internet/Web Services,98,8.3,470000,470000,5600000,Yes,160x600 250x250 468x60 728x90,,160x600 250x250 468x60 728x90,2M - 5M
taringa.net,/Internet/File Sharing & Hosting /Entertainment /Entertainment/Music/Music Streams & Downloads,98,8.3,470000,470000,8200000,No,,,, --
passport.com,/Internet/Web Services/Email & Messaging /Internet/Web Services /Computers & Electronics,98,8.3,470000,470000,6100000,No,,,, --
mipunto.com,/Internet/Web Portals,98,8.3,470000,470000,6200000,Yes,120x600,,120x600,10K - 100K
aporrea.org,/News & Current Events/Politics /Local/Regional Content/South America,98,8.3,470000,470000,5000000,No,,,, --
badoo.com,/Online Communities/Social Networks /Photo & Video/Photo & Video Sharing /Online Communities/Online Journals & Personal Sites /Internet/File Sharing & Hosting,98,8.3,470000,470000,61000000,No,,,, --
banesconline.com,/Finance & Insurance/Banking & Personal Finance,98,8.2,470000,470000,24000000,No,,,, --
provincial.com,/Finance & Insurance/Banking & Personal Finance,98,8.2,460000,460000,9800000,No,,,, --
venezuelasite.com,/Reference/Online Directories,110,7.6,430000,390000,1600000,Yes,160x600 300x250 728x90,,160x600 300x250 728x90,10K - 100K
infoguia.net,/Reference/Business & Personal Listings,98,7.6,430000,430000,2600000,Yes,160x600 468x60,,160x600 468x60,10K - 100K
flickr.com,/Photo & Video/Photo & Video Sharing,98,7.5,430000,430000,7400000,No,,,, --
bancodevenezuela.com,/Finance & Insurance/Banking & Personal Finance /Local/Regional Content/South America,98,7.5,430000,430000,9100000,No,,,, --
univision.com,/Lifestyles/Ethnic & Identity Groups/Latinos & Latin-Americans /Entertainment/TV /Internet/Web Portals,98,6.9,390000,390000,6600000,Yes,,,,5M - 10M
myspace.com,/Online Communities/Social Networks /Internet/Online Goodies/MySpace Codes & Graphics /Entertainment,98,6.9,390000,390000,28000000,Yes,120x600 250x250 300x250 468x60 728x90,,120x600 250x250 300x250 468x60 728x90,100M+
mercadolibre.com,/Shopping/Auctions /Local/Classifieds,98,6.9,390000,390000,1600000,No,,,, --
olx.com.ve,/Local/Regional Content/South America /Local/Classifieds,89,6.8,390000,430000,2600000,Yes,,,,100K - 500K
ivss.gov.ve,/Society/Social Services /Computers & Electronics/Programming/Java,98,6.8,390000,390000,10000000,No,,,, --
campusanuncios.com,/Local/Classifieds /Reference/Online Directories,98,6.8,390000,390000,1600000,Yes,120x600 468x60,,120x600 468x60,500K - 1M
meridiano.com.ve,/Sports /Sports/Baseball /Sports/Soccer,98,6.8,390000,390000,7500000,No,,,, --
venezuelatuya.com,/Local/Regional Content/South America /Travel/Hotels & Accommodations /Travel/Attractions & Activities,89,6.3,360000,390000,1900000,Yes,200x200 728x90,,200x200 728x90,10K - 100K
cantv.com.ve,/Telecommunications/Service Providers /Local/Regional Content/South America,98,6.3,360000,360000,6200000,No,,,, --
emagister.com,/Society/Education/Distance Learning /Reference/Educational Resources,98,6.2,350000,350000,1800000,Yes,336x280,,336x280,1M - 2M
todo1.com,/Finance & Insurance/Banking & Personal Finance /Local/Regional Content/South America /Local/Regional Content,98,6.2,350000,350000,6800000,No,,,, --
minijuegos.com,/Games/Video Games/Online Games,98,6.2,350000,350000,12000000,Yes,300x250 468x60 728x90,,300x250 468x60 728x90,2M - 5M
elmundo.es,/News & Current Events/Newspapers,98,6.2,350000,350000,3200000,No,,,, --
wordreference.com,/Reference/Language Study & Translation /Reference/Dictionaries & Encyclopedias,98,6.2,350000,350000,3100000,Yes,300x250 728x90,,300x250 728x90,5M - 10M
emediate.eu,/Business/Advertising & Marketing /Internet /Games/Video Games/Online Games,98,6.2,350000,350000,1500000,No,,,, --
