Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,83.6%,"7,400,000","7,500,000","9,400,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,68.9%,"6,100,000","6,100,000","660,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,52.2%,"4,700,000","4,700,000","120,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,47.1%,"4,200,000","4,200,000","41,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,43.6%,"3,900,000","3,900,000","50,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,38.7%,"3,400,000","3,500,000","110,000,000",
,,domain: mercadolibre.com.ve,[D],Shopping > Classifieds,Yes,Yes,No,No,No,No,No,98,29.0%,"2,600,000","2,600,000","190,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,22.4%,"2,000,000","2,000,000","89,000,000",
,,domain: monografias.com,[D],Internet & Telecom > Web Portals,Yes,Yes,160x600 300x250 336x280 468x60 728x90 ,No,No,160x600 300x250 336x280 468x60 728x90 ,160x600 300x250 336x280 468x60 728x90 ,100,22.2%,"2,000,000","2,000,000","15,000,000",
,,domain: rincondelvago.com,[D],Jobs & Education > Education,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,160x600 300x250 468x60 728x90 ,100,19.9%,"1,800,000","1,800,000","9,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,19.8%,"1,800,000","1,800,000","7,500,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,18.2%,"1,600,000","1,600,000","12,000,000",
,,domain: buenastareas.com,[D],Reference > General Reference > Educational Resources,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,160x600 300x250 728x90 ,100,16.6%,"1,500,000","1,500,000","16,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,16.5%,"1,500,000","1,500,000","32,000,000",
,,domain: banesco.com,[D],Finance > Banking,No,No,No,No,No,No,No,100,16.5%,"1,500,000","1,500,000","19,000,000",
,,domain: banesconline.com,[D],Finance > Banking,No,No,No,No,No,No,No,99,16.5%,"1,500,000","1,500,000","80,000,000",
,,domain: scribd.com,[D],Online Communities > Social Networks,Yes,Yes,300x250 728x90 ,No,No,No,No,99,16.5%,"1,500,000","1,500,000","4,700,000",
,,domain: bancomercantil.com,[D],Finance > Banking,Yes,No,No,No,No,No,No,99,16.2%,"1,400,000","1,500,000","46,000,000",
,,domain: olx.com.ve,[D],Shopping > Classifieds,Yes,Yes,728x90 ,No,No,728x90 ,No,100,15.2%,"1,400,000","1,400,000","12,000,000",
