Site Name,Category,Composition Index,Audience Reach,Audience Unique Users,Country Unique Users,Country Page Views,GCN Text,GCN Images,GCN Videos,GCN Gadgets,GCN Impressions/Day
yahoo.com,/Internet/Web Portals /Internet/Web Services/Search Engines,100,69.5,4700000,4700000,1100000000,No,,,, --
zing.vn,/Entertainment/Movies/Science Fiction & Fantasy Films,100,42.7,2900000,2900000,500000000,No,,,, --
vnexpress.net,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,42.5,2900000,2900000,370000000,No,,,, --
dantri.com.vn,/Computers & Electronics/Software/Audio & Multimedia /Animals/Pets /Entertainment/Multimedia Content/Podcasting,100,35.1,2400000,2400000,210000000,Yes,450x50 468x60,,,1K - 10K
24h.com.vn,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,26.5,1800000,1800000,130000000,No,,,, --
vietnamnet.vn,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,26.2,1800000,1800000,89000000,No,,,, --
vatgia.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam /Automotive,100,24.2,1600000,1600000,31000000,No,,,, --
microsoft.com,/Computers & Electronics/Software/Operating Systems,100,24.2,1600000,1600000,50000000,No,,,, --
vietbao.vn,/Computers & Electronics/Software/Audio & Multimedia,100,24.1,1600000,1600000,23000000,No,,,, --
tuoitre.com.vn,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,22,1500000,1500000,60000000,No,,,, --
ngoisao.net,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,20.2,1400000,1400000,130000000,No,,,, --
baamboo.com,/Home & Garden/Home Improvement /Entertainment,100,20,1300000,1300000,66000000,No,,,, --
vui.vn,/Lifestyles/Ethnic & Identity Groups/Southeast Asians & Pacific Islanders /Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,19.8,1300000,1300000,96000000,No,,,, --
nhaccuatui.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,19.7,1300000,1300000,96000000,No,,,, --
cpxinteractive.com,/Computers & Electronics/Software/Software Utilities /Lifestyles/Parenting & Family /Entertainment/Humor & Bizarre/Paranormal,100,19.7,1300000,1300000,29000000,No,,,,undefined
wikipedia.org,/Reference/Dictionaries & Encyclopedias /Health/Health Conditions/Injury,100,18.3,1200000,1200000,19000000,No,,,, --
clip.vn,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,18.1,1200000,1200000,37000000,No,,,, --
opera.com,/Telecommunications/Mobile & Wireless /Computers & Electronics/Software,100,18,1200000,1200000,13000000,No,,,, --
timnhanh.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,16.3,1100000,1100000,24000000,No,,,, --
msn.com,/Internet/Web Portals /News & Current Events,100,16.3,1100000,1100000,34000000,No,,,, --
vtc.vn,/Games/Video Games /Entertainment/Comics & Animation/Anime & Manga,100,14.8,1000000,1000000,50000000,No,,,, --
photobucket.com,/Photo & Video/Photo & Video Sharing /Online Communities,100,14.8,1000000,1000000,28000000,No,,,,undefined
adultadworld.com,/Internet/Web Services/Affiliate Programs,100,14.8,1000000,1000000,11000000,No,,,, --
mediafire.com,/Internet/File Sharing & Hosting /Internet/Web Hosting & Domain Registration,100,14.8,990000,990000,23000000,Yes,300x250 336x280,,300x250 336x280,10K - 100K
dambut.com,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,13.5,910000,910000,74000000,No,,,, --
wordpress.com,/Online Communities/Blogging Resources & Services /Games/Video Games,100,13.5,910000,910000,9800000,Yes,300x250 336x280 450x50 468x60 728x90,,300x250 336x280 468x60 728x90,100K - 500K
tin247.com,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,12.4,830000,830000,17000000,No,,,, --
nhacso.net,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam /Lifestyles/Ethnic & Identity Groups/Southeast Asians & Pacific Islanders,100,12.3,830000,830000,35000000,No,,,, --
mozilla.com,/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,100,12.3,830000,830000,3800000,No,,,, --
thanhnien.com.vn,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,12.2,820000,820000,32000000,No,,,, --
top1.vn,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,11.4,760000,760000,16000000,No,,,, --
bkav.com.vn,/Entertainment/Music /Lifestyles/Ethnic & Identity Groups/Southeast Asians & Pacific Islanders /Local/Regional Content/Southeast Asia/Vietnam,100,11.2,750000,750000,12000000,No,,,, --
kenh14.vn,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,11.2,750000,750000,80000000,No,,,, --
vnn.vn,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,11.2,750000,750000,18000000,No,,,, --
truongton.net,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,10.4,700000,700000,34000000,No,,,, --
vn-zoom.com,/Entertainment/Music,100,10.3,700000,700000,11000000,No,,,, --
ttvnol.com,/Sports/Racquet Sports /Automotive/Auto Parts /Reference/How-To & Expert Content,100,10.2,680000,680000,21000000,No,,,, --
baomoi.com,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,10,670000,670000,19000000,No,,,, --
rapidshare.com,/Internet/File Sharing & Hosting,100,9.4,630000,630000,13000000,No,,,, --
download.com.vn,/Entertainment/Music,100,9.3,630000,630000,9100000,No,,,, --
windows.com,/Computers & Electronics/Enterprise Technology /Computers & Electronics/Programming,100,9.3,630000,630000,2600000,No,,,, --
flickr.com,/Photo & Video/Photo & Video Sharing,100,9.3,630000,630000,23000000,No,,,, --
tintuconline.com.vn,/Local/Regional Content/Southeast Asia/Vietnam /News & Current Events/Newspapers,100,9.2,620000,620000,31000000,No,,,, --
harrenmedianetwork.com,/Internet/Web Design & Development /Computers & Electronics/Programming/Scripting Languages /Computers & Electronics/Programming,100,9.1,610000,610000,5100000,No,,,,undefined
gamevn.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,8.5,570000,570000,15000000,No,,,, --
trochoiviet.com,/Games/Video Games /Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,8.5,570000,570000,34000000,No,,,, --
rongbay.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,8.4,560000,560000,13000000,No,,,, --
gamevui.com,/Games/Video Games,91,7.8,520000,580000,34000000,No,,,, --
yeucahat.com,/Entertainment/Music/Lyrics & Tabs,100,7.8,520000,520000,24000000,No,,,,undefined
webtretho.com,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,7.8,520000,520000,19000000,No,,,, --
enbac.com,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music /Automotive,91,7.7,520000,570000,23000000,No,,,, --
123mua.com.vn,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,7.7,520000,520000,16000000,No,,,, --
petalia.org,/Arts & Humanities/Books & Literature/Book Retailers /Computers & Electronics/Software,100,7.7,520000,520000,6100000,No,,,, --
bbc.co.uk,/News & Current Events /Local/Regional Content/Western Europe/United Kingdom /Entertainment/Radio /Science,100,7.7,510000,510000,23000000,No,,,, --
hi5.com,/Online Communities/Social Networks,100,7.6,510000,510000,17000000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,100M+
xaluan.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,7.6,510000,510000,7400000,No,,,, --
ddth.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,7.6,510000,510000,5700000,No,,,, --
adobe.com,/Computers & Electronics/Software/Audio & Multimedia /Computers & Electronics/Software/Graphics & Publishing,91,7.5,510000,560000,5100000,No,,,, --
megaupload.com,/Internet/File Sharing & Hosting,100,7.1,480000,480000,9900000,No,,,, --
lauxanh.org,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,7.1,480000,480000,41000000,No,,,, --
gate.vn,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,7,470000,470000,28000000,No,,,, --
chodientu.vn,/Entertainment/Music /Automotive /Local/Regional Content/Southeast Asia/Vietnam,100,7,470000,470000,10000000,No,,,, --
channelvn.net,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,7,470000,470000,9900000,No,,,, --
dormitory.com,/Entertainment/Music /Entertainment/Fashion & Modeling /Entertainment/TV/TV Programs /Internet/Web Hosting & Domain Registration,100,7,470000,470000,7500000,No,,,,undefined
60s.com.vn,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,6.9,470000,470000,16000000,No,,,, --
vietgiaitri.com,/Entertainment/Music,100,6.9,470000,470000,17000000,Yes,120x600 160x600 300x250 336x280 468x60 728x90,,120x600 160x600 300x250 336x280 468x60 728x90,100K - 500K
download.com,/Computers & Electronics/Computer Security/Antivirus & Malware /Computers & Electronics/Software,100,6.4,430000,430000,4300000,No,,,,undefined
raovat123.com,/Entertainment/Music /Automotive /Local/Regional Content/Southeast Asia/Vietnam,100,6.3,430000,430000,4600000,No,,,, --
laodong.com.vn,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,6.3,430000,430000,6700000,No,,,, --
3c.com.vn,/Automotive /Photo & Video/Photo & Video Equipment/Cameras & Camcorders/Cameras /Entertainment/Music,100,6.3,430000,430000,4100000,Yes,468x60,,468x60,1K - 10K
vnpassport.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,6.3,430000,430000,4600000,No,,,, --
hihihehe.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,6.3,420000,420000,11000000,No,,,, --
nhac8.com,/Home & Garden/Home Improvement,100,6.3,420000,420000,26000000,No,,,, --
phim88.com,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,6.3,420000,420000,21000000,No,,,, --
5giay.vn,/Entertainment/Music,100,6.2,420000,420000,34000000,No,,,, --
yieldmanager.com,/Business/Advertising & Marketing /Internet/Web Services/Affiliate Programs,100,5.8,390000,390000,2200000,No,,,, --
imageshack.us,/Internet/File Sharing & Hosting,91,5.8,390000,430000,2900000,Yes,728x90,,728x90,1M - 2M
khakha.com,/Local/Regional Content/Southeast Asia/Vietnam,100,5.7,390000,390000,7300000,No,,,, --
eva.vn,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,5.7,390000,390000,6700000,No,,,, --
clicksor.com,/Internet/Web Services/Affiliate Programs,100,5.7,390000,390000,3500000,No,,,,undefined
tuanvietnam.net,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,5.3,360000,360000,3100000,No,,,, --
live.com,/Entertainment/Celebrities /Internet/Web Services/Email & Messaging,100,5.3,360000,360000,21000000,Yes,450x50 468x60,,,100K - 500K
funxy.biz,/Society/Legal,91,5.3,360000,390000,1300000,No,,,, --
vietnamwebsite.net,/Lifestyles/Ethnic & Identity Groups /Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,5.3,360000,360000,7500000,Yes,120x600 160x600 300x250 336x280 450x50 468x60 728x90,,120x600 160x600 300x250 336x280 468x60 728x90,100K - 500K
celebsgetcaught.com,/Computers & Electronics/Software,100,5.3,350000,350000,2100000,No,,,, --
nghenhac.info,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,5.3,350000,350000,7500000,No,,,, --
lauxanh.com,/Sports,100,5.2,350000,350000,21000000,No,,,, --
perfspot.com,/Online Communities/Social Networks /Photo & Video/Professional Photo & Video Services,100,5.2,350000,350000,1600000,Yes,120x600 160x600 300x250 468x60 728x90,,120x600 160x600 300x250 468x60 728x90,2M - 5M
bongda.com.vn,/Entertainment/Music /Sports/Soccer /Local/Regional Content/Southeast Asia/Vietnam,100,5.2,350000,350000,13000000,No,,,, --
vozforums.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam /Automotive,100,5.2,350000,350000,8200000,No,,,,undefined
tienphong.vn,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,5.2,350000,350000,19000000,No,,,, --
dantri.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,5.2,350000,350000,3200000,No,,,, --
yeubanbe.com,/Lifestyles/Ethnic & Identity Groups/Southeast Asians & Pacific Islanders /Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,5.2,350000,350000,9900000,No,,,, --
video4viet.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Local/Regional Content/Southeast Asia/Vietnam,100,5.2,350000,350000,7500000,Yes,120x600 160x600 300x250 450x50 468x60 728x90,,120x600 160x600 300x250 728x90,500K - 1M
vietteltelecom.vn,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam /Lifestyles/Ethnic & Identity Groups/Southeast Asians & Pacific Islanders,100,5.2,350000,350000,16000000,No,,,, --
sannhac.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,4.8,320000,320000,19000000,No,,,, --
adengage.com,/Internet/Web Services/Affiliate Programs /Business/Advertising & Marketing /Internet,100,4.8,320000,320000,2300000,No,,,, --
dailymotion.com,/Entertainment/Multimedia Content/Video Clips & Movie Downloads /Photo & Video/Photo & Video Sharing /Entertainment/Multimedia Content /Online Communities,100,4.8,320000,320000,3900000,Yes,728x90,,728x90,10M - 20M
nld.com.vn,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,4.8,320000,320000,8200000,No,,,, --
adsrevenue.net,/Entertainment/Humor & Bizarre/Humor /Telecommunications/Mobile & Wireless/Mobile Phones,100,4.8,320000,320000,1900000,No,,,, --
ongame.com.vn,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music /Games,100,4.8,320000,320000,23000000,No,,,, --
yahoo.com.vn,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,4.8,320000,320000,2300000,No,,,, --
tinhte.com,/Telecommunications/Mobile & Wireless/Mobile Phones /Telecommunications/Mobile & Wireless,100,4.8,320000,320000,19000000,No,,,, --
vuilen.com,/Entertainment,100,4.7,320000,320000,12000000,No,,,, --
vietfun.com,/Local/Regional Content/Southeast Asia/Vietnam /Entertainment/Music,100,4.7,310000,310000,20000000,No,,,, --
get4share.com,/Entertainment/Music /Local/Regional Content/Southeast Asia/Vietnam,100,4.4,290000,290000,2000000,No,,,, --
