Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,68.6%,"3,200,000","3,200,000","1,300,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,38.6%,"1,800,000","1,800,000","110,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,35.0%,"1,600,000","1,600,000","120,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,29.3%,"1,300,000","1,300,000","28,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,19.9%,"910,000","930,000","8,300,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,18.4%,"840,000","840,000","7,400,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,18.0%,"830,000","840,000","6,700,000",
,,domain: echoroukonline.com,[D],People & Society > Ethnic & Identity Groups > Arabs & Middle Easterners,Yes,No,No,No,No,No,No,100,18.0%,"830,000","830,000","19,000,000",
,,domain: elkhabar.com,[D],News > Newspapers,Yes,No,No,No,No,No,No,100,15.0%,"690,000","690,000","13,000,000",
,,domain: maktoob.com,[D],Internet & Telecom > Web Portals,Yes,Yes,No,No,No,No,No,100,15.0%,"690,000","690,000","18,000,000",
,,domain: commentcamarche.net,[D],News > Technology News,Yes,Yes,300x250 ,No,No,300x250 ,300x250 ,99,13.5%,"620,000","620,000","6,900,000",
,,domain: dailymotion.com,[D],Arts & Entertainment > Online Media,Yes,Yes,Yes,No,No,No,No,100,12.3%,"570,000","570,000","5,600,000",
,,domain: startimes.com,[D],News > Broadcast & Network News,Yes,Yes,12x28 14x52 70x70 88x18 108x150 120x600 141x149 160x271 160x600 300x80 300x250 320x15 468x60 728x90 ,No,No,No,No,100,11.1%,"510,000","510,000","61,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,10.2%,"470,000","470,000","8,300,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,9.3%,"430,000","430,000","18,000,000",
,,domain: 01net.com,[D],News > Technology News,Yes,Yes,146x32 ,No,No,No,No,100,9.2%,"430,000","430,000","6,100,000",
,,domain: ennaharonline.com,[D],News > Newspapers,Yes,Yes,600x90 ,No,No,No,No,99,9.2%,"420,000","430,000","10,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,8.4%,"390,000","390,000","2,400,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,8.4%,"390,000","390,000","4,200,000",
,,domain: babylon.com,[D],Reference > Language Resources > Foreign Language Resources > Translation Tools & Resources,Yes,Yes,160x600 300x250 320x50 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,160x600 468x60 ,97,8.3%,"380,000","390,000","7,400,000",
,,domain: camzap.com,[D],Arts & Entertainment > Online Media > Webcams & Virtual Tours,No,No,No,No,No,No,No,100,7.8%,"360,000","360,000","3,800,000",
,,domain: adsphinx.com,[D],,No,No,No,No,No,No,No,100,7.7%,"350,000","350,000","1,300,000",
