Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,67.8%,"4,200,000","4,300,000","4,000,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,42.7%,"2,600,000","2,600,000","45,000,000",
,,domain: orf.at,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,No,Yes,No,No,No,No,100,31.6%,"2,000,000","2,000,000","130,000,000",
,,domain: amazon.de,[D],Shopping > Entertainment Media,No,No,No,No,No,No,No,99,26.0%,"1,600,000","1,600,000","81,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,26.0%,"1,600,000","1,600,000","120,000,000",
,,domain: herold.at,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,No,Yes,No,No,No,No,99,25.9%,"1,600,000","1,600,000","21,000,000",
,,domain: gmx.net,[D],Internet & Telecom > Web Portals,Yes,Yes,468x60 ,No,No,468x60 ,No,100,23.6%,"1,500,000","1,500,000","46,000,000",
,,domain: gmx.at,[D],,Yes,No,No,No,No,No,No,100,23.5%,"1,500,000","1,500,000","32,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,21.7%,"1,300,000","1,300,000","38,000,000",
,,domain: ebay.at,[D],Shopping > Auctions,Yes,Yes,138x59 ,No,No,No,No,99,21.7%,"1,300,000","1,400,000","160,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,21.5%,"1,300,000","1,300,000","8,100,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,21.4%,"1,300,000","1,300,000","67,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,17.8%,"1,100,000","1,100,000","9,100,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,17.8%,"1,100,000","1,100,000","9,000,000",
,,domain: a1.net,[D],,Yes,No,No,No,No,No,No,100,17.8%,"1,100,000","1,100,000","35,000,000",
,,domain: wetter.at,[D],News > Weather,Yes,Yes,120x60 120x90 120x240 120x600 160x600 200x200 240x400 300x100 300x250 300x600 468x60 728x90 ,No,No,No,No,98,17.5%,"1,100,000","1,100,000","19,000,000",
,,domain: uimserv.net,[D],Real Estate,Yes,No,Yes,No,No,No,No,100,16.3%,"1,000,000","1,000,000","10,000,000",
