Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: orkut.com.br,[D],Online Communities > Social Networks,No,No,No,No,No,No,No,100,75.2%,"61,000,000","61,000,000","44,000,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,67.8%,"55,000,000","55,000,000","7,200,000,000",
,,domain: uol.com.br,[D],Internet & Telecom > Web Portals,Yes,Yes,110x55 120x60 120x240 120x600 140x60 150x400 180x80 180x150 250x90 300x250 468x60 728x90 ,No,No,No,No,100,62.1%,"50,000,000","50,000,000","5,300,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,61.7%,"50,000,000","51,000,000","4,800,000,000",
,,domain: orkut.com,[D],Online Communities > Social Networks,No,No,No,No,No,No,No,100,61.4%,"50,000,000","50,000,000","1,400,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,51.4%,"42,000,000","42,000,000","1,300,000,000",
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,51.1%,"41,000,000","42,000,000","24,000,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,46.4%,"38,000,000","38,000,000","720,000,000",
,,domain: globo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,180x150 300x250 300x600 468x60 ,No,No,No,No,100,46.3%,"37,000,000","37,000,000","3,000,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,41.9%,"34,000,000","34,000,000","2,100,000,000",
,,domain: terra.com.br,[D],News,Yes,No,120x240 300x250 300x600 468x60 728x90 ,No,No,No,No,100,38.2%,"31,000,000","31,000,000","1,700,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,29.3%,"24,000,000","24,000,000","210,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,22.0%,"18,000,000","18,000,000","960,000,000",
,,domain: ig.com.br,[D],Internet & Telecom > Web Portals,Yes,Yes,120x600 160x600 250x250 300x250 468x60 728x90 ,No,No,120x600 160x600 250x250 300x250 468x60 728x90 ,120x600 160x600 250x250 300x250 468x60 728x90 ,100,21.7%,"18,000,000","18,000,000","1,200,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,21.6%,"18,000,000","18,000,000","120,000,000",
,,domain: baixaki.com.br,[D],Internet & Telecom,Yes,Yes,120x600 160x600 300x250 336x280 728x90 ,No,No,No,No,98,21.3%,"17,000,000","18,000,000","300,000,000",
,,domain: mercadolivre.com.br,[D],Shopping > Auctions,Yes,No,728x90 ,No,No,No,No,99,21.3%,"17,000,000","17,000,000","720,000,000",
,,domain: abril.com.br,[D],Internet & Telecom > Web Portals,Yes,Yes,300x250 728x90 ,No,No,No,No,100,19.8%,"16,000,000","16,000,000","310,000,000",
,,domain: caixa.gov.br,[D],Finance > Banking,No,No,No,No,No,No,No,100,19.8%,"16,000,000","16,000,000","660,000,000",
,,domain: 4shared.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,Yes,No,No,No,No,100,19.7%,"16,000,000","16,000,000","800,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,19.5%,"16,000,000","16,000,000","89,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,17.8%,"14,000,000","14,000,000","88,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,16.3%,"13,000,000","13,000,000","260,000,000",
,,domain: itau.com.br,[D],Finance > Credit & Lending,No,No,No,No,No,No,No,99,14.6%,"12,000,000","12,000,000","1,200,000,000",
,,domain: groupon.com.br,[D],Shopping > Consumer Resources > Coupons & Discount Offers,Yes,No,Yes,No,No,No,No,99,14.6%,"12,000,000","12,000,000","74,000,000",
,,domain: sp.gov.br,[D],Law & Government > Government > State & Local Government,Yes,Yes,728x90 ,No,No,No,No,99,13.3%,"11,000,000","11,000,000","490,000,000",
